temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.381632,13.381632,0,0,0,0
10,13.381631,13.381637,0.0006217883,0.0032830486,0.00062179123,0.0032830623
20,13.381584,13.381822,0.011889754,0.042891917,0.011889797,0.042892063
30,13.38131,13.382764,0.048476289,0.16451782,0.048476456,0.16451839
40,13.380467,13.385655,0.12971757,0.4506747,0.12971803,0.45067632
50,13.378469,13.392717,0.28495867,1.0176186,0.28495969,1.0176223
60,13.37441,13.407248,0.54729733,1.9540665,0.54729929,1.9540733
70,13.367076,13.433109,0.94333121,3.2816479,0.94333452,3.2816588
80,13.355048,13.474054,1.4875748,4.9599271,1.4875799,4.9599428
90,13.336822,13.533219,2.1821835,6.9111194,2.1821907,6.91114
100,13.310927,13.612884,3.0195672,9.0449204,3.0195768,9.0449458
110,13.276001,13.714439,3.9857977,11.275688,3.9858099,11.275718
120,13.230839,13.838479,5.0636651,13.531364,5.0636801,13.531398
130,13.174416,13.984962,6.2349659,15.756331,6.2349839,15.756369
140,13.105888,14.153369,7.4820095,17.910727,7.4820304,17.910768
150,13.024578,14.342852,8.7884912,19.968112,8.7885149,19.968156
160,12.929968,14.552354,10.139913,21.912679,10.139939,21.912725
170,12.821672,14.780703,11.523708,23.736601,11.523738,23.736649
180,12.699422,15.026677,12.929193,25.43778,12.929225,25.43783
190,12.563046,15.289055,14.347415,27.018057,14.34745,27.018108
200,12.412456,15.566649,15.770967,28.481852,15.771005,28.481905
210,12.247629,15.858324,17.193782,29.835162,17.193823,29.835216
220,12.068599,16.163007,18.610945,31.084846,18.610988,31.084901
230,11.875443,16.479699,20.018507,32.238125,20.018553,32.23818
240,11.668272,16.807472,21.413337,33.302246,21.413384,33.302301
250,11.447227,17.145471,22.792976,34.284263,22.793026,34.28432
260,11.212469,17.492906,24.155528,35.190903,24.15558,35.190959
270,10.964178,17.849058,25.499558,36.028482,25.499612,36.028539
280,10.702543,18.213266,26.824008,36.802876,26.824065,36.802933
290,10.427765,18.584923,28.128131,37.519504,28.12819,37.519562
298.15,10.194243,18.89295,29.175607,38.064298,29.175667,38.064356
300,10.14005,18.96348,29.411432,38.183341,29.411493,38.183399
310,9.8396071,19.348429,30.673621,38.798931,30.673683,38.79899
320,9.5266484,19.739311,31.914572,39.370417,31.914636,39.370476
330,9.2013864,20.135703,33.134294,39.901565,33.13436,39.901624
340,8.8640329,20.53722,34.332902,40.395796,34.33297,40.395855
350,8.5147981,20.943507,35.510596,40.856214,35.510665,40.856273
360,8.1538899,21.354241,36.667641,41.285634,36.667712,41.285693
370,7.7815131,21.769125,37.804355,41.686611,37.804428,41.68667
380,7.3978693,22.187886,38.921096,42.06146,38.92117,42.061519
390,7.0031565,22.610274,40.018249,42.412285,40.018325,42.412344
400,6.5975683,23.036058,41.096224,42.740994,41.096301,42.741053
410,6.1812945,23.465026,42.155442,43.049322,42.155521,43.049381
420,5.7545205,23.896982,43.196336,43.338846,43.196416,43.338905
430,5.3174274,24.331745,44.219342,43.611002,44.219424,43.611061
440,4.8701918,24.769148,45.2249,43.867098,45.224983,43.867157
450,4.4129861,25.209037,46.213447,44.108326,46.213531,44.108385
460,3.9459782,25.651269,47.185414,44.335776,47.1855,44.335835
470,3.4693317,26.09571,48.141231,44.550441,48.141317,44.550501
480,2.983206,26.542238,49.081316,44.753233,49.081405,44.753293
490,2.4877564,26.990738,50.006085,44.944985,50.006174,44.945044
500,1.983134,27.441103,50.915939,45.126461,50.916029,45.12652
510,1.469486,27.893235,51.811273,45.298361,51.811365,45.29842
520,0.94695568,28.347041,52.692471,45.461331,52.692564,45.46139
530,0.41568246,28.802434,53.559909,45.615962,53.560003,45.616022
540,-0.12419784,29.259334,54.413948,45.762801,54.414043,45.762861
550,-0.67255302,29.717666,55.254943,45.90235,55.255039,45.90241
