temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.037925,13.037925,0,0,0,0
10,13.037924,13.037931,0.00072649851,0.0037213895,0.00072650185,0.0037214047
20,13.037871,13.038133,0.013100271,0.046784769,0.013100317,0.046784928
30,13.037571,13.03916,0.052951298,0.1792858,0.05295148,0.17928642
40,13.036651,13.042319,0.14169544,0.49318705,0.14169594,0.49318883
50,13.034467,13.050054,0.31175497,1.1149419,0.31175609,1.114946
60,13.030025,13.065954,0.59882877,2.1349809,0.5988309,2.1349884
70,13.022007,13.094134,1.0303928,3.566806,1.0303964,3.5668179
80,13.008888,13.138489,1.6200077,5.3569882,1.6200132,5.3570049
90,12.989079,13.202169,2.3676708,7.4154171,2.3676785,7.4154389
100,12.961041,13.28736,3.2631909,9.643131,3.2632012,9.6431577
110,12.923376,13.395293,4.2901557,11.949993,4.2901688,11.950024
120,12.874864,13.526378,5.4292802,14.262785,5.4292962,14.26282
130,12.814483,13.680385,6.6607853,16.526896,6.6608042,16.526935
140,12.741404,13.856626,7.9658776,18.704625,7.9658995,18.704667
150,12.654977,14.054109,9.3275461,20.772134,9.327571,20.772179
160,12.554714,14.271657,10.730893,22.716221,10.730921,22.716268
170,12.440263,14.508003,12.163178,24.531435,12.163209,24.531484
180,12.31139,14.761855,13.613698,26.217725,13.613731,26.217776
190,12.167958,15.03194,15.073587,27.778633,15.073624,27.778685
200,12.009911,15.317029,16.535591,29.219951,16.53563,29.220004
210,11.837259,15.615963,17.993832,30.54876,17.993873,30.548814
220,11.650063,15.927655,19.443601,31.77276,19.443645,31.772815
230,11.448428,16.251095,20.881165,32.899816,20.881212,32.899871
240,11.23249,16.585354,22.3036,33.937657,22.303649,33.937713
250,11.002414,16.929576,23.70865,34.893693,23.708701,34.89375
260,10.758381,17.282979,25.094607,35.774906,25.094661,35.774963
270,10.500589,17.644846,26.460212,36.587793,26.460267,36.587851
280,10.229247,18.014527,27.804569,37.33835,27.804627,37.338407
290,9.9445708,18.391424,29.12708,38.03207,29.12714,38.032128
298.15,9.7028496,18.703555,30.188513,38.558911,30.188574,38.558969
300,9.6467798,18.774995,30.427385,38.67397,30.427447,38.674028
310,9.3360976,19.164746,31.705317,39.268611,31.705381,39.268669
320,9.0127481,19.560224,32.960862,39.820132,32.960928,39.82019
