temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.3820436,5.3820436,0,0,0,0
10,5.3819507,5.3823739,0.042324106,0.14469885,0.042324253,0.14469935
20,5.379997,5.3890266,0.45148396,1.5145287,0.45148551,1.5145338
30,5.370248,5.4196408,1.6464271,4.9196338,1.6464323,4.9196482
40,5.3441829,5.4921601,3.6994292,9.7396063,3.6994401,9.7396317
50,5.2939608,5.6159701,6.440186,15.030122,6.4402037,15.030157
60,5.2138727,5.7919142,9.6340249,20.079194,9.6340497,20.079237
70,5.1004709,6.0155569,13.072657,24.537812,13.072689,24.53786
80,4.9521184,6.2803926,16.603428,28.31717,16.603466,28.317222
90,4.7684342,6.5797687,20.125938,31.458433,20.125983,31.458488
100,4.5498342,6.9077279,23.578937,34.04982,23.578988,34.049876
110,4.2972048,7.2592496,26.92768,36.186218,26.927736,36.186275
120,4.0116883,7.6302222,30.154449,37.953125,30.15451,37.953183
130,3.6945469,8.0173206,33.252105,39.422116,33.252171,39.422175
140,3.3470795,8.4178658,36.219902,40.651096,36.219972,40.651155
150,2.970572,8.8296973,39.060835,41.686176,39.060909,41.686235
160,2.5662689,9.2510655,41.779979,42.56386,41.780057,42.563919
170,2.135358,9.6805467,44.383463,43.313031,44.383545,43.31309
180,1.6789633,10.116975,46.877841,43.956604,46.877926,43.956663
190,1.1981428,10.559388,49.269712,44.51284,49.2698,44.512899
200,0.6938893,11.006989,51.565501,44.996369,51.565592,44.996428
210,0.16713263,11.459113,53.771333,45.418986,53.771428,45.419045
220,-0.38125678,11.915198,55.892977,45.790258,55.893074,45.790317
230,-0.95046427,12.374773,57.935814,46.117993,57.935913,46.118052
240,-1.5397271,12.837434,59.904839,46.408605,59.904941,46.408665
250,-2.1483305,13.302839,61.804678,46.667394,61.804782,46.667454
260,-2.7756043,13.770691,63.639597,46.898764,63.639704,46.898823
270,-3.4209192,14.240735,65.413535,47.106395,65.413644,47.106454
280,-4.0836838,14.71275,67.130121,47.293381,67.130232,47.29344
290,-4.7633416,15.186543,68.792705,47.462335,68.792818,47.462394
298.15,-5.3293922,15.573881,70.109921,47.588245,70.110036,47.588305
300,-5.4593682,15.661944,70.404374,47.615474,70.40449,47.615533
310,-6.1712689,16.138806,71.967983,47.75469,71.9681,47.754749
320,-6.8985765,16.616997,73.486167,47.881602,73.486286,47.881661
330,-7.640849,17.096402,74.961365,47.997604,74.961486,47.997664
340,-8.3976681,17.576917,76.395837,48.103901,76.39596,48.10396
350,-9.168637,18.058451,77.791679,48.201534,77.791803,48.201594
360,-9.9533794,18.540922,79.150836,48.291414,79.150962,48.291473
370,-10.751537,19.024256,80.475117,48.374333,80.475245,48.374392
380,-11.562771,19.508387,81.766206,48.450986,81.766336,48.451046
390,-12.386756,19.993257,83.025674,48.521986,83.025805,48.522045
400,-13.223184,20.47881,84.254985,48.58787,84.255117,48.587929
410,-14.07176,20.964999,85.455509,48.649115,85.455642,48.649174
420,-14.932203,21.451778,86.628526,48.706144,86.628661,48.706204
430,-15.804243,21.939109,87.775236,48.759334,87.775373,48.759393
440,-16.687623,22.426953,88.896765,48.809019,88.896903,48.809078
450,-17.582098,22.915278,89.994169,48.855499,89.994308,48.855558
460,-18.48743,23.404053,91.068441,48.899043,91.068582,48.899102
470,-19.403393,23.89325,92.120517,48.93989,92.120658,48.93995
480,-20.329769,24.382843,93.151275,48.97826,93.151418,48.978319
490,-21.26635,24.872808,94.161546,49.014346,94.16169,49.014405
500,-22.212934,25.363123,95.152114,49.048326,95.15226,49.048386
510,-23.169329,25.853768,96.123719,49.080361,96.123866,49.08042
520,-24.135348,26.344724,97.077061,49.110594,97.077209,49.110653
530,-25.110811,26.835974,98.012803,49.139159,98.012952,49.139218
540,-26.095547,27.327502,98.931573,49.166175,98.931723,49.166234
550,-27.089388,27.819293,99.833966,49.191751,99.834117,49.191811
560,-28.092174,28.311333,100.72055,49.215989,100.7207,49.216048
570,-29.103748,28.803609,101.59185,49.238979,101.59201,49.239039
580,-30.123962,29.296108,102.4484,49.260806,102.44855,49.260865
590,-31.152669,29.788821,103.29066,49.281546,103.29082,49.281605
600,-32.189729,30.281736,104.11911,49.30127,104.11926,49.301329
610,-33.235006,30.774843,104.93418,49.320043,104.93434,49.320103
620,-34.288369,31.268134,105.7363,49.337926,105.73645,49.337985
630,-35.34969,31.761599,106.52586,49.354973,106.52602,49.355032
640,-36.418846,32.255231,107.30324,49.371236,107.3034,49.371295
650,-37.495716,32.749021,108.06883,49.386761,108.06899,49.38682
660,-38.580184,33.242964,108.82295,49.401593,108.82311,49.401653
670,-39.672138,33.737051,109.56595,49.415773,109.56612,49.415832
680,-40.771467,34.231277,110.29815,49.429337,110.29832,49.429396
690,-41.878066,34.725636,111.01986,49.442321,111.02002,49.442381
700,-42.99183,35.220122,111.73136,49.454758,111.73153,49.454817
710,-44.11266,35.714729,112.43294,49.466677,112.43311,49.466737
720,-45.240457,36.209454,113.12488,49.478108,113.12504,49.478167
730,-46.375126,36.70429,113.80742,49.489075,113.80759,49.489135
740,-47.516575,37.199234,114.48082,49.499605,114.48099,49.499664
750,-48.664713,37.694281,115.14532,49.509719,115.14549,49.509779
760,-49.819452,38.189427,115.80116,49.51944,115.80133,49.519499
770,-50.980708,38.684668,116.44854,49.528788,116.44871,49.528847
780,-52.148396,39.180001,117.08769,49.53778,117.08786,49.537839
790,-53.322435,39.675423,117.71881,49.546436,117.71898,49.546495
800,-54.502746,40.170929,118.34209,49.554771,118.34227,49.55483
810,-55.689251,40.666517,118.95774,49.562802,118.95791,49.562861
820,-56.881876,41.162184,119.56593,49.570542,119.5661,49.570601
