temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.3290358,5.3290358,0,0,0,0
10,5.3289415,5.329371,0.042950547,0.14673161,0.042950696,0.14673211
20,5.3269599,5.3361194,0.45797733,1.5372599,0.4579789,1.537265
30,5.3170627,5.3672346,1.6723986,5.0038884,1.6724039,5.003903
40,5.2905713,5.4410133,3.7610498,9.9072688,3.7610609,9.9072946
50,5.2395114,5.5668587,6.5469457,15.264697,6.5469636,15.264733
60,5.1581222,5.7453528,9.7871763,20.349485,9.7872015,20.349529
70,5.0429713,5.9717631,13.268453,24.817461,13.268486,24.81751
80,4.8924709,6.2393686,16.836222,28.58946,16.836261,28.589512
90,4.7062982,6.5413916,20.389927,31.71456,20.389972,31.714614
100,4.4849244,6.8718144,23.8689,34.28609,23.868952,34.286147
110,4.2292843,7.2255956,27.239194,36.401867,27.23925,36.401924
120,3.9405604,7.5986243,30.483866,38.14891,30.483928,38.148968
130,3.6200479,7.9875872,33.596456,39.599502,33.596522,39.599561
140,3.2690725,8.3898214,36.576778,40.811804,36.576848,40.811863
150,2.888942,8.8031838,39.428279,41.831945,39.428354,41.832004
160,2.4809183,9.225942,42.156398,42.696333,42.156476,42.696392
170,2.0462039,9.6566877,44.767552,43.433703,44.767634,43.433762
180,1.5859346,10.094269,47.268525,44.06681,47.26861,44.066869
190,1.1011781,10.537737,49.6661,44.613757,49.666189,44.613816
200,0.59293528,10.986306,51.966851,45.08903,51.966943,45.08909
210,0.062142924,11.439318,54.177024,45.504295,54.177118,45.504354
220,-0.49032286,11.896223,56.302482,45.869002,56.302579,45.869062
230,-1.0636426,12.356555,58.348686,46.190862,58.348786,46.190921
240,-1.6570493,12.819919,60.3207,46.476201,60.320803,46.47626
250,-2.2698249,13.285975,62.2232,46.730243,62.223305,46.730303
260,-2.901296,13.754434,64.060499,46.95733,64.060607,46.957389
270,-3.5508308,14.225044,65.836573,47.161086,65.836683,47.161145
280,-4.2178357,14.697588,67.555084,47.344556,67.555196,47.344615
290,-4.9017519,15.171876,69.219407,47.510312,69.219521,47.510372
298.15,-5.4712855,15.559595,70.537919,47.633827,70.538035,47.633886
300,-5.6020536,15.647742,70.832654,47.660536,70.832769,47.660596
310,-6.3182444,16.125041,72.397696,47.797088,72.397813,47.797147
320,-7.0498557,16.603644,73.917186,47.921559,73.917306,47.921619
330,-7.7964444,17.083437,75.39358,48.035321,75.393701,48.035381
340,-8.5575912,17.564319,76.829147,48.139556,76.82927,48.139616
350,-9.3328983,18.0462,78.225994,48.23529,78.226119,48.235349
