temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.7730798,7.7730798,0,0,0,0
10,7.7730626,7.7731504,0.0087827176,0.032645178,0.0087827498,0.03264529
20,7.7726453,7.7745623,0.095850578,0.32227693,0.095850907,0.32227804
30,7.7704886,7.7819334,0.38149301,1.3100022,0.38149434,1.3100068
40,7.7638583,7.8043228,1.0116142,3.348666,1.0116177,3.3486768
50,7.7488298,7.852156,2.0665238,6.3527721,2.0665305,6.3527909
60,7.7211344,7.9333867,3.5375376,9.9590076,3.5375484,9.9590345
70,7.6769098,8.0520209,5.3587303,13.774455,5.3587459,13.774489
80,7.6130808,8.2085837,7.4437869,17.506481,7.4438074,17.506521
90,7.5274334,8.4012887,9.7095033,20.983097,9.7095288,20.983142
100,7.4185231,8.6271264,12.086032,24.125864,12.086063,24.125913
110,7.2855259,8.8826264,14.519095,26.9158,14.51913,26.915851
120,7.1280879,9.1643109,16.968525,29.366793,16.968565,29.366846
130,6.9461974,9.4689302,19.405636,31.508338,19.40568,31.508393
140,6.7400832,9.7935629,21.810569,33.375449,21.810618,33.375505
150,6.5101382,10.135642,24.170024,35.003245,24.170076,35.003302
160,6.2568631,10.492939,26.475476,36.424338,26.475531,36.424396
170,5.9808259,10.863537,28.721829,37.667784,28.721888,37.667842
180,5.6826326,11.245787,30.906416,38.758864,30.906478,38.758922
190,5.3629068,11.638279,33.028274,39.719273,33.028339,39.719332
200,5.0222756,12.039799,35.087618,40.567483,35.087687,40.567542
210,4.6613595,12.449307,37.085464,41.319158,37.085536,41.319217
220,4.2807662,12.865905,39.023358,41.987558,39.023433,41.987617
230,3.8810859,13.288818,40.903184,42.583911,40.903261,42.58397
240,3.4628891,13.717375,42.727024,43.117735,42.727104,43.117794
250,3.0267248,14.150992,44.497067,43.597112,44.497149,43.597171
260,2.5731197,14.589159,46.215535,44.028923,46.215619,44.028983
270,2.1025786,15.031431,47.884639,44.419044,47.884725,44.419103
280,1.6155843,15.477418,49.506547,44.772504,49.506636,44.772564
290,1.112598,15.926773,51.083364,45.093625,51.083454,45.093684
298.15,0.69114286,16.295278,52.336527,45.334019,52.336619,45.334078
300,0.59406052,16.379195,52.617114,45.386128,52.617207,45.386187
310,0.060392777,16.834411,54.109738,45.653231,54.109832,45.65329
320,-0.48800332,17.292184,55.563085,45.897725,55.563182,45.897784
330,-1.0507439,17.752299,56.978917,46.122036,56.979015,46.122095
340,-1.6274622,18.214564,58.358902,46.328281,58.359002,46.32834
350,-2.2178077,18.67881,59.704623,46.518313,59.704725,46.518372
360,-2.8214454,19.144882,61.017577,46.693757,61.01768,46.693816
370,-3.4380548,19.612642,62.299179,46.856044,62.299284,46.856103
380,-4.067329,20.081963,63.550769,47.006437,63.550876,47.006496
