temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.2657098,7.2657098,0,0,0,0
10,7.2656893,7.265792,0.010274503,0.037519505,0.01027454,0.037519632
20,7.2652085,7.2674161,0.11038164,0.37295906,0.11038202,0.37296036
30,7.2627043,7.2760737,0.44564843,1.5504871,0.44564999,1.5504926
40,7.2549049,7.3026746,1.1942404,3.9782949,1.1942444,3.9783078
50,7.2371456,7.3591844,2.4407752,7.4594944,2.4407831,7.4595161
60,7.2045325,7.4536721,4.1523261,11.485575,4.1523387,11.485605
70,7.1528694,7.5891431,6.2324821,15.591943,6.2324999,15.59198
80,7.0790204,7.7647723,8.5718992,19.481851,8.5719224,19.481894
90,6.9808911,7.9775629,11.074131,23.009852,11.07416,23.009899
100,6.8572494,8.2236031,13.663537,26.129735,13.66357,26.129786
110,6.7075167,8.4988228,16.284601,28.849969,16.28464,28.850021
120,6.5315832,8.7993832,18.898333,31.20469,18.898376,31.204744
130,6.3296636,9.1218425,21.478299,33.237183,21.478347,33.237238
140,6.1021881,9.4631994,24.007224,34.991341,24.007276,34.991398
150,5.8497256,9.8208773,26.474345,36.507732,26.4744,36.507789
160,5.5729282,10.192681,28.873456,37.822114,28.873516,37.822172
170,5.2724936,10.576749,31.201503,38.965206,31.201566,38.965265
180,4.9491383,10.971502,33.457574,39.963016,33.45764,39.963074
190,4.6035803,11.375598,35.6422,40.837391,35.64227,40.83745
200,4.2365275,11.787899,37.756859,41.60662,37.756931,41.606679
210,3.8486695,12.207432,39.803629,42.285995,39.803704,42.286054
220,3.4406731,12.633363,41.784952,42.888312,41.78503,42.888372
230,3.0131798,13.064977,43.703465,43.424302,43.703546,43.424361
240,2.5668041,13.501658,45.56189,43.902982,45.561973,43.903041
250,2.1021333,13.942871,47.362951,44.331955,47.363037,44.332014
260,1.6197274,14.388153,49.109328,44.717655,49.109416,44.717715
270,1.1201203,14.837098,50.803622,45.065544,50.803712,45.065603
280,0.60382023,15.289353,52.448332,45.380275,52.448424,45.380334
290,0.071310974,15.744606,54.045846,45.665828,54.045941,45.665887
298.15,-0.37435227,16.117664,55.314494,45.87936,55.31459,45.87942
300,-0.47694696,16.202584,55.598436,45.92562,55.598533,45.925679
310,-1.0405152,16.663043,57.108251,46.162592,57.10835,46.162651
320,-1.6189762,17.125768,58.577326,46.379289,58.577426,46.379348
330,-2.2119323,17.590568,60.007578,46.577916,60.00768,46.577975
340,-2.8190044,18.057273,61.400815,46.760393,61.400919,46.760453
350,-3.4398309,18.525728,62.75874,46.928397,62.758845,46.928457
360,-4.0740668,18.995797,64.082956,47.083395,64.083063,47.083455
370,-4.7213827,19.467357,65.374972,47.226677,65.375081,47.226736
380,-5.3814637,19.940296,66.636208,47.359378,66.636319,47.359437
390,-6.0540087,20.414513,67.868003,47.482501,67.868115,47.48256
400,-6.7387298,20.889917,69.071616,47.596935,69.07173,47.596995
410,-7.4353511,21.366425,70.248234,47.70347,70.248349,47.703529
420,-8.1436082,21.843962,71.398977,47.802808,71.399093,47.802867
430,-8.8632479,22.322459,72.5249,47.895577,72.525018,47.895636
440,-9.5940268,22.801854,73.627001,47.982336,73.62712,47.982396
450,-10.335712,23.282088,74.70622,48.06359,74.706341,48.063649
460,-11.088078,23.763108,75.763449,48.13979,75.763571,48.13985
470,-11.85091,24.244868,76.799528,48.211344,76.799651,48.211403
480,-12.624001,24.727321,77.815254,48.278617,77.815378,48.278677
490,-13.40715,25.210427,78.811381,48.341943,78.811507,48.342002
500,-14.200165,25.694148,79.788626,48.401622,79.788753,48.401681
510,-15.002862,26.178448,80.747667,48.457926,80.747795,48.457985
520,-15.81506,26.663296,81.689146,48.511103,81.689275,48.511162
530,-16.636588,27.148661,82.613677,48.56138,82.613807,48.561439
540,-17.467279,27.634514,83.52184,48.608961,83.521972,48.60902
550,-18.306972,28.120831,84.414189,48.654036,84.414321,48.654095
560,-19.155512,28.607587,85.291249,48.696775,85.291382,48.696834
570,-20.012748,29.09476,86.153522,48.737337,86.153657,48.737396
580,-20.878535,29.582327,87.001486,48.775866,87.001622,48.775926
590,-21.752731,30.070271,87.835597,48.812496,87.835734,48.812555
600,-22.635202,30.558571,88.656289,48.847347,88.656427,48.847406
610,-23.525814,31.047212,89.463977,48.880533,89.464116,48.880593
620,-24.424439,31.536177,90.259059,48.912159,90.259198,48.912218
630,-25.330954,32.02545,91.041912,48.942318,91.042053,48.942378
640,-26.245238,32.515019,91.812901,48.971102,91.813043,48.971161
650,-27.167174,33.004868,92.572372,48.998591,92.572515,48.99865
660,-28.096648,33.494986,93.320659,49.024861,93.320802,49.02492
670,-29.033551,33.985362,94.058078,49.049984,94.058223,49.050043
680,-29.977775,34.475982,94.784937,49.074025,94.785082,49.074084
690,-30.929215,34.966839,95.501528,49.097045,95.501674,49.097104
700,-31.887772,35.45792,96.208132,49.1191,96.208278,49.11916
710,-32.853346,35.949218,96.905019,49.140245,96.905166,49.140304
720,-33.825841,36.440722,97.592449,49.160527,97.592597,49.160586
730,-34.805164,36.932425,98.27067,49.179993,98.27082,49.180052
740,-35.791224,37.424319,98.939924,49.198687,98.940074,49.198746
750,-36.783933,37.916397,99.60044,49.216647,99.600591,49.216707
760,-37.783205,38.40865,100.25244,49.233913,100.25259,49.233972
770,-38.788954,38.901073,100.89614,49.250519,100.89629,49.250578
780,-39.8011,39.393658,101.53174,49.266499,101.5319,49.266558
790,-40.819563,39.886401,102.15945,49.281883,102.1596,49.281942
800,-41.844264,40.379294,102.77945,49.2967,102.7796,49.296759
810,-42.875127,40.872333,103.39193,49.310978,103.39208,49.311038
820,-43.912078,41.365512,103.99706,49.324744,103.99722,49.324803
830,-44.955044,41.858826,104.59502,49.33802,104.59518,49.338079
840,-46.003955,42.352271,105.18598,49.350829,105.18614,49.350889
850,-47.058741,42.845841,105.7701,49.363195,105.77026,49.363254
860,-48.119335,43.339533,106.34752,49.375135,106.34768,49.375194
