temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.76395,7.268,5.82914,3.833,34.3416,1.99614
200,18.1177,15.636,15.5637,11.665,15.8719,3.89866
298.15,21.3833,20,23.5032,18.82,6.91664,4.68318
300,21.4215,20.05,23.6356,18.943,6.84065,4.69257
400,22.8466,22.142,30.0188,25.032,3.18206,4.98681
500,23.5642,23.33,35.2022,30.11,1.00374,5.09216
600,23.9708,24.154,39.5375,34.44,-0.758617,5.09754
700,24.2219,24.803,43.2529,38.212,-2.34287,5.04094
800,24.3874,25.359,46.4988,41.562,-3.83154,4.93684
900,24.5019,25.874,49.3783,44.579,-5.30284,4.79926
1000,24.5845,26.338,51.9643,47.329,-6.65776,4.6353
1100,24.6459,26.778,54.3105,49.86,-7.96228,4.45046
