temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.96437,7.268,5.83164,3.833,37.0992,1.99864
200,18.3691,15.636,15.7486,11.665,17.4793,4.08359
298.15,21.5424,20,23.7703,18.82,7.71219,4.95034
300,21.5793,20.05,23.9037,18.943,7.62724,4.96071
400,22.9472,22.142,30.3237,25.032,3.63657,5.29172
500,23.6325,23.33,35.5257,30.11,1.29672,5.41572
600,24.0198,24.154,39.8717,34.44,-0.555592,5.43172
700,24.2586,24.803,43.5937,38.212,-2.19472,5.38169
800,24.4159,25.359,46.8439,41.562,-3.71916,5.28193
900,24.5247,25.874,49.7264,44.579,-5.21504,5.14735
1000,24.603,26.338,52.3146,47.329,-6.58745,4.98555
1100,24.6612,26.778,54.6623,49.86,-7.90487,4.80233
