temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.6872979,4.6872979,0,0,0,0
10,4.6872801,4.6873633,0.0083214129,0.028552814,0.0083214418,0.02855291
20,4.6869092,4.6886053,0.084808087,0.28599084,0.084808379,0.28599183
30,4.6850241,4.6948317,0.32692237,1.0471525,0.32692345,1.0471558
40,4.6796569,4.7108596,0.78006779,2.1987701,0.78007019,2.198776
50,4.6688395,4.7392371,1.4079533,3.485657,1.4079573,3.4856655
60,4.6510884,4.7806448,2.1592736,4.7970095,2.1592794,4.7970205
70,4.6253659,4.835188,2.9974586,6.1117887,2.9974663,6.1118021
80,4.5909279,4.9028689,3.8992633,7.4227016,3.8992729,7.4227174
90,4.5472233,4.983577,4.8483745,8.7139165,4.8483861,8.7139345
100,4.4938467,5.0770112,5.8316446,9.9643698,5.8316581,9.9643898
110,4.4305146,5.1826631,6.8377139,11.154625,6.8377294,11.154647
120,4.3570495,5.2998555,7.8567171,12.270651,7.8567346,12.270675
130,4.2733652,5.4278019,8.880282,13.30457,8.8803014,13.304595
140,4.1794518,5.5656642,9.9015171,14.253783,9.9015383,14.253809
150,4.0753611,5.7125992,10.914921,15.119584,10.914944,15.11961
160,3.9611938,5.8677904,11.916229,15.905816,11.916254,15.905843
170,3.8370876,6.030468,12.902237,16.617803,12.902264,16.61783
180,3.7032079,6.1999191,13.870618,17.261566,13.870646,17.261594
190,3.5597395,6.3754926,14.819753,17.843306,14.819783,17.843334
200,3.4068805,6.5565986,15.748591,18.36907,15.748622,18.369099
210,3.2448374,6.7427064,16.656519,18.844563,16.656552,18.844592
220,3.0738208,6.9333399,17.543269,19.275047,17.543303,19.275076
230,2.8940427,7.1280734,18.408829,19.665308,18.408864,19.665337
240,2.7057142,7.3265264,19.253384,20.01965,19.25342,20.019679
250,2.5090439,7.5283595,20.077262,20.341922,20.0773,20.341951
260,2.3042365,7.7332694,20.880896,20.635545,20.880934,20.635574
270,2.0914918,7.9409851,21.66479,20.903555,21.66483,20.903584
280,1.8710046,8.1512641,22.429498,21.148638,22.429539,21.148668
290,1.6429639,8.3638894,23.175605,21.373173,23.175647,21.373203
298.15,1.4516511,8.5387785,23.770342,21.542438,23.770384,21.542467
300,1.4075525,8.5786661,23.903712,21.579261,23.903755,21.579291
310,1.1649476,8.7954193,24.614425,21.768762,24.614469,21.768792
320,0.91531998,9.0139916,25.308349,21.943324,25.308393,21.943354
330,0.65883459,9.2342409,25.98608,22.104405,25.986125,22.104435
340,0.39565041,9.4560391,26.648202,22.253302,26.648248,22.253332
350,0.12592068,9.6792702,27.295284,22.391165,27.295332,22.391195
360,-0.15020698,9.903829,27.927878,22.519019,27.927926,22.519049
370,-0.43259036,10.12962,28.546515,22.637777,28.546564,22.637807
380,-0.72109247,10.356557,29.151709,22.748254,29.151759,22.748284
390,-1.0155814,10.58456,29.743953,22.851181,29.744003,22.85121
400,-1.3159299,10.813558,30.323719,22.94721,30.32377,22.947239
410,-1.6220157,11.043483,30.891461,23.036927,30.891513,23.036957
420,-1.9337205,11.274277,31.447613,23.120861,31.447666,23.120891
430,-2.2509307,11.505883,31.99259,23.199486,31.992643,23.199516
440,-2.5735364,11.73825,32.526788,23.273231,32.526842,23.273261
450,-2.9014318,11.971333,33.050587,23.342482,33.050642,23.342512
460,-3.2345147,12.205086,33.56435,23.40759,33.564405,23.40762
470,-3.5726865,12.439472,34.068421,23.468873,34.068477,23.468903
480,-3.9158519,12.674452,34.563133,23.526618,34.56319,23.526648
490,-4.263919,12.909993,35.0488,23.581089,35.048857,23.581119
