temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.7941667,4.7941667,0,0,0,0
10,4.7941481,4.7942346,0.0086512622,0.029586711,0.0086512922,0.02958681
20,4.7937622,4.79553,0.088388373,0.29900969,0.088388677,0.29901073
30,4.7917958,4.8020187,0.34076438,1.0870025,0.34076551,1.0870058
40,4.7862203,4.8185384,0.8079524,2.2533701,0.80795486,2.2533761
50,4.7750626,4.8474256,1.44726,3.5283836,1.4472641,3.5283921
60,4.7568878,4.889095,2.2034532,4.8031589,2.2034591,4.8031697
70,4.7307313,4.9434479,3.0388082,6.0659308,3.0388159,6.0659439
80,4.6959237,5.0103864,3.9307839,7.3200862,3.9307934,7.3201016
90,4.6519763,5.0897971,4.8646752,8.5581623,4.8646867,8.5581798
100,4.5985284,5.1814421,5.8291368,9.7639501,5.8291503,9.7639696
110,4.5353243,5.2849093,6.814409,10.919836,6.8144244,10.919857
120,4.4621998,5.3996246,7.8118738,12.011625,7.8118911,12.011648
130,4.3790713,5.5248973,8.8140465,13.030235,8.8140657,13.030259
140,4.2859243,5.659971,9.8146192,13.971477,9.8146402,13.971502
150,4.1828015,5.8040676,10.808441,14.835047,10.808464,14.835073
160,4.0697917,5.9564209,11.791433,15.623363,11.791457,15.62339
170,3.9470195,6.1162977,12.76046,16.340558,12.760486,16.340586
180,3.8146368,6.2830119,13.713194,16.991706,13.713222,16.991733
190,3.6728155,6.4559299,14.64797,17.582269,14.648,17.582297
200,3.5217411,6.6344736,15.563663,18.117738,15.563693,18.117766
210,3.3616082,6.8181187,16.459574,18.603404,16.459606,18.603432
220,3.1926168,7.0063923,17.335343,19.044228,17.335376,19.044257
230,3.0149689,7.1988691,18.19087,19.444781,18.190905,19.44481
240,2.8288666,7.3951675,19.026254,19.809216,19.02629,19.809245
250,2.6345101,7.5949455,19.841742,20.14128,19.841779,20.141309
260,2.4320969,7.7978964,20.637691,20.444328,20.637729,20.444358
