temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.73264,4.263,2.40765,1.46,57.932,0.947649
200,21.3558,16.301,11.6754,8.033,31.0094,3.64243
298.15,31.681,26.84,22.2888,16.61,18.0364,5.67878
300,31.8304,27.008,22.4852,16.777,17.8554,5.70821
400,38.0238,34.1,32.571,25.598,11.5068,6.97302
500,41.6672,38.639,41.4815,33.727,7.83709,7.75452
600,43.9133,41.79,49.2924,41.066,5.08084,8.2264
700,45.3721,44.108,56.1788,47.69,2.86584,8.4888
800,46.3646,45.878,62.3062,53.7,1.06061,8.60619
900,47.067,47.283,67.81,59.188,-0.456818,8.62197
1000,47.5808,48.421,72.7969,64.231,-1.7352,8.5659
1100,47.9672,49.363,77.3508,68.891,-2.82761,8.45979
1200,48.2647,50.158,81.5378,73.221,-3.77459,8.31678
1300,48.4985,50.84,85.4106,77.263,-4.60563,8.14762
1400,48.6854,51.43,89.0118,81.053,-5.33664,7.95883
1500,48.837,51.944,92.3761,84.619,-5.9814,7.75712
