temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.74973,4.263,2.41242,1.46,58.3328,0.952425
200,21.4151,16.301,11.7067,8.033,31.3727,3.67367
298.15,31.7425,26.84,22.3451,16.61,18.2657,5.73508
300,31.8918,27.008,22.5419,16.777,18.0827,5.76489
400,38.0729,34.1,32.6437,25.598,11.6506,7.04574
500,41.7045,38.639,41.5639,33.727,7.9338,7.83688
600,43.9419,41.79,49.3808,41.066,5.14934,8.31476
700,45.3944,44.108,56.2711,47.69,2.9165,8.58107
800,46.3824,45.878,62.4011,53.7,1.09942,8.70114
900,47.0815,47.283,67.9068,59.188,-0.426236,8.71881
1000,47.5927,48.421,72.8951,64.231,-1.71053,8.66413
1100,47.9772,49.363,77.4501,68.891,-2.80731,8.55906
1200,48.2733,50.158,81.6379,73.221,-3.75761,8.41686
1300,48.5058,50.84,85.5113,77.263,-4.59123,8.24832
1400,48.6917,51.43,89.113,81.053,-5.32429,8.06004
1500,48.8426,51.944,92.4777,84.619,-5.97068,7.85874
