temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,17.62579,17.62579,0,0,0,0
10,17.625789,17.625795,0.00064241198,0.0032617654,0.00064241492,0.0032617786
20,17.625743,17.625966,0.011128566,0.039236345,0.011128605,0.039236477
30,17.625491,17.626819,0.044245456,0.14790648,0.044245607,0.14790698
40,17.624729,17.629395,0.11664944,0.39874965,0.11664984,0.39875107
50,17.622947,17.635573,0.25253057,0.88190142,0.25253146,0.88190454
60,17.619383,17.64798,0.47662451,1.6469098,0.47662618,1.6469154
70,17.613066,17.669399,0.80475145,2.6766888,0.80475419,2.6766973
80,17.602927,17.702202,1.2409425,3.9126529,1.2409466,3.9126646
90,17.587903,17.748117,1.7801496,5.2885728,1.7801552,5.2885877
100,17.567013,17.808256,2.4124248,6.749728,2.4124321,6.7497459
110,17.539383,17.883265,3.1261993,8.2574643,3.1262085,8.2574852
120,17.504255,17.973475,3.9101601,9.7863774,3.9101713,9.7864013
130,17.46098,18.079007,4.7540508,11.319742,4.754064,11.319769
140,17.409005,18.199845,5.6488565,12.845762,5.6488717,12.845792
150,17.34786,18.335867,6.5867139,14.355238,6.5867313,14.35527
160,17.27715,18.486868,7.560739,15.84039,7.5607585,15.840425
170,17.196545,18.652571,8.5648591,17.294409,8.5648808,17.294446
180,17.105771,18.832633,9.5936791,18.711368,9.593703,18.711407
190,17.004605,19.026658,10.642384,20.086262,10.64241,20.086303
200,16.892871,19.234204,11.706666,21.415058,11.706694,21.415101
210,16.770433,19.454795,12.782679,22.694712,12.782709,22.694757
220,16.63719,19.687928,13.86699,23.923125,13.867022,23.923171
230,16.493075,19.933083,14.956553,25.099069,14.956588,25.099117
240,16.33805,20.189733,16.048676,26.222089,16.048713,26.222138
250,16.172101,20.457349,17.14099,27.292383,17.141028,27.292433
260,15.995237,20.735407,18.231423,28.310688,18.231464,28.310739
270,15.807485,21.023393,19.318177,29.278171,19.31822,29.278223
280,15.608891,21.320806,20.399697,30.196327,20.399741,30.19638
290,15.399513,21.627161,21.474648,31.066894,21.474694,31.066947
298.15,15.220944,21.883129,22.34508,31.742526,22.345127,31.74258
300,15.179423,21.941991,22.541893,31.891776,22.541941,31.89183
310,14.948704,22.264851,23.600473,32.672982,23.600523,32.673037
320,14.707446,22.595312,24.649584,33.412579,24.649635,33.412634
330,14.455746,22.932971,25.688559,34.112646,25.688612,34.112701
340,14.19371,23.27744,26.716854,34.775248,26.716909,34.775304
350,13.921446,23.628357,27.734032,35.402409,27.734089,35.402465
360,13.639068,23.985377,28.739748,35.996097,28.739806,35.996153
370,13.34669,24.348174,29.73374,36.558209,29.7338,36.558265
380,13.044432,24.716442,30.715814,37.090563,30.715876,37.09062
390,12.732414,25.089892,31.68584,37.594896,31.685903,37.594953
400,12.410756,25.468252,32.64374,38.072856,32.643804,38.072913
410,12.07958,25.851266,33.589479,38.526004,33.589545,38.526062
420,11.739007,26.238694,34.523065,38.955816,34.523132,38.955873
430,11.389159,26.63031,35.444536,39.36368,35.444604,39.363738
440,11.030156,27.025899,36.353961,39.750906,36.35403,39.750964
450,10.66212,27.425263,37.25143,40.118721,37.251501,40.118779
460,10.285167,27.828213,38.137055,40.468278,38.137127,40.468337
470,9.8994176,28.234571,39.010965,40.800658,39.011039,40.800717
480,9.5049866,28.644172,39.873303,41.116874,39.873377,41.116932
490,9.1019896,29.056858,40.724221,41.417872,40.724297,41.417931
500,8.6905397,29.472482,41.563884,41.704541,41.563961,41.7046
510,8.2707489,29.890904,42.392461,41.977712,42.392539,41.97777
520,7.8427269,30.311993,43.210128,42.23816,43.210208,42.238219
530,7.4065821,30.735627,44.017066,42.486613,44.017147,42.486672
540,6.9624207,31.161688,44.813458,42.723751,44.81354,42.72381
550,6.5103474,31.590066,45.599489,42.950211,45.599572,42.95027
560,6.0504649,32.020659,46.375346,43.166588,46.37543,43.166647
570,5.5828738,32.453367,47.141215,43.373441,47.1413,43.3735
580,5.1076732,32.888097,47.897283,43.571291,47.897369,43.57135
590,4.6249602,33.324764,48.643735,43.760628,48.643822,43.760687
600,4.13483,33.763283,49.380755,43.941911,49.380843,43.94197
610,3.6373759,34.203577,50.108526,44.115569,50.108615,44.115628
620,3.1326897,34.64557,50.827227,44.282005,50.827317,44.282064
630,2.620861,35.089194,51.537037,44.441598,51.537127,44.441657
640,2.101978,35.534381,52.238129,44.594703,52.238221,44.594762
650,1.5761269,35.981068,52.930678,44.741653,52.930771,44.741712
660,1.0433923,36.429194,53.614852,44.882761,53.614945,44.88282
670,0.50385724,36.878704,54.290817,45.018322,54.290911,45.018382
680,-0.042397165,37.329543,54.958736,45.148613,54.958831,45.148673
690,-0.5952912,37.78166,55.61877,45.273895,55.618866,45.273954
700,-1.1547468,38.235005,56.271074,45.394411,56.271171,45.394471
710,-1.7206874,38.689533,56.915803,45.510395,56.915901,45.510454
720,-2.2930381,39.145199,57.553107,45.622062,57.553206,45.622122
730,-2.8717253,39.601961,58.183131,45.729619,58.183231,45.729679
740,-3.456677,40.059778,58.80602,45.833259,58.806121,45.833318
750,-4.0478224,40.518613,59.421914,45.933165,59.422015,45.933224
760,-4.6450924,40.97843,60.03095,46.029508,60.031052,46.029568
770,-5.248419,41.439192,60.633261,46.122453,60.633364,46.122512
780,-5.8577356,41.900868,61.228979,46.212152,61.229082,46.212212
790,-6.472977,42.363425,61.81823,46.298753,61.818334,46.298812
800,-7.0940791,42.826833,62.40114,46.382391,62.401245,46.382451
810,-7.7209791,43.291063,62.97783,46.463199,62.977936,46.463258
820,-8.3536154,43.756088,63.548419,46.541299,63.548525,46.541358
830,-8.9919275,44.221881,64.113022,46.616808,64.113129,46.616867
840,-9.6358562,44.688416,64.671752,46.689837,64.67186,46.689896
850,-10.285343,45.155669,65.224721,46.760491,65.224829,46.76055
860,-10.940332,45.623618,65.772035,46.82887,65.772144,46.82893
870,-11.600766,46.09224,66.313799,46.89507,66.313909,46.895129
880,-12.26659,46.561512,66.850116,46.959178,66.850227,46.959238
890,-12.93775,47.031416,67.381086,47.021282,67.381197,47.021342
900,-13.614194,47.501932,67.906806,47.081463,67.906918,47.081522
910,-14.295869,47.97304,68.427372,47.139796,68.427485,47.139856
920,-14.982724,48.444722,68.942876,47.196357,68.942989,47.196417
930,-15.67471,48.916961,69.45341,47.251215,69.453523,47.251274
940,-16.371776,49.389741,69.959061,47.304436,69.959175,47.304495
950,-17.073875,49.863044,70.459915,47.356084,70.460031,47.356143
960,-17.780959,50.336857,70.956058,47.406219,70.956174,47.406278
970,-18.492981,50.811164,71.447572,47.454899,71.447688,47.454958
980,-19.209895,51.285951,71.934536,47.502179,71.934653,47.502238
990,-19.931657,51.761203,72.41703,47.548111,72.417148,47.54817
1000,-20.658221,52.236908,72.89513,47.592745,72.895248,47.592804
1010,-21.389545,52.713054,73.36891,47.636129,73.369028,47.636188
1020,-22.125585,53.189627,73.838443,47.678308,73.838563,47.678367
1030,-22.8663,53.666616,74.303802,47.719327,74.303922,47.719386
1040,-23.611648,54.14401,74.765055,47.759226,74.765176,47.759285
1050,-24.361587,54.621797,75.222271,47.798045,75.222392,47.798105
1060,-25.11608,55.099967,75.675516,47.835824,75.675638,47.835883
1070,-25.875085,55.57851,76.124855,47.872597,76.124977,47.872656
1080,-26.638564,56.057416,76.570352,47.9084,76.570475,47.90846
1090,-27.406479,56.536675,77.012068,47.943267,77.012191,47.943327
1100,-28.178793,57.016278,77.450065,47.977229,77.450189,47.977289
1110,-28.955468,57.496217,77.884401,48.010317,77.884525,48.010377
1120,-29.736469,57.976482,78.315135,48.042561,78.31526,48.04262
1130,-30.521759,58.457065,78.742322,48.073988,78.742448,48.074047
1140,-31.311304,58.937959,79.16602,48.104626,79.166146,48.104685
1150,-32.105068,59.419155,79.586281,48.1345,79.586408,48.134559
1160,-32.903018,59.900646,80.003159,48.163636,80.003286,48.163695
1170,-33.70512,60.382425,80.416706,48.192057,80.416833,48.192116
1180,-34.511341,60.864485,80.826972,48.219786,80.8271,48.219845
1190,-35.321649,61.346819,81.234007,48.246846,81.234135,48.246905
1200,-36.136011,61.82942,81.637859,48.273257,81.637988,48.273316
1210,-36.954396,62.312282,82.038577,48.29904,82.038706,48.299099
1220,-37.776772,62.795399,82.436206,48.324214,82.436336,48.324273
1230,-38.60311,63.278764,82.830792,48.348799,82.830922,48.348858
1240,-39.433378,63.762373,83.22238,48.372812,83.222511,48.372871
1250,-40.267547,64.246219,83.611013,48.39627,83.611144,48.39633
1260,-41.105588,64.730296,83.996734,48.419192,83.996866,48.419251
1270,-41.947472,65.214601,84.379585,48.441592,84.379718,48.441651
1280,-42.793171,65.699127,84.759607,48.463486,84.75974,48.463545
1290,-43.642655,66.183869,85.13684,48.48489,85.136974,48.484949
