temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,17.669747,17.669747,0,0,0,0
10,17.669747,17.669753,0.00064294387,0.0032637267,0.00064294681,0.0032637398
20,17.669701,17.669924,0.011128269,0.039225163,0.011128309,0.039225295
30,17.669449,17.670776,0.044232348,0.14783872,0.0442325,0.14783922
40,17.668687,17.67335,0.11659248,0.39845014,0.11659289,0.39845155
50,17.666906,17.679523,0.25234029,0.88086041,0.25234118,0.88086353
60,17.663345,17.691913,0.47611822,1.6442782,0.47611989,1.6442838
70,17.657036,17.713293,0.80366091,2.6715238,0.80366365,2.6715323
80,17.646912,17.746028,1.2389511,3.9041252,1.2389551,3.9041369
90,17.631915,17.791838,1.7769271,5.2760203,1.7769327,5.2760351
100,17.611064,17.851829,2.4076488,6.73264,2.4076562,6.7326579
110,17.583491,17.926643,3.119567,8.2354723,3.1195762,8.2354932
120,17.54844,18.016607,3.9013958,9.7592651,3.901407,9.7592889
130,17.505264,18.121843,4.7429119,11.287457,4.742925,11.287483
140,17.453413,18.242332,5.6351385,12.808416,5.6351538,12.808445
150,17.392419,18.377957,6.5702538,14.313091,6.5702711,14.313123
160,17.321888,18.528514,7.5414153,15.793822,7.5414348,15.793857
170,17.24149,18.693731,8.542591,17.243887,8.5426127,17.243923
180,17.150954,18.87327,9.5684234,18.657409,9.5684472,18.657448
190,17.050056,19.06674,10.61413,20.029406,10.614156,20.029447
200,16.938619,19.273706,11.675435,21.355843,11.675463,21.355886
210,16.816508,19.493695,12.748511,22.633651,12.748541,22.633696
220,16.683621,19.72621,13.829949,23.860698,13.829981,23.860744
230,16.539891,19.970736,14.916715,25.035714,14.916749,25.035761
240,16.385278,20.226749,16.006129,26.158197,16.006165,26.158245
250,16.219768,20.493725,17.095829,27.228297,17.095867,27.228347
260,16.043367,20.771142,18.18375,28.246707,18.183791,28.246758
270,15.856105,21.05849,19.268096,29.21455,19.268138,29.214602
280,15.658023,21.35527,20.347311,30.133281,20.347355,30.133334
290,15.44918,21.660998,21.420062,31.004602,21.420108,31.004655
298.15,15.271063,21.916462,22.288778,31.680957,22.288825,31.681011
300,15.229647,21.97521,22.485211,31.830383,22.485259,31.830437
310,14.999504,22.29746,23.541794,32.612608,23.541844,32.612662
320,14.758842,22.627324,24.589005,33.353315,24.589057,33.35337
330,14.507758,22.964395,25.626175,34.054565,25.626228,34.054621
340,14.246354,23.30829,26.652754,34.718403,26.652809,34.718458
350,13.974739,23.658645,27.668303,35.346837,27.668359,35.346893
360,13.693026,24.015116,28.672472,35.941822,28.67253,35.941878
370,13.401329,24.377376,29.664994,36.505244,29.665054,36.5053
380,13.099765,24.745121,30.645673,37.038912,30.645734,37.038969
390,12.788455,25.118061,31.614375,37.544554,31.614437,37.544611
400,12.467518,25.495924,32.571016,38.023813,32.57108,38.02387
410,12.137075,25.878455,33.51556,38.478244,33.515626,38.478302
420,11.797247,26.265411,34.44801,38.909319,34.448077,38.909377
430,11.448155,26.656568,35.368402,39.318424,35.36847,39.318482
440,11.089919,27.051711,36.2768,39.706865,36.276869,39.706923
450,10.722659,27.45064,37.173292,40.075867,37.173363,40.075925
460,10.346493,27.853167,38.057989,40.426582,38.058061,40.426641
470,9.961538,28.259115,38.931014,40.760091,38.931088,40.760149
480,9.5679108,28.668315,39.792509,41.077404,39.792584,41.077462
490,9.1657257,29.080612,40.642625,41.379469,40.642701,41.379528
500,8.7550957,29.495857,41.481522,41.667174,41.481599,41.667233
510,8.3361321,29.91391,42.309369,41.941349,42.309447,41.941408
520,7.9089446,30.334641,43.12634,42.202772,43.126419,42.202831
530,7.473641,30.757926,43.932613,42.452169,43.932693,42.452228
540,7.0303274,31.183647,44.728369,42.690221,44.728451,42.69028
550,6.579108,31.611694,45.513794,42.917567,45.513876,42.917626
560,6.1200853,32.041965,46.28907,43.134801,46.289154,43.13486
570,5.6533598,32.474359,47.054384,43.342483,47.054469,43.342542
580,5.1790302,32.908784,47.80992,43.541135,47.810006,43.541194
590,4.6971934,33.345153,48.555864,43.731248,48.55595,43.731308
600,4.2079443,33.783382,49.292396,43.913282,49.292484,43.913341
610,3.7113762,34.223393,50.0197,44.087666,50.019788,44.087725
620,3.2075805,34.665111,50.737953,44.254805,50.738043,44.254864
630,2.6966468,35.108466,51.447333,44.415077,51.447423,44.415136
640,2.1786629,35.553391,52.148013,44.568839,52.148105,44.568898
650,1.6537149,35.999822,52.840165,44.716425,52.840258,44.716484
660,1.1218874,36.4477,53.523959,44.858148,53.524052,44.858207
670,0.58326306,36.896967,54.199558,44.994304,54.199652,44.994363
680,0.037923019,37.347569,54.867126,45.125171,54.867221,45.12523
690,-0.51405321,37.799454,55.526821,45.251009,55.526917,45.251069
700,-1.0725877,38.252573,56.178801,45.372065,56.178898,45.372125
710,-1.637604,38.70688,56.823216,45.488571,56.823314,45.48863
720,-2.2090273,39.16233,57.460218,45.600744,57.460317,45.600803
730,-2.7867841,39.618881,58.089952,45.70879,58.090051,45.708849
740,-3.3708026,40.076492,58.712561,45.812904,58.712661,45.812963
750,-3.9610121,40.535126,59.328185,45.913269,59.328286,45.913328
760,-4.5573435,40.994746,59.93696,46.010057,59.937061,46.010117
770,-5.1597289,41.455316,60.53902,46.103433,60.539122,46.103493
780,-5.7681019,41.916804,61.134494,46.193551,61.134598,46.19361
790,-6.3823973,42.379177,61.723511,46.280556,61.723616,46.280616
800,-7.002551,42.842405,62.306195,46.364588,62.3063,46.364647
810,-7.6285004,43.306459,62.882666,46.445776,62.882772,46.445836
820,-8.260184,43.771311,63.453043,46.524246,63.453149,46.524305
830,-8.8975414,44.236935,64.017442,46.600113,64.017549,46.600173
840,-9.5405133,44.703305,64.575975,46.67349,64.576082,46.67355
850,-10.189042,45.170397,65.128752,46.744483,65.12886,46.744542
860,-10.84307,45.638187,65.67588,46.81319,65.675989,46.813249
870,-11.502541,46.106654,66.217465,46.879708,66.217575,46.879767
880,-12.167401,46.575775,66.753608,46.944126,66.753719,46.944185
890,-12.837595,47.045529,67.28441,47.00653,67.284521,47.00659
900,-13.513071,47.515899,67.809967,47.067003,67.810079,47.067062
910,-14.193777,47.986863,68.330374,47.12562,68.330487,47.12568
920,-14.879662,48.458405,68.845725,47.182457,68.845838,47.182516
930,-15.570675,48.930507,69.35611,47.237583,69.356224,47.237642
940,-16.266768,49.403151,69.861616,47.291065,69.861731,47.291124
950,-16.967892,49.876323,70.362331,47.342967,70.362446,47.343026
960,-17.673999,50.350006,70.858338,47.393349,70.858454,47.393408
970,-18.385043,50.824185,71.349719,47.442269,71.349836,47.442328
980,-19.100978,51.298846,71.836556,47.489782,71.836672,47.489842
990,-19.821759,51.773976,72.318924,47.535942,72.319042,47.536001
1000,-20.547342,52.249561,72.796903,47.580798,72.797021,47.580857
1010,-21.277683,52.725588,73.270565,47.624397,73.270684,47.624457
1020,-22.012739,53.202045,73.739984,47.666787,73.740103,47.666846
1030,-22.752469,53.67892,74.205231,47.70801,74.205351,47.70807
1040,-23.49683,54.156201,74.666376,47.748109,74.666497,47.748168
1050,-24.245783,54.633878,75.123487,47.787123,75.123608,47.787183
1060,-24.999287,55.11194,75.576629,47.825091,75.576751,47.82515
1070,-25.757302,55.590377,76.025868,47.862049,76.02599,47.862109
1080,-26.519791,56.069178,76.471268,47.898033,76.47139,47.898092
1090,-27.286715,56.548334,76.912889,47.933075,76.913012,47.933135
1100,-28.058037,57.027836,77.350794,47.967209,77.350917,47.967268
1110,-28.833719,57.507675,77.78504,48.000464,77.785164,48.000524
1120,-29.613725,57.987843,78.215686,48.032871,78.215811,48.03293
1130,-30.398021,58.46833,78.642788,48.064458,78.642914,48.064517
1140,-31.186569,58.949129,79.066402,48.095251,79.066528,48.09531
1150,-31.979337,59.430233,79.486582,48.125277,79.486709,48.125336
1160,-32.77629,59.911632,79.903381,48.154561,79.903508,48.15462
1170,-33.577394,60.393321,80.316851,48.183127,80.316978,48.183186
1180,-34.382616,60.875293,80.727041,48.210998,80.727169,48.211057
1190,-35.191924,61.357539,81.134002,48.238195,81.134131,48.238255
1200,-36.005285,61.840054,81.537783,48.264742,81.537912,48.264801
1210,-36.822669,62.322832,81.93843,48.290657,81.93856,48.290716
1220,-37.644044,62.805865,82.335991,48.31596,82.336121,48.316019
1230,-38.469379,63.289149,82.73051,48.340671,82.730641,48.34073
1240,-39.298644,63.772677,83.122033,48.364807,83.122164,48.364866
1250,-40.13181,64.256443,83.510602,48.388386,83.510734,48.388446
1260,-40.968846,64.740443,83.896261,48.411426,83.896393,48.411485
1270,-41.809725,65.22467,84.279051,48.433941,84.279184,48.434
1280,-42.654418,65.70912,84.659014,48.455948,84.659147,48.456007
1290,-43.502896,66.193787,85.036189,48.477462,85.036322,48.477521
1300,-44.355132,66.678668,85.410615,48.498497,85.410749,48.498557
1310,-45.211099,67.163756,85.782332,48.519068,85.782466,48.519127
1320,-46.07077,67.649047,86.151377,48.539187,86.151512,48.539246
1330,-46.934118,68.134538,86.517787,48.558868,86.517922,48.558927
1340,-47.801117,68.620223,86.881598,48.578124,86.881733,48.578183
1350,-48.671742,69.106099,87.242845,48.596965,87.242981,48.597025
1360,-49.545966,69.592161,87.601564,48.615405,87.6017,48.615464
1370,-50.423765,70.078406,87.957789,48.633454,87.957926,48.633513
1380,-51.305113,70.564829,88.311553,48.651124,88.31169,48.651183
1390,-52.189988,71.051427,88.662888,48.668424,88.663026,48.668483
1400,-53.078363,71.538196,89.011828,48.685364,89.011966,48.685424
1410,-53.970216,72.025133,89.358404,48.701956,89.358542,48.702015
1420,-54.865523,72.512234,89.702646,48.718208,89.702785,48.718267
1430,-55.764261,72.999496,90.044586,48.734129,90.044725,48.734188
1440,-56.666408,73.486916,90.384252,48.749728,90.384392,48.749787
1450,-57.571939,73.97449,90.721675,48.765014,90.721815,48.765073
1460,-58.480834,74.462215,91.056883,48.779994,91.057023,48.780054
1470,-59.393069,74.950089,91.389904,48.794678,91.390044,48.794737
1480,-60.308625,75.438108,91.720765,48.809073,91.720906,48.809132
1490,-61.227478,75.926269,92.049495,48.823185,92.049636,48.823245
1500,-62.149607,76.414571,92.376119,48.837023,92.376261,48.837083
1510,-63.074993,76.903009,92.700664,48.850594,92.700806,48.850653
1520,-64.003614,77.391582,93.023155,48.863904,93.023298,48.863963
1530,-64.935449,77.880286,93.343618,48.87696,93.343761,48.877019
1540,-65.87048,78.36912,93.662078,48.889769,93.662221,48.889828
1550,-66.808684,78.858081,93.978558,48.902335,93.978702,48.902395
1560,-67.750044,79.347166,94.293083,48.914667,94.293228,48.914726
1570,-68.69454,79.836373,94.605677,48.926768,94.605822,48.926827
1580,-69.642151,80.325701,94.916362,48.938646,94.916507,48.938705
1590,-70.592861,80.815145,95.225161,48.950305,95.225307,48.950364
1600,-71.546648,81.304706,95.532096,48.96175,95.532242,48.96181
1610,-72.503496,81.79438,95.83719,48.972988,95.837336,48.973047
1620,-73.463386,82.284165,96.140464,48.984022,96.14061,48.984082
1630,-74.4263,82.77406,96.441938,48.994858,96.442085,48.994918
1640,-75.392219,83.264062,96.741634,49.005501,96.741782,49.00556
1650,-76.361126,83.754169,97.039573,49.015954,97.039721,49.016014
1660,-77.333005,84.24438,97.335774,49.026223,97.335922,49.026282
1670,-78.307836,84.734693,97.630257,49.036312,97.630405,49.036371
1680,-79.285604,85.225106,97.923042,49.046224,97.92319,49.046283
1690,-80.266291,85.715617,98.214147,49.055964,98.214296,49.056023
1700,-81.249881,86.206224,98.503592,49.065536,98.503741,49.065595
1710,-82.236358,86.696927,98.791395,49.074944,98.791544,49.075003
1720,-83.225704,87.187723,99.077574,49.084191,99.077724,49.08425
1730,-84.217904,87.67861,99.362147,49.093281,99.362297,49.093341
1740,-85.212942,88.169588,99.645132,49.102218,99.645283,49.102277
1750,-86.210801,88.660654,99.926546,49.111005,99.926697,49.111064
1760,-87.211467,89.151807,100.20641,49.119645,100.20656,49.119704
1770,-88.214924,89.643046,100.48473,49.128141,100.48488,49.128201
1780,-89.221157,90.13437,100.76153,49.136498,100.76168,49.136557
1790,-90.23015,90.625776,101.03683,49.144717,101.03698,49.144776
1800,-91.241889,91.117264,101.31064,49.152801,101.31079,49.15286
1810,-92.256358,91.608832,101.58298,49.160754,101.58313,49.160814
1820,-93.273543,92.100478,101.85386,49.168579,101.85401,49.168638
1830,-94.29343,92.592203,102.1233,49.176278,102.12345,49.176337
1840,-95.316004,93.084003,102.39131,49.183853,102.39146,49.183913
1850,-96.341252,93.575879,102.65791,49.191308,102.65806,49.191368
1860,-97.369158,94.067829,102.92311,49.198645,102.92327,49.198705
1870,-98.399709,94.559852,103.18693,49.205867,103.18709,49.205926
1880,-99.432892,95.051946,103.44938,49.212975,103.44954,49.213034
1890,-100.46869,95.544111,103.71048,49.219973,103.71063,49.220032
1900,-101.5071,96.036345,103.97023,49.226862,103.97039,49.226921
1910,-102.54809,96.528648,104.22866,49.233644,104.22882,49.233704
1920,-103.59167,97.021018,104.48577,49.240323,104.48593,49.240382
1930,-104.6378,97.513454,104.74158,49.2469,104.74174,49.246959
1940,-105.68649,98.005956,104.99611,49.253376,104.99626,49.253435
1950,-106.73772,98.498521,105.24936,49.259755,105.24951,49.259814
1960,-107.79148,98.99115,105.50134,49.266037,105.5015,49.266097
1970,-108.84774,99.483842,105.75207,49.272226,105.75223,49.272285
1980,-109.90651,99.976595,106.00157,49.278322,106.00173,49.278381
1990,-110.96777,100.46941,106.24984,49.284328,106.25,49.284387
2000,-112.03151,100.96228,106.49689,49.290245,106.49705,49.290304
2010,-113.09771,101.45521,106.74275,49.296076,106.7429,49.296135
2020,-114.16636,101.9482,106.98741,49.301821,106.98757,49.30188
2030,-115.23745,102.44125,107.23089,49.307482,107.23105,49.307542
2040,-116.31097,102.93435,107.4732,49.313062,107.47336,49.313121
2050,-117.38691,103.42751,107.71435,49.318561,107.71451,49.31862
2060,-118.46525,103.92072,107.95436,49.323981,107.95452,49.324041
2070,-119.54599,104.41399,108.19323,49.329324,108.19339,49.329384
2080,-120.62912,104.90731,108.43097,49.334592,108.43113,49.334651
2090,-121.71461,105.40068,108.6676,49.339784,108.66776,49.339843
2100,-122.80246,105.8941,108.90313,49.344904,108.90329,49.344963
2110,-123.89267,106.38758,109.13756,49.349951,109.13772,49.350011
2120,-124.98521,106.8811,109.3709,49.354929,109.37107,49.354988
2130,-126.08008,107.37468,109.60317,49.359837,109.60334,49.359896
2140,-127.17727,107.8683,109.83438,49.364678,109.83454,49.364737
2150,-128.27677,108.36197,110.06453,49.369451,110.06469,49.369511
2160,-129.37856,108.85569,110.29363,49.37416,110.2938,49.374219
2170,-130.48264,109.34945,110.5217,49.378804,110.52186,49.378863
2180,-131.58899,109.84326,110.74874,49.383386,110.7489,49.383445
2190,-132.69761,110.33712,110.97476,49.387905,110.97493,49.387964
2200,-133.80848,110.83102,111.19977,49.392364,111.19994,49.392423
