temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,16.8901,12.997,11.0085,6.987,29.9535,4.02152,30.9922,4.15652
200,22.4736,21.338,24.9571,19.144,5.32174,5.81309,6.58709,6.08309
250,23.3187,23.084,30.0724,24.108,1.01676,5.96437,2.47881,6.30187
298.15,23.7837,24.209,34.2228,28.275,-1.75693,5.94778,-0.0943172,6.35028
300,23.7974,24.247,34.3699,28.425,-1.85423,5.94494,-0.183923,6.34994
350,24.093,25.113,38.0622,32.231,-4.06157,5.83121,-2.18007,6.30371
400,24.2878,25.784,41.2929,35.63,-5.80294,5.66294,-3.70862,6.20294
450,24.4226,26.335,44.1619,38.699,-7.26173,5.46287,-4.95491,6.07037
500,24.5198,26.842,46.7403,41.501,-8.65152,5.23934,-6.13681,5.91434
600,24.6471,27.886,51.2231,46.485,-11.6146,4.73812,-8.70997,5.54812
