temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,15.9241,12.997,9.78488,6.987,22.521,2.79788,23.5597,2.93288
200,22.0923,21.338,23.2769,19.144,3.53482,4.1329,4.80017,4.4029
250,23.0597,23.084,28.3215,24.108,-0.105398,4.21346,1.35665,4.55096
298.15,23.5956,24.209,32.4328,28.275,-2.5337,4.15779,-0.871089,4.56029
300,23.6115,24.247,32.5788,28.425,-2.62097,4.1538,-0.95066,4.5588
350,23.9537,25.113,36.2462,32.231,-4.61646,4.01516,-2.73497,4.48766
400,24.1797,25.784,39.4604,35.63,-6.22217,3.83045,-4.12785,4.37045
450,24.3364,26.335,42.318,38.699,-7.58897,3.61898,-5.28216,4.22648
500,24.4495,26.842,44.8882,41.501,-8.91327,3.38724,-6.39855,4.06224
600,24.5979,27.886,49.3602,46.485,-11.7911,2.87525,-8.88641,3.68525
