temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,2.9511089,2.9511089,0,0,0,0
10,2.9510908,2.9511803,0.0089505224,0.032565235,0.0089505548,0.032565347
20,2.9506574,2.952702,0.10223123,0.36296468,0.10223159,0.36296599
30,2.9482528,2.9612336,0.43269268,1.5090717,0.4326942,1.5090767
40,2.9407691,2.9858912,1.1280533,3.5394361,1.128057,3.5394466
50,2.9244931,3.0335136,2.1804102,6.0195648,2.1804168,6.0195804
60,2.8962649,3.1063482,3.5013896,8.5263232,3.5013995,8.5263431
70,2.8539034,3.2033192,4.9916541,10.821849,4.9916672,10.821872
80,2.7961393,3.3217784,6.570489,12.81796,6.5705054,12.817985
90,2.7223911,3.4586572,8.1807337,14.508795,8.1807531,14.508822
100,2.6325465,3.6110347,9.7848822,15.924059,9.7849045,15.924086
110,2.5267924,3.7763547,11.359657,17.104181,11.359682,17.104209
120,2.4054974,3.9524681,12.891423,18.089078,12.89145,18.089106
130,2.2691322,4.1376034,14.372855,18.913918,14.372885,18.913947
140,2.1182193,4.3303117,15.80066,19.608125,15.800691,19.608154
150,1.9533005,4.5294109,17.17407,20.195696,17.174103,20.195725
160,1.7749167,4.733935,18.493864,20.695975,18.4939,20.696004
170,1.5835963,4.9430915,19.761736,21.124484,19.761774,21.124514
180,1.3798478,5.1562273,20.979886,21.493678,20.979925,21.493708
190,1.1641562,5.372801,22.150762,21.813574,22.150803,21.813604
200,0.93698167,5.5923616,23.276899,22.09226,23.276942,22.09229
210,0.69875893,5.8145308,24.360819,22.336297,24.360862,22.336327
220,0.44989787,6.0389899,25.404964,22.551038,25.405009,22.551067
230,0.19078444,6.2654686,26.41167,22.74087,26.411717,22.7409
240,-0.078218114,6.4937365,27.383144,22.909414,27.383192,22.909444
250,-0.35676792,6.723596,28.321456,23.05967,28.321505,23.0597
260,-0.64454315,6.9548773,29.22854,23.194141,29.22859,23.19417
270,-0.94124065,7.1874332,30.1062,23.314923,30.106251,23.314953
280,-1.2465747,7.421136,30.95611,23.423783,30.956162,23.423813
290,-1.5602755,7.6558742,31.779827,23.522216,31.77988,23.522246
