temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,2.7319052,2.7319052,0,0,0,0
10,2.731882,2.7319949,0.011291851,0.040449804,0.011291892,0.040449943
20,2.7313371,2.7339211,0.12919824,0.46378064,0.1291987,0.46378233
30,2.7282835,2.7447457,0.54874242,1.8940571,0.54874434,1.8940633
40,2.7188896,2.7750168,1.40318,4.2714751,1.4031845,4.2714872
50,2.6989076,2.8313537,2.6489223,7.0093044,2.6489301,7.0093219
60,2.6650157,2.9148369,4.1636862,9.6462906,4.1636976,9.646312
70,2.6151331,3.0232201,5.8298147,11.970729,5.8298296,11.970753
80,2.5482082,3.1530351,7.5603366,13.932559,7.5603548,13.932585
90,2.4639044,3.3007409,9.2981831,15.555985,9.2982045,15.556012
100,2.3623378,3.4631902,11.008523,16.890054,11.008548,16.890082
110,2.2438931,3.63775,12.671427,17.986324,12.671454,17.986353
120,2.1091028,3.8222775,14.276455,18.890563,14.276485,18.890592
130,1.9585725,4.0150483,15.819045,19.640674,15.819077,19.640703
140,1.7929337,4.2146793,17.298183,20.267076,17.298217,20.267105
150,1.6128169,4.4200583,18.714943,20.793841,18.714979,20.793871
160,1.4188353,4.6302876,20.071577,21.239932,20.071615,21.239961
170,1.2115762,4.8446382,21.370953,21.62029,21.370992,21.62032
180,0.99159666,5.062514,22.616207,21.946734,22.616249,21.946764
190,0.75942181,5.2834246,23.810541,22.228652,23.810584,22.228682
200,0.5155451,5.5069638,24.957094,22.473553,24.957138,22.473583
210,0.26042916,5.7327926,26.058873,22.687475,26.058919,22.687505
220,-0.0054926226,5.9606264,27.118723,22.875309,27.11877,22.875339
230,-0.28181442,6.1902251,28.139302,23.041041,28.139351,23.041071
240,-0.56815604,6.4213846,29.123086,23.187942,29.123136,23.187971
250,-0.86416114,6.6539303,30.072366,23.318709,30.072417,23.318739
260,-1.1694954,6.8877125,30.989261,23.435584,30.989314,23.435614
270,-1.483845,7.1226019,31.875729,23.540438,31.875783,23.540468
280,-1.8069146,7.3584864,32.733575,23.634842,32.73363,23.634872
290,-2.1384266,7.5952683,33.564465,23.720122,33.564521,23.720152
298.15,-2.4146708,7.7888497,34.222776,23.783664,34.222832,23.783694
