temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,16.1663,12.855,5.57596,4.295,25.7589,1.28096
200,56.8293,51.12,29.5771,24.88,11.1685,4.6971
298.15,83.2054,79.015,57.6848,50.95,5.30324,6.73485
300,83.5687,79.416,58.2007,51.44,5.229,6.76066
400,98.2468,96.086,84.46,76.779,2.2488,7.68097
500,106.577,106.131,107.36,99.388,0.420419,7.97227
600,111.618,112.545,127.273,119.345,-0.823917,7.92798
700,114.856,116.926,144.739,137.041,-1.77012,7.69832
800,117.045,120.135,160.228,152.873,-2.57222,7.35508
900,118.587,122.662,174.108,167.174,-3.3223,6.93401
1000,119.711,124.771,186.664,180.21,-4.05532,6.45353
1100,120.555,126.608,198.115,192.189,-4.78107,5.92562
1200,121.203,128.252,208.633,203.277,-5.496,5.35624
1300,121.712,129.737,218.356,213.602,-6.18552,4.75356
1400,122.118,131.081,227.391,223.267,-6.83743,4.12381
1500,122.448,132.29,235.828,232.353,-7.43977,3.47473
1600,122.719,133.361,243.739,240.925,-7.98004,2.81426
