temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,41.553372,41.553372,0,0,0,0
10,41.553368,41.553389,0.0020591223,0.0081519889,0.0020591302,0.0081520177
20,41.553263,41.553751,0.024386877,0.081748032,0.024386961,0.08174831
30,41.55272,41.555582,0.095385797,0.32586735,0.095386128,0.32586851
40,41.551047,41.561422,0.25938398,0.91595507,0.2593849,0.91595837
50,41.547036,41.575638,0.57203342,2.0242041,0.57203545,2.0242112
60,41.538941,41.603956,1.0835729,3.7444306,1.0835767,3.7444432
70,41.524584,41.652607,1.8289074,6.0867551,1.8289136,6.0867747
80,41.501523,41.727597,2.8259259,8.9996153,2.8259353,8.9996429
90,41.467215,41.834208,4.0776997,12.394415,4.0777129,12.394452
100,41.419146,41.976742,5.5759588,16.166301,5.5759762,16.166346
110,41.354927,42.158436,7.3046241,20.209045,7.3046462,20.209099
120,41.272355,42.381496,9.2428445,24.42421,9.2428718,24.424274
130,41.169449,42.647207,11.367365,28.725854,11.367398,28.725925
140,41.044466,42.956061,13.654245,33.042215,13.654284,33.042295
150,40.895901,43.307906,16.080032,37.315583,16.080076,37.31567
160,40.722477,43.702079,18.62251,41.501155,18.622559,41.501249
170,40.523131,44.137524,21.261136,45.565443,21.261191,45.565542
180,40.296996,44.612903,23.977257,49.484528,23.977319,49.484633
190,40.043383,45.126676,26.754174,53.242381,26.754241,53.242491
200,39.76176,45.67718,29.577102,56.829319,29.577175,56.829433
210,39.451731,46.262677,32.433075,60.240659,32.433153,60.240777
220,39.113026,46.881405,35.310813,63.475575,35.310898,63.475697
230,38.745475,47.531607,38.200574,66.536146,38.200664,66.536271
240,38.349002,48.21156,41.093992,69.42658,41.094087,69.426707
250,37.923607,48.919591,43.983934,72.152595,43.984035,72.152725
260,37.469355,49.654087,46.864351,74.720926,46.864456,74.721058
270,36.986369,50.413508,49.730145,77.138944,49.730256,77.139077
280,36.474815,51.19639,52.577052,79.414359,52.577167,79.414494
290,35.934903,52.001346,55.401529,81.555003,55.401649,81.55514
298.15,35.474064,52.6728,57.684845,83.205358,57.684969,83.205496
300,35.366869,52.827067,58.200658,83.568663,58.200783,83.568801
310,34.770982,53.672321,60.972063,85.46296,60.972192,85.463099
320,34.147527,54.535953,63.71383,87.24527,63.713964,87.245411
330,33.496809,55.416877,66.424448,88.922665,66.424586,88.922806
340,32.819146,56.314079,69.102744,90.501875,69.102886,90.502017
350,32.114865,57.226609,71.747839,91.989276,71.747985,91.989418
360,31.384302,58.153578,74.359101,93.390873,74.359252,93.391016
370,30.627797,59.094159,76.936113,94.71231,76.936267,94.712454
380,29.845695,60.047575,79.478633,95.95887,79.478791,95.959015
390,29.03834,61.013103,81.986573,97.135493,81.986735,97.135638
400,28.206078,61.990067,84.459972,98.246785,84.460138,98.24693
410,27.349255,62.977835,86.898977,99.297037,86.899146,99.297183
420,26.468213,63.975818,89.303822,100.29025,89.303995,100.29039
430,25.563291,64.983463,91.674817,101.23012,91.674993,101.23027
440,24.634828,66.000254,94.012332,102.12012,94.012512,102.12027
450,23.683155,67.025709,96.316788,102.96345,96.316971,102.9636
460,22.708601,68.059377,98.588645,103.76309,98.588831,103.76323
470,21.711489,69.100835,100.8284,104.5218,100.82858,104.52195
480,20.692138,70.149686,103.03656,105.24216,103.03675,105.2423
490,19.650861,71.205558,105.21367,105.92655,105.21386,105.9267
500,18.587967,72.268104,107.36027,106.5772,107.36047,106.57734
510,17.503756,73.336996,109.47694,107.19616,109.47714,107.19631
520,16.398526,74.411928,111.56424,107.78535,111.56444,107.7855
530,15.272567,75.49261,113.62272,108.34657,113.62293,108.34672
540,14.126165,76.578772,115.65297,108.88147,115.65318,108.88161
550,12.9596,77.670157,117.65556,109.39159,117.65577,109.39174
560,11.773144,78.766526,119.63104,109.87838,119.63125,109.87852
570,10.567068,79.867651,121.57997,110.34317,121.58019,110.34332
580,9.3416317,80.97332,123.50291,110.78723,123.50313,110.78738
590,8.0970941,82.083331,125.4004,111.21172,125.40062,111.21186
600,6.8337067,83.197493,127.27298,111.61772,127.2732,111.61787
610,5.5517159,84.315627,129.12117,112.00627,129.12139,112.00642
620,4.251363,85.437563,130.94548,112.37831,130.94571,112.37846
630,2.9328841,86.563141,132.74644,112.73473,132.74667,112.73488
640,1.5965104,87.692208,134.52453,113.07637,134.52476,113.07652
650,0.24246812,88.824622,136.28024,113.40401,136.28047,113.40416
660,-1.1290213,89.960244,138.01404,113.71838,138.01428,113.71853
670,-2.5177412,91.098947,139.7264,114.02016,139.72664,114.02031
680,-3.9234794,92.240608,141.41778,114.31001,141.41802,114.31016
690,-5.3460282,93.38511,143.08861,114.58852,143.08885,114.58867
700,-6.7851844,94.532343,144.73932,114.85627,144.73957,114.85642
710,-8.2407491,95.682201,146.37035,115.11378,146.3706,115.11393
720,-9.7125272,96.834586,147.9821,115.36157,147.98235,115.36172
730,-11.200328,97.989402,149.57497,115.60009,149.57523,115.60024
740,-12.703965,99.146558,151.14936,115.8298,151.14961,115.82995
750,-14.223255,100.30597,152.70563,116.05112,152.70589,116.05127
760,-15.758019,101.46755,154.24417,116.26444,154.24443,116.26459
770,-17.308081,102.63123,155.76534,116.47013,155.7656,116.47028
780,-18.873269,103.79693,157.26949,116.66855,157.26975,116.6687
790,-20.453415,104.96458,158.75696,116.86002,158.75722,116.86017
800,-22.048353,106.13411,160.22808,117.04487,160.22835,117.04502
810,-23.657923,107.30546,161.68319,117.22338,161.68346,117.22353
820,-25.281965,108.47856,163.12259,117.39585,163.12286,117.39599
830,-26.920323,109.65335,164.5466,117.56252,164.54687,117.56267
840,-28.572846,110.82979,165.95552,117.72366,165.9558,117.72381
850,-30.239384,112.00781,167.34964,117.87951,167.34992,117.87966
860,-31.919791,113.18736,168.72925,118.03029,168.72953,118.03043
870,-33.613922,114.3684,170.09462,118.1762,170.0949,118.17635
880,-35.321637,115.55087,171.44603,118.31747,171.44631,118.31762
890,-37.042797,116.73473,172.78374,118.45427,172.78403,118.45442
900,-38.777267,117.91994,174.10801,118.5868,174.1083,118.58695
910,-40.524913,119.10646,175.41909,118.71522,175.41937,118.71537
920,-42.285605,120.29423,176.71722,118.8397,176.71751,118.83985
930,-44.059215,121.48324,178.00264,118.96041,178.00293,118.96055
940,-45.845617,122.67343,179.27558,119.07748,179.27587,119.07762
950,-47.644686,123.86478,180.53628,119.19106,180.53657,119.1912
960,-49.456302,125.05724,181.78494,119.30128,181.78524,119.30143
970,-51.280345,126.25079,183.02179,119.40828,183.02209,119.40843
980,-53.116699,127.4454,184.24704,119.51218,184.24733,119.51233
990,-54.965248,128.64102,185.46088,119.61309,185.46118,119.61324
1000,-56.825879,129.83765,186.66353,119.71113,186.66383,119.71128
1010,-58.698482,131.03524,187.85517,119.8064,187.85547,119.80655
1020,-60.582947,132.23377,189.03599,119.89901,189.0363,119.89916
1030,-62.479166,133.43321,190.20619,119.98906,190.2065,119.9892
1040,-64.387036,134.63354,191.36594,120.07662,191.36625,120.07677
1050,-66.306451,135.83473,192.51541,120.16181,192.51572,120.16195
1060,-68.23731,137.03677,193.65479,120.24469,193.6551,120.24484
1070,-70.179514,138.23962,194.78424,120.32535,194.78455,120.3255
1080,-72.132963,139.44327,195.90392,120.40387,195.90423,120.40402
1090,-74.09756,140.64769,197.01399,120.48032,197.01431,120.48047
1100,-76.073211,141.85287,198.11462,120.55478,198.11493,120.55493
1110,-78.059821,143.05878,199.20595,120.62731,199.20626,120.62746
1120,-80.057299,144.26541,200.28813,120.69798,200.28845,120.69813
1130,-82.065554,145.47273,201.36132,120.76685,201.36164,120.767
1140,-84.084496,146.68074,202.42565,120.83397,202.42597,120.83412
1150,-86.114038,147.88941,203.48126,120.89942,203.48158,120.89957
1160,-88.154093,149.09872,204.52829,120.96324,204.52861,120.96339
1170,-90.204575,150.30867,205.56687,121.02548,205.5672,121.02563
1180,-92.265402,151.51923,206.59714,121.08621,206.59747,121.08635
1190,-94.336491,152.73039,207.61922,121.14545,207.61955,121.1456
1200,-96.41776,153.94213,208.63324,121.20327,208.63357,121.20342
1210,-98.509129,155.15445,209.63932,121.25971,209.63965,121.25986
1220,-100.61052,156.36732,210.63757,121.31481,210.63791,121.31496
1230,-102.72186,157.58074,211.62813,121.36861,211.62846,121.36876
1240,-104.84306,158.79469,212.61109,121.42116,212.61142,121.4213
1250,-106.97405,160.00916,213.58657,121.47248,213.5869,121.47263
1260,-109.11476,161.22413,214.55468,121.52263,214.55502,121.52278
1270,-111.26512,162.43961,215.51553,121.57163,215.51587,121.57178
1280,-113.42505,163.65556,216.46923,121.61952,216.46957,121.61966
1290,-115.59448,164.87199,217.41587,121.66632,217.41621,121.66647
1300,-117.77335,166.08889,218.35556,121.71209,218.3559,121.71224
1310,-119.96157,167.30623,219.2884,121.75684,219.28874,121.75698
1320,-122.15909,168.52402,220.21448,121.8006,220.21482,121.80075
1330,-124.36584,169.74224,221.13389,121.8434,221.13424,121.84355
1340,-126.58175,170.96088,222.04674,121.88528,222.04708,121.88543
1350,-128.80675,172.17994,222.95311,121.92625,222.95345,121.9264
1360,-131.04079,173.39941,223.85308,121.96634,223.85343,121.96649
1370,-133.28379,174.61927,224.74676,122.00558,224.74711,122.00573
1380,-135.5357,175.83952,225.63422,122.04399,225.63457,122.04414
1390,-137.79646,177.06014,226.51554,122.0816,226.51589,122.08175
1400,-140.06599,178.28115,227.39081,122.11842,227.39116,122.11857
1410,-142.34425,179.50251,228.26012,122.15448,228.26047,122.15463
1420,-144.63118,180.72423,229.12353,122.1898,229.12388,122.18995
1430,-146.9267,181.9463,229.98112,122.2244,229.98148,122.22454
1440,-149.23078,183.16872,230.83298,122.25829,230.83334,122.25844
1450,-151.54334,184.39147,231.67918,122.2915,231.67954,122.29165
1460,-153.86434,185.61455,232.51979,122.32405,232.52014,122.3242
1470,-156.19372,186.83795,233.35488,122.35595,233.35523,122.3561
1480,-158.53142,188.06166,234.18452,122.38722,234.18488,122.38736
