temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,8.13889,5.678,3.19286,2.164,43.3408,1.02886
200,23.704,19.332,13.7725,10.267,22.6156,3.50547
298.15,33.8746,30.097,25.321,20.142,12.5514,5.17899
300,34.0155,30.254,25.531,20.329,12.4329,5.20197
400,39.706,36.692,36.1767,29.987,8.21424,6.18971
500,42.9268,40.799,45.4149,38.647,5.21531,6.76785
600,44.8693,43.538,53.4269,46.341,3.0578,7.08593
700,46.1142,45.434,60.4437,53.201,1.49704,7.2427
800,46.9538,46.791,66.6597,59.361,0.348016,7.29866
900,47.5446,47.792,72.2261,64.932,-0.517687,7.29405
1000,47.9749,48.55,77.2588,70.008,-1.18457,7.25078
1100,48.2975,49.136,81.8471,74.664,-1.70645,7.18311
1200,48.5454,49.598,86.0606,78.96,-2.12235,7.10062
1300,48.7397,49.97,89.9543,82.945,-2.46203,7.0093
1400,48.8949,50.272,93.5722,86.66,-2.73934,6.91219
1500,49.0207,50.521,96.95,90.137,-2.96974,6.81303
