temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,16.078235,16.078235,0,0,0,0
10,16.078231,16.078247,0.0015095415,0.0056499965,0.0015095471,0.0056500164
20,16.078158,16.078495,0.016848309,0.055831319,0.016848366,0.055831507
30,16.077787,16.079735,0.064936383,0.21997933,0.064936607,0.21998011
40,16.076652,16.083673,0.1755325,0.61637571,0.17553312,0.61637791
50,16.073949,16.093136,0.38374388,1.3311822,0.38374522,1.3311867
60,16.068573,16.111328,0.71257788,2.3532276,0.71258029,2.353235
70,16.059276,16.140991,1.1673538,3.6122916,1.1673576,3.6123022
80,16.044829,16.184107,1.7409685,5.0319956,1.7409739,5.0320095
90,16.024103,16.241969,2.4207343,6.5538169,2.4207416,6.553834
100,15.996107,16.315392,3.192856,8.1388901,3.1928652,8.1389105
110,15.959981,16.404872,4.0444626,9.7617181,4.044474,9.7617416
120,15.914991,16.510691,4.9641675,11.403856,4.964181,11.403883
130,15.860504,16.632963,5.9419866,13.050031,5.9420024,13.050061
140,15.795987,16.771659,6.9690862,14.686477,6.9691042,14.68651
150,15.720985,16.926618,8.0375516,16.300592,8.037572,16.300628
160,15.635122,17.097558,9.1402302,17.88114,9.140253,17.881178
170,15.538088,17.284096,10.270638,19.418548,10.270663,19.418588
180,15.429636,17.48576,11.422909,20.905093,11.422936,20.905135
190,15.309574,17.702009,12.591761,22.33494,12.591791,22.334984
200,15.177761,17.932256,13.772472,23.704042,13.772504,23.704088
210,15.0341,18.175879,14.960855,25.009953,14.96089,25.01
220,14.878531,18.432241,16.153225,26.251594,16.153262,26.251642
230,14.711033,18.700697,17.346366,27.429008,17.346405,27.429058
240,14.53161,18.98061,18.537496,28.543127,18.537538,28.543178
250,14.340297,19.271354,19.724225,29.595558,19.724269,29.595611
260,14.137147,19.572322,20.904518,30.588404,20.904563,30.588457
270,13.922234,19.882931,22.076656,31.524105,22.076703,31.524159
280,13.695646,20.202623,23.239201,32.405321,23.23925,32.405376
290,13.457486,20.530865,24.390963,33.234832,24.391014,33.234887
298.15,13.254904,20.804358,25.320991,33.874599,25.321043,33.874654
300,13.207866,20.867156,25.530967,34.015458,25.53102,34.015514
310,12.946909,21.211021,26.658427,34.750007,26.658481,34.750063
320,12.674742,21.562012,27.77272,35.44123,27.772776,35.441286
330,12.3915,21.91971,28.873364,36.091788,28.873423,36.091845
