temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,17.0088,15.762,11.2136,9.505,7.91,1.70858,8.70939,1.83458
200,22.5216,22.724,25.2187,23.143,-0.890508,2.07572,0.218451,2.32772
250,23.3519,24.018,30.343,28.364,-2.77321,1.97898,-1.4617,2.29398
298.15,23.8082,24.869,34.4984,32.671,-4.26543,1.82744,-2.75484,2.20311
300,23.8217,24.897,34.6458,32.825,-4.31896,1.82076,-2.80071,2.19876
350,24.1116,25.568,38.3413,36.715,-5.69604,1.62632,-3.97123,2.06732
400,24.3026,26.144,41.5743,40.167,-7.04343,1.40727,-5.11564,1.91127
450,24.4347,26.668,44.4448,43.277,-8.37431,1.16778,-6.24816,1.73478
500,24.5299,27.171,47.0244,46.113,-9.7202,0.911419,-7.40155,1.54142
600,24.6547,28.184,51.5088,51.156,-12.5223,0.352806,-9.83988,1.10881
