temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,2.703834,2.703834,0,0,0,0
10,2.7037981,2.7039543,0.015616379,0.050901483,0.015616431,0.050901652
20,2.7031305,2.7061704,0.1519982,0.51464087,0.15199873,0.51464268
30,2.6997095,2.717715,0.60018372,1.9848632,0.60018576,1.9848696
40,2.6896501,2.7490384,1.4847089,4.3893688,1.4847136,4.3893812
50,2.6687091,2.806649,2.7587985,7.1445549,2.7588066,7.1445726
60,2.6335882,2.891532,4.299062,9.7894856,4.2990737,9.7895072
70,2.5822382,3.0013522,5.9873423,12.113788,5.9873575,12.113812
80,2.5136414,3.132573,7.7366445,14.069964,7.736663,14.06999
90,2.4274936,3.2816109,9.4901923,15.684685,9.490214,15.684712
100,2.3239397,3.4452979,11.213581,17.008775,11.213606,17.008803
110,2.2033885,3.620994,12.887322,18.094892,12.88735,18.094921
120,2.0663929,3.806558,14.501376,18.989409,14.501406,18.989438
130,1.9135744,4.0002717,16.051517,19.73052,16.051549,19.730549
140,1.7455782,4.2007595,17.537009,20.348751,17.537043,20.34878
150,1.5630455,4.4069179,18.959149,20.86818,18.959185,20.86821
160,1.3665984,4.6178573,20.320368,21.307725,20.320406,21.307754
170,1.1568313,4.832856,21.623675,21.682259,21.623715,21.682289
180,0.93430709,5.0513252,22.872323,22.003526,22.872364,22.003555
190,0.69955602,5.2727803,24.069601,22.28084,24.069645,22.28087
200,0.45307557,5.4968204,25.218724,22.521641,25.218769,22.521671
210,0.19533181,5.7231114,26.32276,22.731905,26.322806,22.731935
220,-0.073239,5.9513729,27.3846,22.916469,27.384647,22.916498
230,-0.35222855,6.1813683,28.406943,23.07927,28.406992,23.079299
240,-0.64125458,6.4128966,29.392297,23.223536,29.392347,23.223566
250,-0.93995894,6.6457862,30.342981,23.35193,30.343032,23.35196
260,-1.2480058,6.8798897,31.261137,23.466661,31.261189,23.466691
270,-1.5650798,7.11508,32.14874,23.569573,32.148794,23.569603
280,-1.8908848,7.351247,33.007614,23.662214,33.007668,23.662244
290,-2.225142,7.5882945,33.839436,23.74589,33.839492,23.74592
298.15,-2.5036301,7.7820809,34.498443,23.808229,34.4985,23.808259
300,-2.5675886,7.8261386,34.645757,23.821708,34.645814,23.821738
310,-2.9179769,8.0647056,35.428008,23.890612,35.428066,23.890641
320,-3.2760729,8.3039305,36.187511,23.953408,36.187569,23.953438
330,-3.6416554,8.5437557,36.925488,24.010792,36.925548,24.010821
340,-4.0145147,8.7841303,37.643073,24.063362,37.643134,24.063391
350,-4.3944524,9.0250087,38.341317,24.111637,38.341379,24.111667
360,-4.7812798,9.2663502,39.021195,24.15607,39.021257,24.1561
370,-5.1748181,9.5081186,39.683612,24.197054,39.683676,24.197084
380,-5.5748967,9.750281,40.329415,24.234935,40.329479,24.234965
390,-5.9813536,9.9928079,40.959389,24.270017,40.959453,24.270047
400,-6.3940342,10.235673,41.574268,24.302566,41.574333,24.302596
410,-6.8127909,10.478852,42.174738,24.33282,42.174804,24.332849
420,-7.237483,10.722322,42.761441,24.360987,42.761508,24.361017
430,-7.6679759,10.966065,43.334979,24.387255,43.335047,24.387285
440,-8.1041406,11.210062,43.895914,24.41179,43.895983,24.41182
450,-8.5458539,11.454296,44.444777,24.43474,44.444846,24.434769
460,-8.9929976,11.698752,44.982063,24.456237,44.982133,24.456267
470,-9.4454582,11.943416,45.508243,24.476403,45.508313,24.476432
480,-9.9031269,12.188276,46.023755,24.495343,46.023826,24.495372
490,-10.365899,12.433319,46.529016,24.513154,46.529088,24.513184
500,-10.833674,12.678535,47.024419,24.529925,47.024491,24.529955
510,-11.306356,12.923914,47.510334,24.545735,47.510406,24.545764
520,-11.783851,13.169447,47.987111,24.560654,47.987184,24.560684
530,-12.266069,13.415125,48.455082,24.57475,48.455156,24.574779
