temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,11.2636,7.802,3.96623,2.548,44.3678,1.41823
200,30.9797,26.681,18.552,14.096,16.1115,4.45596
298.15,39.695,37.106,32.7855,26.924,6.97735,5.86155
300,39.8005,37.244,33.0314,27.154,6.86408,5.87742
400,43.7918,42.561,45.0965,38.678,2.89187,6.41851
500,45.8474,45.544,55.1121,48.523,0.666071,6.58906
600,47.0261,47.43,63.5843,57.006,-0.85161,6.5783
700,47.7593,48.748,70.8926,64.42,-2.02817,6.4726
800,48.2446,49.74,77.3037,70.996,-3.00644,6.30772
900,48.5817,50.539,83.0067,76.902,-3.87288,6.10471
1000,48.825,51.208,88.1386,82.262,-4.65353,5.87656
1100,49.0063,51.794,92.801,87.171,-5.38235,5.62998
1200,49.1448,52.325,97.0713,91.701,-6.07777,5.37028
1300,49.253,52.81,101.009,95.908,-6.73539,5.10141
1400,49.3392,53.262,104.663,99.839,-7.36513,4.82372
1500,49.4088,53.693,108.069,103.528,-7.97898,4.54123
1600,49.466,54.107,111.26,107.007,-8.5775,4.25289
1700,49.5134,54.509,114.26,110.299,-9.16473,3.96121
1800,49.5532,54.898,117.091,113.426,-9.73589,3.66547
1900,49.5869,55.278,119.772,116.404,-10.2954,3.3676
2000,49.6157,55.651,122.316,119.249,-10.8449,3.06683
2100,49.6405,56.019,124.737,121.973,-11.3863,2.76421
