temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.024,7.802,3.00712,2.548,15.6626,0.459124
200,28.4673,26.681,15.7451,14.096,6.69489,1.64911
298.15,38.0562,37.106,29.1453,26.924,2.56073,2.22128
300,38.1753,37.244,29.3811,27.154,2.50056,2.22706
400,42.7361,42.561,41.064,38.678,0.411467,2.38603
500,45.1232,45.544,50.8829,48.523,-0.923865,2.35985
600,46.5035,47.43,59.2423,57.006,-1.95335,2.23631
700,47.3663,48.748,66.4805,64.42,-2.8344,2.06047
800,47.939,49.74,72.8452,70.996,-3.62074,1.84919
900,48.3377,50.539,78.5159,76.902,-4.35565,1.61394
1000,48.6259,51.208,83.6245,82.262,-5.04241,1.36252
1100,48.8408,51.794,88.2696,87.171,-5.70189,1.09861
1200,49.0051,52.325,92.5267,91.701,-6.34469,0.825669
1300,49.1336,52.81,96.4544,95.908,-6.96149,0.546449
1400,49.236,53.262,100.1,99.839,-7.55894,0.260527
1500,49.3187,53.693,103.499,103.528,-8.14681,-0.0286235
1600,49.3866,54.107,106.685,107.007,-8.72414,-0.322428
1700,49.443,54.509,109.68,110.299,-9.29386,-0.618639
1800,49.4903,54.898,112.508,113.426,-9.85039,-0.918177
1900,49.5304,55.278,115.185,116.404,-10.3976,-1.21927
2000,49.5647,55.651,117.726,119.249,-10.9365,-1.5228
2100,49.5942,56.019,120.145,121.973,-11.4689,-1.82779
