temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.388177,13.388177,0,0,0,0
10,13.388176,13.388182,0.00060989083,0.0032299331,0.00060989371,0.0032299466
20,13.388129,13.388364,0.011733871,0.042393437,0.011733913,0.042393582
30,13.387858,13.389297,0.047939428,0.16292998,0.047939594,0.16293055
40,13.387024,13.392163,0.12846355,0.44697725,0.128464,0.44697886
50,13.385044,13.399172,0.28254916,1.0106776,0.28255017,1.0106812
60,13.381017,13.413614,0.54328523,1.9432739,0.54328718,1.9432807
70,13.373733,13.439349,0.93737107,3.2671494,0.93737437,3.2671603
80,13.361775,13.480132,1.4794718,4.9424026,1.4794768,4.9424182
90,13.343641,13.539111,2.1718842,6.8914609,2.1718914,6.8914814
100,13.31786,13.618573,3.0071242,9.0239993,3.0071338,9.0240246
110,13.283068,13.719915,3.9713307,11.254238,3.971343,11.254268
120,13.238061,13.84374,5.0473298,13.509948,5.0473448,13.509982
130,13.18181,13.990011,6.2169314,15.735351,6.2169493,15.735389
140,13.113469,14.158211,7.4624446,17.890449,7.4624654,17.89049
150,13.032363,14.347496,8.7675561,19.9487,8.7675798,19.948744
160,12.937968,14.556809,10.117755,21.894222,10.117782,21.894268
170,12.829899,14.784978,11.500461,23.719134,11.500491,23.719183
180,12.707886,15.030782,12.904976,25.421302,12.905008,25.421352
190,12.571757,15.293,14.322333,27.002543,14.322368,27.002595
200,12.421422,15.570444,15.745113,28.467263,15.74515,28.467316
210,12.256857,15.861977,17.167238,29.821451,17.167278,29.821504
220,12.078096,16.166528,18.583782,31.07196,18.583824,31.072015
230,11.885213,16.483095,19.990789,32.226011,19.990834,32.226067
240,11.678322,16.810751,21.385118,33.290853,21.385165,33.290909
250,11.457562,17.148638,22.764306,34.27354,22.764356,34.273597
260,11.223093,17.49597,24.12645,35.180802,24.126502,35.180859
270,10.975094,17.852024,25.470109,36.018958,25.470164,36.019016
280,10.713756,18.216138,26.794223,36.793887,26.794279,36.793945
290,10.439278,18.587709,28.098039,37.511012,28.098098,37.51107
298.15,10.206002,18.895668,29.145285,38.056184,29.145345,38.056242
300,10.151865,18.966183,29.38106,38.17531,29.38112,38.175368
310,9.8517266,19.351054,30.642992,38.791327,30.643054,38.791386
320,9.5390754,19.741862,31.883708,39.36321,31.883772,39.363269
330,9.2141232,20.138184,33.103214,39.894727,33.10328,39.894786
340,8.8770815,20.539634,34.301624,40.389301,34.301691,40.38936
350,8.5281604,20.945857,35.479134,40.850039,35.479203,40.850097
360,8.1675676,21.356531,36.636009,41.279757,36.63608,41.279816
370,7.7955079,21.771357,37.772566,41.681011,37.772639,41.68107
380,7.4121828,22.190064,38.889161,42.056121,38.889235,42.05618
390,7.01779,22.6124,39.986179,42.407188,39.986255,42.407247
400,6.6125231,23.038134,41.064027,42.736125,41.064104,42.736184
410,6.1965719,23.467054,42.123128,43.044666,42.123206,43.044725
420,5.7701216,23.898965,43.163912,43.33439,43.163992,43.334449
430,5.3333533,24.333684,44.186816,43.606733,44.186897,43.606793
440,4.8864435,24.771046,45.192278,43.863006,45.192361,43.863065
450,4.4295644,25.210895,46.180734,44.1044,46.180818,44.10446
460,3.962884,25.653088,47.152617,44.332006,47.152702,44.332066
470,3.4865659,26.097492,48.108354,44.54682,48.108441,44.546879
480,3.0007694,26.543985,49.048365,44.749751,49.048453,44.749811
490,2.5056496,26.99245,49.973063,44.941635,49.973152,44.941694
500,2.0013578,27.442783,50.88285,45.123235,50.882941,45.123294
510,1.488041,27.894883,51.778122,45.295253,51.778213,45.295313
520,0.96584248,28.348658,52.659261,45.458335,52.659354,45.458394
530,0.43490166,28.804022,53.526642,45.613072,53.526736,45.613132
540,-0.10464571,29.260894,54.380629,45.760011,54.380724,45.760071
550,-0.65266745,29.719198,55.221573,45.899656,55.22167,45.899715
560,-1.2090349,30.178864,56.04982,46.03247,56.049917,46.032529
570,-1.7736226,30.639826,56.865699,46.158882,56.865798,46.158941
580,-2.3463087,31.102022,57.669535,46.279289,57.669634,46.279348
590,-2.9269742,31.565393,58.461639,46.394057,58.46174,46.394116
600,-3.5155034,32.029885,59.242314,46.503527,59.242416,46.503586
610,-4.1117834,32.495447,60.011853,46.608013,60.011955,46.608072
620,-4.7157043,32.96203,60.770539,46.707809,60.770642,46.707868
630,-5.3271589,33.429588,61.518646,46.803186,61.518751,46.803245
640,-5.9460428,33.89808,62.256441,46.894396,62.256546,46.894456
650,-6.5722542,34.367463,62.984181,46.981676,62.984287,46.981735
660,-7.2056937,34.837701,63.702113,47.065244,63.70222,47.065304
670,-7.8462646,35.308756,64.410479,47.145305,64.410587,47.145364
680,-8.4938722,35.780596,65.109512,47.222049,65.109621,47.222108
690,-9.1484245,36.253187,65.799437,47.295654,65.799546,47.295714
700,-9.8098313,36.726499,66.480472,47.366288,66.480582,47.366347
710,-10.478005,37.200503,67.152829,47.434105,67.15294,47.434165
720,-11.15286,37.675172,67.816711,47.499252,67.816823,47.499311
730,-11.834312,38.15048,68.472317,47.561865,68.47243,47.561924
740,-12.522279,38.626402,69.119839,47.622072,69.119952,47.622131
750,-13.216682,39.102914,69.759461,47.679994,69.759576,47.680053
760,-13.917443,39.579994,70.391364,47.735743,70.391479,47.735802
770,-14.624484,40.057622,71.015722,47.789426,71.015838,47.789485
780,-15.337732,40.535776,71.632703,47.841142,71.63282,47.841201
790,-16.057114,41.014438,72.242471,47.890985,72.242589,47.891044
800,-16.782558,41.49359,72.845185,47.939044,72.845304,47.939103
810,-17.513995,41.973213,73.440998,47.985401,73.441117,47.985461
820,-18.251356,42.453292,74.030059,48.030137,74.030179,48.030196
830,-18.994574,42.933811,74.612512,48.073323,74.612633,48.073383
840,-19.743584,43.414754,75.188498,48.115032,75.188619,48.115091
850,-20.498323,43.896107,75.758153,48.155328,75.758275,48.155387
860,-21.258727,44.377856,76.321608,48.194274,76.321731,48.194333
870,-22.024735,44.859988,76.878992,48.23193,76.879115,48.231989
880,-22.796287,45.342491,77.430429,48.26835,77.430553,48.26841
890,-23.573324,45.825351,77.97604,48.303589,77.976164,48.303648
900,-24.355789,46.308559,78.515941,48.337696,78.516067,48.337756
910,-25.143624,46.792102,79.050248,48.370719,79.050374,48.370779
920,-25.936775,47.275969,79.57907,48.402703,79.579197,48.402763
930,-26.735188,47.760152,80.102516,48.433691,80.102643,48.433751
940,-27.538808,48.24464,80.62069,48.463724,80.620817,48.463783
950,-28.347584,48.729424,81.133693,48.492839,81.133821,48.492898
960,-29.161465,49.214494,81.641624,48.521074,81.641753,48.521133
970,-29.9804,49.699842,82.14458,48.548464,82.14471,48.548523
980,-30.80434,50.185461,82.642654,48.575041,82.642784,48.575101
990,-31.633237,50.671341,83.135937,48.600838,83.136068,48.600898
1000,-32.467043,51.157475,83.624518,48.625885,83.62465,48.625944
1010,-33.305712,51.643856,84.108483,48.650209,84.108615,48.650269
1020,-34.149198,52.130477,84.587916,48.673839,84.588049,48.673899
1030,-34.997456,52.61733,85.062899,48.696801,85.063032,48.69686
1040,-35.850441,53.104411,85.533511,48.719118,85.533645,48.719178
1050,-36.708112,53.591711,85.999831,48.740816,85.999965,48.740875
1060,-37.570424,54.079225,86.461933,48.761917,86.462068,48.761976
1070,-38.437336,54.566947,86.919891,48.782441,86.920027,48.7825
1080,-39.308808,55.054872,87.373778,48.80241,87.373914,48.80247
1090,-40.184799,55.542994,87.823663,48.821844,87.823799,48.821904
1100,-41.065268,56.031307,88.269614,48.840762,88.269751,48.840821
1110,-41.950178,56.519807,88.711698,48.859181,88.711836,48.85924
1120,-42.83949,57.008489,89.149981,48.877119,89.150119,48.877178
1130,-43.733165,57.497348,89.584525,48.894592,89.584664,48.894651
1140,-44.631168,57.986379,90.015392,48.911616,90.015532,48.911675
1150,-45.533461,58.475579,90.442643,48.928206,90.442783,48.928265
1160,-46.440009,58.964942,90.866337,48.944378,90.866477,48.944437
1170,-47.350776,59.454465,91.286531,48.960144,91.286672,48.960203
1180,-48.265728,59.944144,91.703281,48.975518,91.703422,48.975577
1190,-49.18483,60.433974,92.116642,48.990513,92.116784,48.990573
1200,-50.10805,60.923953,92.526669,49.005142,92.526811,49.005201
1210,-51.035353,61.414076,92.933412,49.019415,92.933555,49.019475
1220,-51.966707,61.90434,93.336924,49.033346,93.337067,49.033405
1230,-52.902081,62.394742,93.737254,49.046943,93.737398,49.047002
1240,-53.841442,62.885278,94.134451,49.060218,94.134596,49.060277
1250,-54.784759,63.375945,94.528563,49.073181,94.528708,49.07324
1260,-55.732003,63.86674,94.919637,49.085841,94.919783,49.085901
1270,-56.683142,64.357661,95.307719,49.098209,95.307865,49.098268
1280,-57.638148,64.848703,95.692852,49.110292,95.692999,49.110351
1290,-58.59699,65.339866,96.075082,49.122099,96.075228,49.122158
1300,-59.55964,65.831145,96.454449,49.133639,96.454597,49.133698
1310,-60.526069,66.322538,96.830998,49.14492,96.831145,49.144979
1320,-61.49625,66.814042,97.204767,49.155949,97.204915,49.156008
1330,-62.470155,67.305656,97.575798,49.166734,97.575946,49.166793
1340,-63.447757,67.797376,97.944129,49.177281,97.944278,49.177341
1350,-64.429029,68.289201,98.3098,49.187599,98.309949,49.187658
1360,-65.413945,68.781127,98.672847,49.197692,98.672997,49.197752
1370,-66.402477,69.273154,99.033307,49.207569,99.033458,49.207628
1380,-67.394602,69.765278,99.391217,49.217234,99.391368,49.217294
1390,-68.390293,70.257498,99.746612,49.226695,99.746763,49.226754
1400,-69.389526,70.749811,100.09953,49.235956,100.09968,49.236015
1410,-70.392276,71.242216,100.44999,49.245023,100.45015,49.245082
1420,-71.398518,71.734711,100.79805,49.253901,100.7982,49.253961
1430,-72.408229,72.227294,101.14372,49.262597,101.14387,49.262656
1440,-73.421385,72.719962,101.48705,49.271114,101.4872,49.271173
1450,-74.437962,73.212715,101.82805,49.279457,101.82821,49.279516
1460,-75.457938,73.705551,102.16677,49.287632,102.16693,49.287691
1470,-76.48129,74.198467,102.50324,49.295642,102.50339,49.295702
1480,-77.507995,74.691463,102.83747,49.303493,102.83763,49.303552
1490,-78.538032,75.184537,103.16951,49.311188,103.16966,49.311247
1500,-79.571378,75.677686,103.49938,49.318731,103.49953,49.31879
1510,-80.608012,76.170911,103.8271,49.326126,103.82726,49.326185
1520,-81.647913,76.664209,104.15271,49.333378,104.15287,49.333437
1530,-82.69106,77.157578,104.47623,49.340489,104.47639,49.340548
1540,-83.737431,77.651018,104.79769,49.347464,104.79785,49.347523
1550,-84.787007,78.144527,105.11712,49.354306,105.11728,49.354365
