temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,12.230931,12.230931,0,0,0,0
10,12.23093,12.23094,0.0010521952,0.0050267409,0.0010521998,0.0050267605
20,12.230861,12.231194,0.016664746,0.058195299,0.016664805,0.058195496
30,12.230484,12.232471,0.066231429,0.22385949,0.066231657,0.22386027
40,12.229331,12.23645,0.17797609,0.62456447,0.17797672,0.62456674
50,12.226578,12.246269,0.39382923,1.4146447,0.39383064,1.4146498
60,12.220964,12.266343,0.75631207,2.6808037,0.75631476,2.6808129
70,12.210867,12.301417,1.2935745,4.4038957,1.293579,4.4039099
80,12.194479,12.355632,2.0144231,6.4896848,2.0144299,6.4897044
90,12.16999,12.43201,2.9113296,8.8154927,2.911339,8.8155176
100,12.135725,12.532347,3.9662256,11.263573,3.9662379,11.263603
110,12.090216,12.657364,5.155884,13.737193,5.1558993,13.737228
120,12.03224,12.806935,6.455794,16.164731,6.4558125,16.164769
130,11.960811,12.980341,7.8425327,18.497594,7.8425543,18.497636
140,11.87517,13.17647,9.2949974,20.705836,9.2950223,20.70588
150,11.774754,13.393988,10.794893,22.77349,10.794921,22.773537
160,11.659166,13.63145,12.326776,24.69451,12.326807,24.694559
170,11.528154,13.887391,13.877861,26.469541,13.877895,26.469592
180,11.38158,14.160371,15.437726,28.103523,15.437764,28.103575
190,11.219399,14.449016,16.997985,29.603955,16.998025,29.604008
200,11.041641,14.752034,18.551964,30.979701,18.552007,30.979756
210,10.848398,15.068226,20.094417,32.240181,20.094463,32.240236
220,10.639805,15.396485,21.621273,33.39484,21.621321,33.394896
230,10.416035,15.7358,23.129414,34.452823,23.129465,34.452879
240,10.177287,16.085248,24.616505,35.422778,24.616557,35.422835
250,9.9237808,16.443989,26.080834,36.312757,26.080889,36.312815
260,9.6557503,16.811261,27.521197,37.130171,27.521254,37.130229
270,9.3734395,17.186373,28.936793,37.881789,28.936852,37.881847
280,9.0770986,17.568698,30.327142,38.573759,30.327204,38.573817
290,8.7669815,17.957668,31.692024,39.211643,31.692087,39.211701
298.15,8.504224,18.279234,32.785545,39.695015,32.785611,39.695073
300,8.4433431,18.352768,33.031416,39.800459,33.031481,39.800518
310,8.1064377,18.753529,34.345456,40.344729,34.345524,40.344787
320,7.7565177,19.159528,35.634406,40.848518,35.634475,40.848576
330,7.3938321,19.570377,36.89862,41.315483,36.898692,41.315542
340,7.0186263,19.985725,38.138527,41.748913,38.1386,41.748972
350,6.631141,20.405253,39.354606,42.151765,39.354681,42.151824
360,6.2316119,20.828668,40.547377,42.526701,40.547454,42.52676
370,5.8202693,21.255702,41.717386,42.876117,41.717464,42.876176
380,5.3973381,21.686112,42.865195,43.202173,42.865275,43.202232
390,4.9630375,22.119674,43.991376,43.506817,43.991458,43.506877
400,4.5175808,22.556183,45.096506,43.79181,45.096588,43.791869
410,4.0611756,22.99545,46.181158,44.058741,46.181242,44.0588
420,3.594024,23.437303,47.245901,44.309052,47.245987,44.309111
430,3.1163221,23.88158,48.291298,44.544047,48.291385,44.544106
440,2.6282607,24.328136,49.317899,44.764912,49.317988,44.764971
450,2.130025,24.776835,50.326245,44.972722,50.326334,44.972781
460,1.6217949,25.227551,51.31686,45.168457,51.316951,45.168516
470,1.1037451,25.680167,52.290259,45.353008,52.290351,45.353068
480,0.57604543,26.134576,53.246939,45.527191,53.247033,45.52725
490,0.038860482,26.590679,54.187384,45.691746,54.187479,45.691806
500,-0.5076497,27.048381,55.112062,45.847356,55.112158,45.847415
510,-1.0633297,27.507598,56.021427,45.99464,56.021524,45.994699
520,-1.6280287,27.968248,56.915917,46.13417,56.916015,46.13423
530,-2.2015999,28.430257,57.795957,46.26647,57.796056,46.266529
540,-2.783901,28.893555,58.661956,46.392019,58.662056,46.392079
550,-3.3747935,29.358077,59.514309,46.511262,59.514411,46.511321
560,-3.974143,29.823761,60.353399,46.624605,60.353502,46.624665
570,-4.5818185,30.29055,61.179594,46.732425,61.179698,46.732484
580,-5.1976931,30.758392,61.99325,46.835067,61.993355,46.835127
590,-5.8216429,31.227235,62.794709,46.932854,62.794815,46.932913
