temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.3865268,5.3865268,0,0,0,0
10,5.3864359,5.3868504,0.0414564,0.14186569,0.041456544,0.14186618
20,5.3845172,5.3933988,0.44407692,1.4943742,0.44407844,1.4943792
30,5.3748993,5.4237161,1.6272274,4.8820465,1.6272326,4.8820608
40,5.3490872,5.4958198,3.6683154,9.6958956,3.6683263,9.695921
50,5.2992265,5.6191987,6.3994439,14.988525,6.3994615,14.98856
60,5.2195834,5.7947526,9.5861535,20.042992,9.5861782,20.043035
70,5.1066874,6.0180628,13.019648,24.507452,13.01968,24.5075
80,4.9588845,6.2826216,16.546713,28.292004,16.546752,28.292056
90,4.7757817,6.5817682,20.066516,31.437559,20.066561,31.437614
100,4.5577865,6.9095366,23.517501,34.032394,23.517552,34.03245
110,4.3057794,7.2608983,26.864717,36.171542,26.864773,36.171599
120,4.0208987,7.6317355,30.090307,37.940645,30.090368,37.940703
130,3.7044035,8.0187182,33.187036,39.411403,33.187102,39.411461
140,3.3575906,8.4191637,36.154094,40.641816,36.154164,40.641874
150,2.9817443,8.8309084,38.994428,41.678069,38.994502,41.678128
160,2.5781078,9.2522006,41.71308,42.556724,41.713158,42.556783
170,2.147868,9.6816146,44.316157,43.306705,44.316238,43.306764
180,1.6921481,10.117983,46.810193,43.95096,46.810278,43.951019
190,1.2120056,10.560343,49.201775,44.507774,49.201863,44.507834
200,0.70843272,11.007896,51.497316,44.991799,51.497407,44.991858
210,0.18235898,11.459976,53.702937,45.414842,53.703031,45.414902
220,-0.36534552,11.916022,55.824396,45.786484,55.824493,45.786544
230,-0.93386638,12.37556,57.867073,46.114543,57.867172,46.114602
240,-1.522441,12.838189,59.835958,46.405438,59.83606,46.405498
250,-2.130355,13.303563,61.735672,46.664477,61.735776,46.664536
260,-2.7569382,13.771387,63.570481,46.896068,63.570588,46.896127
270,-3.4015614,14.241405,65.344321,47.103897,65.34443,47.103956
280,-4.0636335,14.713396,67.06082,47.291059,67.060931,47.291119
290,-4.7425979,15.187166,68.723325,47.460171,68.723438,47.460231
298.15,-5.3080828,15.574487,70.040482,47.586199,70.040597,47.586259
300,-5.4379303,15.662547,70.334923,47.613453,70.335039,47.613513
310,-6.1491362,16.139389,71.898468,47.752798,71.898585,47.752858
320,-6.8757483,16.617562,73.416594,47.879828,73.416713,47.879887
330,-7.6173248,17.096949,74.891739,47.995937,74.89186,47.995996
340,-8.3734474,17.577448,76.326163,48.10233,76.326286,48.102389
350,-9.1437193,18.058967,77.72196,48.200053,77.722085,48.200112
360,-9.9277643,18.541423,79.081076,48.290014,79.081202,48.290073
370,-10.725225,19.024744,80.40532,48.373008,80.405448,48.373067
380,-11.53576,19.508862,81.696375,48.449731,81.696504,48.44979
390,-12.359047,19.99372,82.955811,48.520794,82.955942,48.520853
400,-13.194776,20.479261,84.185093,48.586737,84.185225,48.586796
410,-14.042653,20.965439,85.385589,48.648037,85.385723,48.648096
420,-14.902396,21.452208,86.558581,48.705118,86.558716,48.705177
430,-15.773737,21.939528,87.705267,48.758355,87.705404,48.758414
440,-16.656417,22.427363,88.826774,48.808084,88.826912,48.808143
450,-17.550192,22.915679,89.924158,48.854605,89.924297,48.854664
460,-18.454823,23.404446,90.998411,48.898187,90.998552,48.898246
470,-19.370086,23.893634,92.050468,48.939071,92.05061,48.939131
480,-20.295762,24.383219,93.08121,48.977475,93.081353,48.977534
490,-21.231642,24.873176,94.091465,49.013593,94.091609,49.013652
500,-22.177525,25.363484,95.082018,49.047603,95.082164,49.047662
510,-23.133219,25.854122,96.053609,49.079665,96.053756,49.079725
520,-24.098537,26.345071,97.006938,49.109925,97.007086,49.109985
530,-25.073299,26.836315,97.942667,49.138515,97.942816,49.138574
540,-26.057333,27.327836,98.861425,49.165555,98.861575,49.165614
550,-27.050473,27.819621,99.763807,49.191154,99.763958,49.191213
560,-28.052557,28.311655,100.65038,49.215413,100.65053,49.215472
570,-29.06343,28.803925,101.52167,49.238423,101.52183,49.238482
580,-30.082941,29.296419,102.37821,49.260269,102.37836,49.260328
590,-31.110946,29.789127,103.22046,49.281027,103.22062,49.281086
600,-32.147304,30.282036,104.0489,49.300768,104.04906,49.300828
610,-33.19188,30.775139,104.86396,49.319558,104.86412,49.319617
620,-34.24454,31.268425,105.66607,49.337456,105.66623,49.337515
630,-35.305159,31.761885,106.45563,49.354518,106.45579,49.354577
640,-36.373612,32.255512,107.23301,49.370795,107.23317,49.370854
650,-37.44978,32.749299,107.99858,49.386334,107.99874,49.386393
660,-38.533546,33.243237,108.7527,49.401179,108.75286,49.401238
670,-39.624797,33.73732,109.4957,49.415371,109.49586,49.41543
680,-40.723424,34.231542,110.22789,49.428947,110.22805,49.429006
690,-41.82932,34.725897,110.94959,49.441942,110.94975,49.442001
700,-42.942382,35.220379,111.66109,49.45439,111.66125,49.454449
710,-44.062509,35.714983,112.36266,49.466319,112.36283,49.466378
720,-45.189603,36.209704,113.05459,49.47776,113.05476,49.477819
730,-46.323569,36.704537,113.73713,49.488737,113.7373,49.488796
740,-47.464315,37.199477,114.41053,49.499275,114.4107,49.499335
750,-48.61175,37.694521,115.07503,49.509399,115.0752,49.509458
760,-49.765787,38.189664,115.73086,49.519128,115.73103,49.519187
770,-50.926339,38.684902,116.37824,49.528483,116.37841,49.528542
780,-52.093324,39.180232,117.01738,49.537484,117.01755,49.537543
790,-53.26666,39.675651,117.64849,49.546147,117.64867,49.546206
800,-54.446268,40.171154,118.27178,49.554489,118.27195,49.554548
810,-55.63207,40.66674,118.88742,49.562527,118.88759,49.562586
820,-56.823991,41.162404,119.4956,49.570274,119.49578,49.570333
830,-58.021958,41.658144,120.09651,49.577744,120.09668,49.577804
840,-59.225898,42.153958,120.6903,49.584951,120.69048,49.585011
850,-60.435741,42.649842,121.27716,49.591907,121.27733,49.591966
860,-61.651418,43.145795,121.85722,49.598623,121.8574,49.598682
870,-62.872863,43.641814,122.43066,49.60511,122.43084,49.605169
880,-64.10001,44.137897,122.99762,49.611378,122.9978,49.611437
890,-65.332794,44.634041,123.55824,49.617438,123.55842,49.617497
900,-66.571154,45.130245,124.11267,49.623297,124.11285,49.623356
910,-67.815027,45.626506,124.66103,49.628966,124.66121,49.629025
920,-69.064355,46.122823,125.20345,49.634451,125.20364,49.63451
930,-70.319077,46.619195,125.74008,49.639762,125.74026,49.639821
940,-71.579137,47.115618,126.27102,49.644904,126.2712,49.644963
950,-72.844479,47.612092,126.79639,49.649886,126.79657,49.649945
960,-74.115047,48.108615,127.31631,49.654714,127.3165,49.654773
970,-75.390787,48.605186,127.8309,49.659394,127.83109,49.659453
980,-76.671648,49.101803,128.34026,49.663932,128.34044,49.663991
990,-77.957575,49.598464,128.84448,49.668334,128.84467,49.668393
1000,-79.24852,50.095169,129.34369,49.672605,129.34388,49.672664
1010,-80.544433,50.591916,129.83797,49.67675,129.83816,49.676809
1020,-81.845264,51.088703,130.32742,49.680775,130.32761,49.680834
1030,-83.150965,51.585531,130.81213,49.684683,130.81232,49.684742
1040,-84.461491,52.082397,131.2922,49.68848,131.29239,49.688539
1050,-85.776794,52.5793,131.76771,49.692169,131.7679,49.692228
1060,-87.09683,53.07624,132.23875,49.695754,132.23894,49.695813
1070,-88.421554,53.573215,132.70539,49.69924,132.70558,49.699299
1080,-89.750924,54.070224,133.16773,49.70263,133.16792,49.702689
1090,-91.084895,54.567267,133.62584,49.705927,133.62603,49.705986
1100,-92.423427,55.064343,134.07979,49.709135,134.07998,49.709195
