temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.7339316,4.7339316,0,0,0,0
10,4.7338196,4.7343251,0.050549392,0.17142213,0.050549567,0.17142272
20,4.7314819,4.7423676,0.54428495,1.8603172,0.54428684,1.8603234
30,4.719504,4.7808522,2.0449379,6.244165,2.0449445,6.2441834
40,4.6868754,4.8726548,4.644485,12.242831,4.6444987,12.242862
50,4.6239602,5.0259369,8.0395337,18.338692,8.0395555,18.338733
60,4.5246366,5.2369882,11.872527,23.722491,11.872557,23.722539
70,4.3859527,5.4972749,15.876031,28.181203,15.876069,28.181255
80,4.2071137,5.7977241,19.882629,31.775768,19.882674,31.775823
90,3.9886107,6.1303895,23.797542,34.650025,23.797593,34.650081
100,3.7316346,6.4888167,27.571821,36.951121,27.571879,36.951178
110,3.4377174,6.8679215,31.183674,38.804218,31.183737,38.804276
120,3.1085244,7.2637412,34.626807,40.308609,34.626875,40.308667
130,2.7457366,7.6731885,37.903476,41.540845,37.903549,41.540904
140,2.3509875,8.0938473,41.020427,42.559354,41.020504,42.559413
150,1.9258309,8.5238129,43.986546,43.408687,43.986627,43.408747
160,1.471727,8.9615716,46.811529,44.122955,46.811614,44.123015
170,0.99003825,9.40591,49.505128,44.72844,49.505216,44.728499
180,0.48203099,9.8558463,52.076752,45.245549,52.076844,45.245608
190,-0.051119812,10.31058,54.535262,45.690261,54.535357,45.690321
200,-0.60832471,10.769453,56.888886,46.075194,56.888985,46.075254
210,-1.1885732,11.231918,59.145198,46.410394,59.145299,46.410453
220,-1.7909275,11.697522,61.311133,46.703922,61.311237,46.703982
230,-2.4145158,12.16588,63.393024,46.962301,63.393131,46.962361
240,-3.0585271,12.636668,65.396648,47.190846,65.396757,47.190905
250,-3.7222055,13.109612,67.327269,47.393918,67.327381,47.393977
260,-4.4048452,13.584474,69.189689,47.57512,69.189803,47.575179
270,-5.1057866,14.061051,70.988289,47.737448,70.988405,47.737508
280,-5.8244116,14.539168,72.727072,47.883409,72.72719,47.883468
290,-6.5601408,15.018672,74.4097,48.015108,74.40982,48.015167
298.15,-7.1720316,15.4104,75.741847,48.113142,75.741969,48.113201
300,-7.3124297,15.499429,76.039529,48.134329,76.039651,48.134389
310,-8.0807657,15.981322,77.619638,48.242586,77.619762,48.242646
320,-8.8646662,16.464248,79.152858,48.341174,79.152984,48.341233
330,-9.6636753,16.948117,80.641795,48.4312,80.641923,48.43126
340,-10.477362,17.432847,82.088852,48.513623,82.088982,48.513682
350,-11.30532,17.918367,83.496249,48.589268,83.49638,48.589328
360,-12.147162,18.404612,84.86604,48.658856,84.866173,48.658915
370,-13.002522,18.891526,86.20013,48.723011,86.200264,48.72307
380,-13.871052,19.379056,87.500284,48.782281,87.50042,48.782341
390,-14.75242,19.867157,88.768146,48.837148,88.768284,48.837208
400,-15.646312,20.355786,90.005245,48.888036,90.005384,48.888095
410,-16.552427,20.844906,91.213007,48.935317,91.213148,48.935376
420,-17.470479,21.334481,92.392762,48.979324,92.392905,48.979383
430,-18.400193,21.824482,93.545757,49.02035,93.5459,49.020409
440,-19.341309,22.314879,94.673154,49.058657,94.673299,49.058717
450,-20.293575,22.805647,95.776048,49.094481,95.776194,49.09454
460,-21.256751,23.296761,96.855462,49.128029,96.85561,49.128089
470,-22.230609,23.788201,97.912361,49.159491,97.912509,49.15955
480,-23.214927,24.279945,98.947649,49.189034,98.947799,49.189093
490,-24.209493,24.771975,99.96218,49.216812,99.962331,49.216871
500,-25.214104,25.264276,100.95676,49.242961,100.95691,49.243021
510,-26.228564,25.75683,101.93214,49.267607,101.9323,49.267666
520,-27.252685,26.249623,102.88905,49.290862,102.88921,49.290921
530,-28.286286,26.742643,103.82817,49.312828,103.82832,49.312887
540,-29.329191,27.235876,104.75012,49.333598,104.75028,49.333658
550,-30.381233,27.729311,105.65553,49.353259,105.65569,49.353318
560,-31.442248,28.222937,106.54497,49.371886,106.54513,49.371945
570,-32.512081,28.716745,107.41899,49.389552,107.41915,49.389611
580,-33.590579,29.210725,108.27811,49.40632,108.27827,49.406379
590,-34.677595,29.704869,109.12282,49.422251,109.12298,49.42231
600,-35.772989,30.199168,109.95359,49.4374,109.95376,49.437459
610,-36.876622,30.693615,110.77088,49.451816,110.77104,49.451875
620,-37.988363,31.188202,111.5751,49.465546,111.57527,49.465605
630,-39.108082,31.682923,112.36668,49.478633,112.36684,49.478692
640,-40.235655,32.177773,113.14598,49.491116,113.14615,49.491175
650,-41.370962,32.672744,113.91339,49.503032,113.91356,49.503091
660,-42.513885,33.167831,114.66927,49.514414,114.66944,49.514473
670,-43.66431,33.66303,115.41394,49.525295,115.41411,49.525354
680,-44.822127,34.158336,116.14774,49.535702,116.14791,49.535761
690,-45.98723,34.653743,116.87097,49.545663,116.87115,49.545722
700,-47.159513,35.149248,117.58394,49.555203,117.58412,49.555262
710,-48.338875,35.644846,118.28693,49.564345,118.2871,49.564405
720,-49.525219,36.140533,118.98021,49.573112,118.98039,49.573171
730,-50.718448,36.636307,119.66405,49.581523,119.66422,49.581582
740,-51.918469,37.132163,120.33869,49.589597,120.33887,49.589657
750,-53.125192,37.628098,121.00439,49.597353,121.00456,49.597412
760,-54.338528,38.124109,121.66136,49.604806,121.66154,49.604865
770,-55.558391,38.620193,122.30985,49.611972,122.31003,49.612031
780,-56.784697,39.116347,122.95006,49.618866,122.95024,49.618925
790,-58.017365,39.612569,123.5822,49.625501,123.58237,49.62556
800,-59.256315,40.108856,124.20646,49.63189,124.20664,49.631949
810,-60.501469,40.605206,124.82306,49.638045,124.82324,49.638104
820,-61.752751,41.101617,125.43216,49.643977,125.43234,49.644036
830,-63.010088,41.598085,126.03394,49.649697,126.03413,49.649756
840,-64.273406,42.09461,126.62859,49.655215,126.62877,49.655275
850,-65.542636,42.591189,127.21626,49.660541,127.21645,49.6606
860,-66.817709,43.08782,127.79713,49.665682,127.79731,49.665741
870,-68.098556,43.584502,128.37133,49.670648,128.37152,49.670707
880,-69.385114,44.081232,128.93903,49.675447,128.93922,49.675506
890,-70.677316,44.57801,129.50037,49.680085,129.50055,49.680144
900,-71.9751,45.074834,130.05548,49.68457,130.05567,49.684629
910,-73.278405,45.571701,130.60451,49.688909,130.6047,49.688968
920,-74.587171,46.068611,131.14759,49.693107,131.14778,49.693166
930,-75.901338,46.565563,131.68484,49.697171,131.68503,49.69723
940,-77.220848,47.062554,132.21639,49.701107,132.21658,49.701166
950,-78.545647,47.559585,132.74235,49.70492,132.74254,49.704979
960,-79.875677,48.056652,133.26284,49.708614,133.26303,49.708673
970,-81.210886,48.553756,133.77798,49.712195,133.77817,49.712254
980,-82.551219,49.050896,134.28787,49.715668,134.28806,49.715727
990,-83.896626,49.548069,134.79262,49.719036,134.79281,49.719095
1000,-85.247055,50.045276,135.29233,49.722304,135.29252,49.722363
1010,-86.602456,50.542515,135.7871,49.725475,135.78729,49.725535
1020,-87.962781,51.039785,136.27703,49.728555,136.27722,49.728614
1030,-89.327981,51.537086,136.7622,49.731545,136.7624,49.731604
1040,-90.698009,52.034416,137.24272,49.734449,137.24291,49.734508
1050,-92.07282,52.531775,137.71866,49.737272,137.71886,49.737331
1060,-93.452368,53.029161,138.19012,49.740015,138.19032,49.740074
1070,-94.836608,53.526575,138.65718,49.742681,138.65738,49.74274
1080,-96.225497,54.024015,139.11992,49.745274,139.12012,49.745333
1090,-97.618992,54.52148,139.57841,49.747797,139.57861,49.747856
1100,-99.017051,55.01897,140.03275,49.750251,140.03295,49.75031
