temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.7817269,7.7817269,0,0,0,0
10,7.7817101,7.781796,0.0085853255,0.03198246,0.0085853571,0.031982569
20,7.7813008,7.7831834,0.094131071,0.31709123,0.094131395,0.31709233
30,7.7791788,7.7904535,0.37582422,1.2941334,0.37582553,1.2941379
40,7.7726352,7.8126208,0.99964041,3.3203487,0.99964381,3.3203595
50,7.757763,7.8601213,2.0471654,6.3153106,2.047172,6.3153294
60,7.7302982,7.9409505,3.5108724,9.9168698,3.5108831,9.9168967
70,7.6863739,8.0591552,5.3254468,13.731173,5.3254623,13.731207
80,7.6229072,8.2152893,7.4047768,17.464293,7.4047972,17.464333
90,7.5376748,8.4075833,9.6656495,20.94322,9.665675,20.943265
100,7.429224,8.6330362,12.038122,24.088845,12.038153,24.088894
110,7.2967233,8.8881811,14.467798,26.881786,14.467833,26.881837
120,7.1398129,9.1695402,16.914394,29.335711,16.914434,29.335764
130,6.9584759,9.4738626,19.349128,31.480009,19.349172,31.480063
140,6.7529371,9.7982249,21.752056,33.349643,21.752104,33.349699
150,6.5235859,10.140057,24.109809,34.979724,24.109861,34.97978
160,6.2709205,10.49713,26.41381,36.402869,26.413865,36.402926
170,5.9955063,10.867522,28.658917,37.648151,28.658976,37.648209
180,5.6979476,11.249585,30.842429,38.740872,30.842492,38.740931
190,5.3788665,11.641904,32.963355,39.702747,32.96342,39.702806
200,5.0388886,12.043266,35.021885,40.552268,35.021954,40.552327
210,4.6786335,12.452627,37.019018,41.305116,37.019089,41.305175
220,4.2987078,12.86909,38.956283,41.974568,38.956358,41.974627
230,3.8997012,13.291878,40.835553,42.571867,40.835629,42.571926
240,3.4821832,13.720319,42.658899,43.106543,42.658978,43.106602
250,3.0467023,14.153828,44.428501,43.586689,44.428582,43.586749
260,2.593785,14.591894,46.146573,44.019197,46.146657,44.019256
270,2.1239353,15.034072,47.815322,44.40995,47.815409,44.410009
280,1.6376357,15.479971,49.436911,44.763985,49.436999,44.764044
290,1.1353473,15.929244,51.013437,45.085629,51.013528,45.085688
298.15,0.71446294,16.297686,52.266385,45.326416,52.266477,45.326476
300,0.61751041,16.381588,52.546925,45.37861,52.547017,45.37867
310,0.084545774,16.836732,54.039309,45.646152,54.039404,45.646211
320,-0.46314493,17.294435,55.492439,45.891048,55.492535,45.891107
330,-1.025178,17.754485,56.90807,46.115728,56.908169,46.115788
340,-1.6011869,18.21669,58.287872,46.322314,58.287972,46.322373
350,-2.1908213,18.680877,59.633425,46.51266,59.633527,46.512719
360,-2.7937462,19.146894,60.946223,46.688395,60.946327,46.688454
370,-3.4096413,19.614601,62.227683,46.850951,62.227788,46.851011
380,-4.0381999,20.083874,63.479141,47.001594,63.479247,47.001654
390,-4.6791283,20.554597,64.701861,47.141443,64.701969,47.141502
400,-5.3321453,21.02667,65.897038,47.271489,65.897147,47.271549
410,-5.9969811,21.499997,67.065801,47.392617,67.065912,47.392676
420,-6.6733768,21.974495,68.209219,47.505612,68.209331,47.505671
430,-7.3610843,22.450085,69.3283,47.611178,69.328414,47.611237
440,-8.0598649,22.926696,70.424002,47.709945,70.424117,47.710004
450,-8.7694894,23.404263,71.497228,47.802478,71.497344,47.802537
460,-9.4897374,23.882726,72.548834,47.889285,72.548952,47.889344
470,-10.220397,24.362031,73.579634,47.970824,73.579753,47.970883
480,-10.961263,24.842127,74.590396,48.047509,74.590516,48.047569
490,-11.71214,25.322966,75.58185,48.119715,75.581972,48.119774
500,-12.472838,25.804507,76.554691,48.187779,76.554814,48.187839
510,-13.243174,26.286709,77.509575,48.252011,77.5097,48.252071
520,-14.022972,26.769536,78.44713,48.312691,78.447255,48.31275
530,-14.812061,27.252952,79.367949,48.370073,79.368076,48.370132
540,-15.610277,27.736927,80.2726,48.424391,80.272727,48.42445
550,-16.417461,28.22143,81.161621,48.475856,81.161749,48.475916
560,-17.233459,28.706435,82.035525,48.524665,82.035655,48.524725
570,-18.058123,29.191915,82.894804,48.570996,82.894934,48.571055
580,-18.891308,29.677847,83.739923,48.615012,83.740055,48.615071
590,-19.732876,30.164208,84.571329,48.656864,84.571461,48.656923
600,-20.58269,30.650978,85.389447,48.696691,85.389581,48.69675
610,-21.440622,31.138136,86.194684,48.734621,86.194819,48.73468
620,-22.306542,31.625664,86.98743,48.770771,86.987566,48.770831
630,-23.18033,32.113546,87.768056,48.805251,87.768193,48.805311
640,-24.061864,32.601764,88.536919,48.838162,88.537057,48.838221
650,-24.95103,33.090304,89.29436,48.869596,89.294499,48.869655
660,-25.847714,33.579151,90.040706,48.89964,90.040845,48.8997
670,-26.751808,34.068292,90.77627,48.928375,90.77641,48.928435
680,-27.663205,34.557715,91.501352,48.955876,91.501494,48.955935
690,-28.581801,35.047406,92.216243,48.982211,92.216385,48.98227
700,-29.507497,35.537355,92.921217,49.007445,92.92136,49.007504
710,-30.440193,36.027552,93.616542,49.031639,93.616686,49.031698
720,-31.379796,36.517985,94.302474,49.054849,94.302618,49.054908
730,-32.326212,37.008645,94.979257,49.077126,94.979403,49.077186
740,-33.279352,37.499524,95.64713,49.098522,95.647276,49.098581
750,-34.239126,37.990613,96.306319,49.11908,96.306466,49.119139
760,-35.20545,38.481903,96.957044,49.138844,96.957191,49.138903
770,-36.178239,38.973387,97.599515,49.157854,97.599664,49.157913
780,-37.157413,39.465058,98.233938,49.176148,98.234087,49.176207
790,-38.142892,39.956908,98.860507,49.193762,98.860657,49.193821
800,-39.134598,40.448931,99.479411,49.210728,99.479562,49.210787
810,-40.132455,40.941121,100.09083,49.227078,100.09099,49.227137
820,-41.13639,41.433471,100.69495,49.242841,100.6951,49.2429
830,-42.146331,41.925976,101.29194,49.258045,101.29209,49.258104
840,-43.162206,42.41863,101.88195,49.272715,101.8821,49.272775
850,-44.183947,42.911428,102.46515,49.286878,102.4653,49.286937
860,-45.211487,43.404366,103.04169,49.300554,103.04184,49.300614
870,-46.244759,43.897438,103.61172,49.313768,103.61188,49.313827
