temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.0765992,7.0765992,0,0,0,0
10,7.0765768,7.076688,0.011127804,0.040247225,0.011127844,0.040247362
20,7.0760609,7.0784264,0.11827092,0.39963018,0.11827133,0.39963158
30,7.0733743,7.0877331,0.47862549,1.6689248,0.47862718,1.6689306
40,7.0649912,7.1163389,1.2836937,4.2708652,1.2836981,4.2708789
50,7.0459248,7.176767,2.6168441,7.9481075,2.6168525,7.9481304
60,7.0110399,7.2769762,4.4322713,12.131978,4.4322847,12.132009
70,6.9560371,7.4194526,6.6202212,16.336667,6.6202399,16.336705
80,6.8777899,7.6027898,9.0624986,20.270831,9.0625229,20.270875
90,6.7742784,7.8235197,11.658237,23.803351,11.658267,23.803399
100,6.6443731,8.0774052,14.330321,26.902031,14.330356,26.902082
110,6.4876039,8.360176,17.023383,29.586124,17.023423,29.586177
120,6.3039639,8.6678836,19.699331,31.897185,19.699376,31.89724
130,6.0937596,8.9970366,22.332901,33.883261,22.33295,33.883317
140,5.8575015,9.3446221,24.908004,35.591141,24.908057,35.591198
150,5.5958271,9.7080735,27.414976,37.06305,27.415034,37.063108
160,5.3094469,10.085219,29.848577,38.335618,29.848638,38.335676
170,4.9991078,10.474226,32.206576,39.439946,32.20664,39.440004
180,4.6655682,10.873545,34.488759,40.40213,34.488827,40.402189
190,4.3095817,11.281867,36.696241,41.243942,36.696312,41.244001
200,3.9318859,11.698083,38.830986,41.983499,38.83106,41.983558
210,3.5331962,12.121247,40.895481,42.635881,40.895558,42.63594
220,3.1142012,12.550552,42.892505,43.213657,42.892585,43.213716
230,2.6755612,12.985307,44.82498,43.72733,44.825063,43.727389
240,2.2179069,13.424915,46.695866,44.185701,46.695951,44.185761
250,1.7418395,13.868861,48.508087,44.596176,48.508174,44.596235
260,1.2479312,14.3167,50.264493,44.965002,50.264583,44.965062
270,0.73672648,14.76804,51.967829,45.297477,51.96792,45.297536
280,0.20874278,15.222543,53.620715,45.598105,53.620809,45.598165
290,-0.33552798,15.679909,55.225645,45.870734,55.225741,45.870793
298.15,-0.79082946,16.054597,56.499836,46.074521,56.499933,46.074581
300,-0.89561814,16.139875,56.784978,46.118661,56.785076,46.11872
310,-1.471083,16.602209,58.300943,46.344722,58.301043,46.344781
320,-2.0614995,17.066705,59.775639,46.551368,59.775741,46.551428
330,-2.6664648,17.533179,61.211042,46.740722,61.211146,46.740781
340,-3.2855955,18.001468,62.609011,46.914628,62.609116,46.914687
350,-3.9185261,18.471426,63.971291,47.074697,63.971398,47.074756
360,-4.5649079,18.942921,65.299524,47.222337,65.299632,47.222397
370,-5.2244082,19.415835,66.595252,47.358786,66.595363,47.358845
380,-5.8967094,19.890063,67.859927,47.485132,67.860039,47.485191
390,-6.5815078,20.365507,69.09491,47.602335,69.095024,47.602395
400,-7.2785129,20.842082,70.301487,47.711248,70.301602,47.711307
410,-7.9874469,21.319707,71.480863,47.812625,71.48098,47.812684
420,-8.7080433,21.798311,72.634178,47.907139,72.634296,47.907198
430,-9.4400471,22.277829,73.762503,47.995389,73.762622,47.995448
440,-10.183213,22.7582,74.866849,48.077912,74.86697,48.077971
450,-10.937307,23.23937,75.948171,48.155188,75.948294,48.155247
460,-11.702103,23.721288,77.007372,48.227649,77.007495,48.227708
470,-12.477384,24.203908,78.045302,48.295683,78.045427,48.295743
480,-13.262941,24.687188,79.062768,48.359642,79.062894,48.359701
490,-14.058574,25.171088,80.060534,48.419841,80.060662,48.4199
500,-14.864088,25.655573,81.039323,48.476568,81.039452,48.476627
510,-15.679299,26.140609,81.99982,48.530082,81.999949,48.530141
520,-16.504026,26.626165,82.942675,48.580621,82.942805,48.58068
530,-17.338096,27.112212,83.868506,48.628398,83.868638,48.628458
540,-18.181341,27.598724,84.777899,48.673612,84.778032,48.673671
550,-19.033601,28.085676,85.671413,48.71644,85.671547,48.716499
560,-19.894718,28.573046,86.549579,48.757047,86.549714,48.757106
570,-20.764543,29.06081,87.412901,48.795582,87.413037,48.795641
580,-21.642929,29.548951,88.261861,48.832184,88.261998,48.832243
590,-22.529734,30.037448,89.096919,48.866979,89.097057,48.867039
600,-23.424822,30.526285,89.918511,48.900084,89.918651,48.900143
610,-24.328061,31.015445,90.727058,48.931605,90.727198,48.931665
620,-25.239321,31.504912,91.522957,48.961642,91.523098,48.961701
630,-26.158479,31.994673,92.30659,48.990286,92.306732,48.990345
640,-27.085413,32.484713,93.078323,49.017622,93.078466,49.017681
650,-28.020007,32.975021,93.838504,49.043726,93.838648,49.043786
660,-28.962146,33.465584,94.58747,49.068673,94.587614,49.068733
670,-29.91172,33.956391,95.325539,49.09253,95.325684,49.092589
680,-30.868621,34.447431,96.053018,49.115358,96.053165,49.115417
690,-31.832746,34.938695,96.770204,49.137215,96.770352,49.137274
700,-32.803992,35.430172,97.477378,49.158156,97.477526,49.158216
710,-33.782261,35.921855,98.174811,49.178232,98.174961,49.178291
720,-34.767457,36.413734,98.862765,49.197488,98.862915,49.197547
730,-35.759486,36.905802,99.54149,49.215969,99.541641,49.216028
740,-36.758257,37.398051,100.21123,49.233716,100.21138,49.233775
750,-37.763681,37.890474,100.87221,49.250767,100.87236,49.250826
760,-38.775672,38.383064,101.52465,49.267157,101.52481,49.267217
770,-39.794146,38.875815,102.16878,49.282921,102.16894,49.282981
780,-40.819021,39.368721,102.8048,49.29809,102.80495,49.298149
790,-41.850216,39.861775,103.4329,49.312693,103.43306,49.312752
800,-42.887653,40.354973,104.05328,49.326758,104.05344,49.326817
810,-43.931256,40.848309,104.66613,49.340311,104.66629,49.34037
820,-44.980951,41.341778,105.27162,49.353377,105.27178,49.353436
830,-46.036665,41.835375,105.86993,49.365978,105.87009,49.366037
840,-47.098326,42.329096,106.46122,49.378136,106.46138,49.378195
850,-48.165866,42.822936,107.04565,49.389872,107.04581,49.389931
860,-49.239217,43.316892,107.62338,49.401205,107.62354,49.401264
870,-50.318312,43.810959,108.19456,49.412153,108.19473,49.412212
880,-51.403087,44.305134,108.75934,49.422734,108.7595,49.422793
890,-52.493478,44.799412,109.31785,49.432963,109.31802,49.433022
900,-53.589424,45.293792,109.87024,49.442856,109.8704,49.442915
