temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,10.2015,7.268,5.84611,3.833,40.3615,2.01311
200,18.649,15.636,15.9714,11.665,19.2698,4.30638
298.15,21.7168,20,24.084,18.82,8.58421,5.26398
300,21.7521,20.05,24.2184,18.943,8.48929,5.27543
400,23.0568,22.142,30.6786,25.032,4.13151,5.64659
500,23.7067,23.33,35.9009,30.11,1.61478,5.79089
600,24.0729,24.154,40.2584,34.44,-0.335568,5.8184
700,24.2984,24.803,43.9875,38.212,-2.03433,5.77548
800,24.4467,25.359,47.2424,41.562,-3.59758,5.68041
900,24.5492,25.874,50.1281,44.579,-5.1201,5.54908
1000,24.623,26.338,52.7186,47.329,-6.51145,5.38962
1100,24.6779,26.778,55.0681,49.86,-7.84281,5.20814
