temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,9.90073,7.268,5.80534,3.833,36.2236,1.97234
200,18.3081,15.636,15.6738,11.665,17.0896,4.00875
298.15,21.5053,20,23.676,18.82,7.52653,4.85596
300,21.5425,20.05,23.8091,18.943,7.44374,4.8661
400,22.924,22.142,30.2206,25.032,3.53191,5.18859
500,23.6169,23.33,35.4183,30.11,1.22965,5.30831
600,24.0086,24.154,39.7619,34.44,-0.601916,5.32189
700,24.2503,24.803,43.4824,38.212,-2.22846,5.27036
800,24.4094,25.359,46.7316,41.562,-3.74472,5.16961
900,24.5195,25.874,49.6133,44.579,-5.23499,5.03435
1000,24.5988,26.338,52.2011,47.329,-6.60342,4.87206
1100,24.6577,26.778,54.5485,49.86,-7.9179,4.68847
