temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.714247,4.714247,0,0,0,0
10,4.7142293,4.7143123,0.0083005906,0.028478222,0.0083006195,0.028478317
20,4.713859,4.715553,0.084702269,0.28588238,0.084702561,0.28588337
30,4.7119751,4.7217784,0.32677839,1.046866,0.32677948,1.0468693
40,4.7066107,4.7377925,0.77954456,2.1956323,0.77954695,2.1956382
50,4.6958044,4.7661066,1.4060455,3.4754129,1.4060495,3.4754214
60,4.678085,4.8073608,2.154596,4.7760918,2.1546017,4.7761027
70,4.652429,4.8616337,2.988638,6.0785341,2.9886456,6.0785474
80,4.6181046,4.9289209,3.8852042,7.3774171,3.8852137,7.3774328
90,4.5745699,5.0091226,4.8283634,8.6582863,4.8283749,8.6583042
100,4.5214248,5.1019584,5.8053362,9.9007344,5.8053497,9.9007542
110,4.4583875,5.2069442,6.8050606,11.085424,6.8050761,11.085445
120,4.3852801,5.3234261,7.8178838,12.198094,7.8179013,12.198117
130,4.3020138,5.4506379,8.8355701,13.230494,8.8355895,13.230518
140,4.2085753,5.587758,9.8513049,14.179625,9.8513261,14.17965
150,4.1050126,5.7339556,10.859621,15.046413,10.859644,15.046439
160,3.9914219,5.8884234,11.856259,15.834395,11.856284,15.834422
170,3.8679371,6.0503977,12.838003,16.548646,12.83803,16.548673
180,3.7347194,6.21917,13.802503,17.194998,13.802531,17.195026
190,3.5919501,6.3940915,14.748113,17.77951,14.748142,17.779538
200,3.4398238,6.5745739,15.67375,18.308124,15.673781,18.308152
210,3.2785438,6.7600865,16.578775,18.786471,16.578807,18.7865
220,3.108318,6.9501532,17.462887,19.219762,17.46292,19.219791
230,2.9293559,7.1443474,18.32605,19.612748,18.326085,19.612777
240,2.7418663,7.3422881,19.168424,19.969711,19.16846,19.96974
250,2.5460557,7.5436344,19.990315,20.294485,19.990352,20.294514
260,2.342127,7.7480819,20.792134,20.590487,20.792173,20.590516
270,2.1302783,7.9553584,21.574371,20.860748,21.57441,20.860778
280,1.910703,8.1652201,22.337561,21.107958,22.337601,21.107988
290,1.6835887,8.3774487,23.082276,21.334496,23.082317,21.334526
298.15,1.4930409,8.5520289,23.675962,21.505306,23.676004,21.505335
300,1.4491172,8.5918482,23.809103,21.542469,23.809146,21.542499
310,1.2074643,8.8082424,24.518639,21.733743,24.518683,21.733773
320,0.95880003,9.0264729,25.211478,21.90997,25.211522,21.91
330,0.70328843,9.2463966,25.888206,22.072616,25.888252,22.072646
340,0.44108768,9.4678843,26.549402,22.222983,26.549448,22.223012
350,0.1723503,9.6908192,27.195625,22.362227,27.195673,22.362257
360,-0.10277674,9.9150952,27.827422,22.491379,27.82747,22.491408
370,-0.38415182,10.140616,28.445319,22.611357,28.445368,22.611387
380,-0.67163848,10.367295,29.049824,22.722983,29.049873,22.723012
390,-0.96510528,10.59505,29.641425,22.82699,29.641475,22.827019
400,-1.2644255,10.823811,30.220592,22.924036,30.220643,22.924066
410,-1.5694772,11.05351,30.787773,23.014713,30.787825,23.014743
420,-1.8801425,11.284086,31.343401,23.099551,31.343454,23.099581
430,-2.196308,11.515483,31.887886,23.17903,31.88794,23.17906
440,-2.5178644,11.74765,32.421624,23.253581,32.421678,23.253611
450,-2.844706,11.98054,32.94499,23.323594,32.945045,23.323624
460,-3.1767308,12.214108,33.458345,23.389423,33.458401,23.389452
470,-3.5138406,12.448315,33.962034,23.451388,33.96209,23.451417
480,-3.8559404,12.683124,34.456384,23.509779,34.45644,23.509809
490,-4.2029382,12.9185,34.94171,23.564862,34.941767,23.564892
500,-4.5547455,13.154411,35.418313,23.616878,35.418371,23.616908
510,-4.9112764,13.390828,35.886479,23.666046,35.886537,23.666076
520,-5.2724479,13.627723,36.346482,23.712568,36.346541,23.712597
530,-5.6381797,13.865071,36.798586,23.756626,36.798646,23.756656
540,-6.0083941,14.102848,37.243041,23.79839,37.243101,23.79842
550,-6.3830158,14.341032,37.680086,23.838013,37.680147,23.838043
560,-6.7619719,14.579601,38.109952,23.875638,38.110014,23.875668
570,-7.1451917,14.818538,38.532859,23.911395,38.532921,23.911425
580,-7.5326066,15.057824,38.949017,23.945404,38.94908,23.945434
