temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.5688128,4.5688128,0,0,0,0
10,4.5687958,4.5688759,0.0080180088,0.027600449,0.0080180367,0.027600541
20,4.5684386,4.5700683,0.081483472,0.27368656,0.081483751,0.2736875
30,4.5666307,4.5760388,0.31360228,1.0075212,0.31360333,1.0075243
40,4.5614671,4.5915697,0.75256509,2.1430812,0.75256742,2.143087
50,4.5509872,4.619431,1.3688761,3.4434408,1.36888,3.4434493
60,4.5336556,4.6606088,2.1158873,4.7973766,2.115893,4.7973878
70,4.5083519,4.7154499,2.9585439,6.1728844,2.9585516,6.1728982
80,4.4742466,4.7840709,3.8728036,7.5494615,3.8728132,7.5494777
90,4.4307182,4.8663564,4.8404239,8.901184,4.8404356,8.9012026
100,4.3773115,4.9619225,5.8461102,10.201474,5.8461239,10.201495
110,4.3137134,5.0701428,6.8766308,11.429126,6.8766466,11.429148
120,4.2397339,5.1902171,7.920693,12.570651,7.9207108,12.570675
130,4.1552859,5.3212474,8.968935,13.619831,8.9689547,13.619856
140,4.0603665,5.4623035,10.013835,14.576069,10.013857,14.576095
150,3.95504,5.6124695,11.04953,15.442584,11.049553,15.442611
160,3.8394216,5.7708743,12.07158,16.22489,12.071605,16.224917
170,3.7136648,5.9367088,13.076729,16.929667,13.076756,16.929695
180,3.5779511,6.1092329,14.062677,17.564003,14.062705,17.564031
190,3.4324805,6.2877774,15.027879,18.134906,15.027908,18.134934
200,3.2774659,6.4717418,15.971379,18.649025,15.971411,18.649054
210,3.113127,6.6605892,16.892677,19.112505,16.89271,19.112534
220,2.9396869,6.8538417,17.791613,19.530923,17.791647,19.530952
230,2.757369,7.0510742,18.668284,19.909284,18.668319,19.909313
240,2.5663945,7.2519088,19.522976,20.252042,19.523013,20.252071
250,2.3669813,7.4560096,20.356113,20.563142,20.356151,20.563171
260,2.1593424,7.6630778,21.168213,20.846066,21.168252,20.846096
270,1.9436852,7.8728473,21.959859,21.103882,21.959899,21.103912
280,1.7202113,8.0850808,22.731677,21.33929,22.731718,21.339319
290,1.4891156,8.2995663,23.484313,21.554666,23.484355,21.554695
298.15,1.2952666,8.4759054,24.083981,21.716842,24.084024,21.716871
300,1.2505868,8.5161143,24.218425,21.752102,24.218468,21.752132
310,1.0048067,8.7345547,24.934671,21.933442,24.934715,21.933472
320,0.75195074,8.9547349,25.633701,22.100313,25.633746,22.100342
330,0.49218793,9.1765176,26.31615,22.254151,26.316196,22.254181
340,0.22568093,9.3997788,26.982641,22.396228,26.982688,22.396258
350,-0.047413686,9.6244067,27.633772,22.527671,27.63382,22.527701
360,-0.32694526,9.8503001,28.270126,22.649481,28.270175,22.64951
370,-0.61276881,10.077367,28.892259,22.762547,28.892309,22.762576
380,-0.90474483,10.305525,29.500709,22.867662,29.500759,22.867692
390,-1.2027391,10.534696,30.095988,22.965536,30.096039,22.965565
400,-1.5066223,10.764813,30.678589,23.0568,30.678641,23.05683
410,-1.8162702,10.995812,31.248981,23.142023,31.249034,23.142053
420,-2.1315628,11.227635,31.807614,23.221714,31.807668,23.221744
430,-2.4523847,11.46023,32.354917,23.296332,32.354971,23.296361
440,-2.7786247,11.693546,32.891298,23.366288,32.891352,23.366318
450,-3.1101755,11.927541,33.417148,23.431957,33.417203,23.431987
