temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.9407,4.263,2.46658,1.46,62.8125,1.00658
200,22.0332,16.301,12.0444,8.033,35.1649,4.01137
298.15,32.3689,26.84,22.9409,16.61,20.5996,6.33087
300,32.5162,27.008,23.1416,16.777,20.3947,6.36455
400,38.5661,34.1,33.4056,25.598,13.0969,7.8076
500,42.0782,38.639,42.4224,33.727,8.90075,8.69538
600,44.2272,41.79,50.2991,41.066,5.83206,9.23312
700,45.6167,44.108,57.2284,47.69,3.42036,9.53841
800,46.5592,45.878,63.385,53.7,1.48484,9.68503
900,47.2249,47.283,68.9095,59.188,-0.122785,9.7215
1000,47.7112,48.421,73.9116,64.231,-1.46587,9.68058
1100,48.0765,49.363,78.4769,68.891,-2.60612,9.58587
1200,48.3576,50.158,82.6726,73.221,-3.58943,9.45164
1300,48.5783,50.84,86.5524,77.263,-4.44864,9.28937
1400,48.7546,51.43,90.1591,81.053,-5.20193,9.1061
1500,48.8977,51.944,93.5279,84.619,-5.86457,8.90887
