temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.74834,4.263,2.41133,1.46,58.3003,0.951332
200,21.4131,16.301,11.7044,8.033,31.3608,3.6714
298.15,31.7409,26.84,22.3421,16.61,18.2595,5.73208
300,31.8901,27.008,22.5389,16.777,18.0765,5.76188
400,38.0716,34.1,32.6403,25.598,11.647,7.04231
500,41.7036,38.639,41.5602,33.727,7.93148,7.83322
600,43.9412,41.79,49.3769,41.066,5.14774,8.31094
700,45.3939,44.108,56.2672,47.69,2.91534,8.57717
800,46.382,45.878,62.3972,53.7,1.09853,8.69718
900,47.0811,47.283,67.9028,59.188,-0.426929,8.7148
1000,47.5925,48.421,72.8911,64.231,-1.71108,8.66009
1100,47.977,49.363,77.446,68.891,-2.80776,8.555
1200,48.2731,50.158,81.6338,73.221,-3.75799,8.41278
1300,48.5057,50.84,85.5072,77.263,-4.59155,8.24423
1400,48.6916,51.43,89.1089,81.053,-5.32456,8.05594
1500,48.8425,51.944,92.4736,84.619,-5.97092,7.85463
