temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,17.626991,17.626991,0,0,0,0
10,17.62699,17.626996,0.00063871551,0.0032454816,0.00063871844,0.0032454947
20,17.626945,17.627166,0.011081302,0.039091021,0.011081341,0.039091152
30,17.626693,17.628016,0.044103735,0.14757367,0.044103885,0.14757417
40,17.625933,17.630588,0.11638889,0.39825339,0.11638929,0.39825481
50,17.624154,17.636761,0.25214284,0.88124991,0.25214373,0.88125303
60,17.620595,17.649161,0.47610286,1.646084,0.47610453,1.6460895
70,17.614284,17.67057,0.80408893,2.6756842,0.80409167,2.6756927
80,17.604152,17.703362,1.2401352,3.911491,1.2401393,3.9115027
90,17.589137,17.749265,1.7791979,5.2872852,1.7792035,5.2873
100,17.568257,17.80939,2.4113321,6.7483408,2.4113394,6.7483587
110,17.540639,17.884386,3.1249704,8.2559934,3.1249796,8.2560144
120,17.505524,17.97458,3.9088,9.7848306,3.9088111,9.7848545
130,17.462263,18.080097,4.752564,11.318123,4.7525772,11.31815
140,17.410303,18.200918,5.6472471,12.844075,5.6472624,12.844104
150,17.349175,18.336923,6.5849859,14.353487,6.5850033,14.353519
160,17.278483,18.487906,7.5588961,15.838582,7.5589156,15.838617
170,17.197897,18.653591,8.5629051,17.292554,8.5629268,17.292591
180,17.107143,18.833634,9.591618,18.709476,9.5916419,18.709515
190,17.005998,19.02764,10.640219,20.084345,10.640246,20.084386
200,16.894286,19.235167,11.704403,21.413128,11.704432,21.41317
210,16.771871,19.455738,12.780321,22.692778,12.780352,22.692823
220,16.638652,19.688852,13.864543,23.921197,13.864575,23.921243
230,16.494563,19.933987,14.954021,25.097156,14.954056,25.097203
240,16.339563,20.190618,16.046063,26.220198,16.046099,26.220247
250,16.173641,20.458216,17.138299,27.29052,17.138338,27.29057
260,15.996804,20.736255,18.228661,28.308858,18.228701,28.308909
270,15.80908,21.024223,19.315346,29.276378,19.315389,29.27643
280,15.610514,21.321619,20.396801,30.194575,20.396846,30.194627
290,15.401166,21.627956,21.471691,31.065184,21.471738,31.065237
298.15,15.222621,21.883911,22.342077,31.740852,22.342124,31.740905
300,15.181106,21.94277,22.53888,31.89011,22.538928,31.890163
310,14.950417,22.265613,23.597406,32.671361,23.597456,32.671416
320,14.709189,22.596058,24.646466,33.411003,24.646517,33.411058
330,14.457521,22.933701,25.685393,34.111116,25.685446,34.111171
340,14.195517,23.278156,26.713643,34.773763,26.713698,34.773819
350,13.923286,23.629058,27.730779,35.400969,27.730835,35.401025
360,13.64094,23.986064,28.736455,35.994701,28.736513,35.994757
370,13.348596,24.348847,29.730409,36.556856,29.730469,36.556913
380,13.046371,24.717102,30.712448,37.089253,30.712509,37.08931
390,12.734387,25.090539,31.682441,37.593626,31.682503,37.593684
400,12.412763,25.468886,32.640308,38.071626,32.640372,38.071684
410,12.081621,25.851888,33.586018,38.524813,33.586083,38.524871
420,11.741083,26.239305,34.519575,38.954662,34.519642,38.95472
430,11.39127,26.630909,35.44102,39.362563,35.441088,39.362621
440,11.032303,27.026487,36.350419,39.749823,36.350488,39.749881
450,10.664302,27.42584,37.247864,40.117672,37.247935,40.11773
460,10.287385,27.82878,38.133467,40.467262,38.133539,40.46732
470,9.9016713,28.235128,39.007355,40.799673,39.007429,40.799731
480,9.5072765,28.644719,39.869672,41.115918,39.869747,41.115977
490,9.1043159,29.057396,40.720572,41.416946,40.720648,41.417005
500,8.6929026,29.47301,41.560216,41.703643,41.560293,41.703702
510,8.2731485,29.891424,42.388775,41.97684,42.388853,41.976899
520,7.8451635,30.312505,43.206426,42.237314,43.206505,42.237373
530,7.4090557,30.73613,44.013348,42.485792,44.013428,42.485851
540,6.9649317,31.162183,44.809725,42.722954,44.809806,42.723013
550,6.5128958,31.590554,45.595741,42.949437,45.595824,42.949496
560,6.0530508,32.021138,46.371585,43.165837,46.371668,43.165896
570,5.5854974,32.453839,47.137441,43.372711,47.137526,43.37277
580,5.1103346,32.888562,47.893496,43.570581,47.893582,43.57064
590,4.6276595,33.325222,48.639936,43.759938,48.640023,43.759997
600,4.1375673,33.763734,49.376945,43.94124,49.377033,43.941299
610,3.6401514,34.204021,50.104705,44.114916,50.104793,44.114975
620,3.1355035,34.646009,50.823395,44.28137,50.823485,44.281429
630,2.6237132,35.089626,51.533195,44.44098,51.533285,44.441039
640,2.1048686,35.534806,52.234278,44.594101,52.23437,44.59416
650,1.5790561,35.981487,52.926817,44.741067,52.92691,44.741126
660,1.0463602,36.429608,53.610982,44.88219,53.611076,44.88225
670,0.50686382,36.879113,54.286939,45.017766,54.287033,45.017825
680,-0.039351761,37.329946,54.95485,45.148071,54.954945,45.14813
690,-0.59220689,37.782057,55.614876,45.273366,55.614972,45.273425
700,-1.1516235,38.235398,56.267173,45.393896,56.26727,45.393955
710,-1.7175251,38.68992,56.911895,45.509892,56.911993,45.509951
720,-2.2898367,39.145581,57.549191,45.621572,57.54929,45.621631
730,-2.8684847,39.602338,58.179209,45.72914,58.179308,45.7292
740,-3.4533971,40.060151,58.802092,45.832792,58.802192,45.832851
750,-4.0445032,40.518981,59.417979,45.932708,59.41808,45.932768
760,-4.6417338,40.978793,60.027009,46.029063,60.027111,46.029122
770,-5.2450209,41.439551,60.629314,46.122018,60.629417,46.122077
780,-5.8542981,41.901223,61.225026,46.211727,61.22513,46.211787
790,-6.4694999,42.363775,61.814273,46.298337,61.814377,46.298397
800,-7.0905624,42.827179,62.397177,46.381985,62.397282,46.382045
810,-7.7174227,43.291406,62.973862,46.462802,62.973968,46.462861
820,-8.3500193,43.756426,63.544446,46.54091,63.544552,46.54097
830,-8.9882917,44.222215,64.109045,46.616428,64.109152,46.616487
840,-9.6321806,44.688747,64.667771,46.689465,64.667878,46.689524
850,-10.281628,45.155997,65.220735,46.760127,65.220843,46.760187
860,-10.936576,45.623942,65.768044,46.828514,65.768154,46.828574
870,-11.59697,46.09256,66.309805,46.894721,66.309914,46.89478
880,-12.262754,46.561829,66.846118,46.958837,66.846228,46.958896
890,-12.933875,47.03173,67.377084,47.020948,67.377195,47.021007
900,-13.610279,47.502242,67.9028,47.081135,67.902912,47.081195
910,-14.291914,47.973346,68.423363,47.139476,68.423475,47.139535
920,-14.978729,48.445025,68.938863,47.196043,68.938977,47.196102
930,-15.670674,48.917261,69.449393,47.250907,69.449507,47.250966
940,-16.367701,49.390038,69.955041,47.304134,69.955156,47.304193
950,-17.069759,49.863339,70.455893,47.355788,70.456008,47.355847
960,-17.776803,50.337149,70.952033,47.405929,70.952148,47.405988
970,-18.488784,50.811453,71.443543,47.454614,71.44366,47.454674
980,-19.205658,51.286236,71.930505,47.501899,71.930622,47.501959
990,-19.92738,51.761486,72.412996,47.547837,72.413113,47.547896
1000,-20.653904,52.237189,72.891092,47.592476,72.891211,47.592535
1010,-21.385187,52.713331,73.36487,47.635865,73.364989,47.635924
1020,-22.121187,53.189902,73.834401,47.678049,73.83452,47.678108
1030,-22.861861,53.666889,74.299757,47.719072,74.299877,47.719131
1040,-23.607168,54.14428,74.761008,47.758976,74.761128,47.759035
1050,-24.357068,54.622064,75.218221,47.7978,75.218342,47.797859
1060,-25.11152,55.100232,75.671464,47.835583,75.671586,47.835642
1070,-25.870484,55.578773,76.120801,47.87236,76.120923,47.87242
1080,-26.633923,56.057676,76.566295,47.908168,76.566418,47.908227
1090,-27.401797,56.536933,77.00801,47.943039,77.008133,47.943098
1100,-28.174071,57.016534,77.446004,47.977005,77.446128,47.977064
1110,-28.950705,57.49647,77.880338,48.010096,77.880463,48.010156
1120,-29.731665,57.976733,78.31107,48.042344,78.311195,48.042403
1130,-30.516915,58.457314,78.738256,48.073774,78.738381,48.073834
1140,-31.306419,58.938206,79.161952,48.104416,79.162077,48.104475
1150,-32.100142,59.4194,79.582211,48.134293,79.582337,48.134353
1160,-32.898052,59.900889,79.999087,48.163432,79.999214,48.163492
1170,-33.700113,60.382666,80.412632,48.191857,80.41276,48.191916
1180,-34.506293,60.864724,80.822896,48.219589,80.823024,48.219649
1190,-35.31656,61.347056,81.22993,48.246652,81.230058,48.246711
1200,-36.130881,61.829655,81.63378,48.273066,81.633909,48.273126
1210,-36.949225,62.312515,82.034496,48.298852,82.034626,48.298912
1220,-37.771561,62.79563,82.432124,48.32403,82.432254,48.324089
1230,-38.597858,63.278994,82.826709,48.348617,82.826839,48.348676
1240,-39.428085,63.7626,83.218295,48.372633,83.218426,48.372692
1250,-40.262214,64.246445,83.606927,48.396094,83.607058,48.396154
1260,-41.100214,64.730521,83.992647,48.419018,83.992778,48.419078
1270,-41.942057,65.214823,84.375496,48.441421,84.375629,48.44148
1280,-42.787715,65.699347,84.755517,48.463318,84.75565,48.463377
1290,-43.637158,66.184088,85.132749,48.484724,85.132882,48.484783
1300,-44.49036,66.66904,85.507231,48.505653,85.507365,48.505713
1310,-45.347294,67.154199,85.879002,48.526121,85.879137,48.52618
1320,-46.207932,67.639561,86.2481,48.546139,86.248235,48.546198
1330,-47.072247,68.125121,86.614562,48.565721,86.614697,48.56578
1340,-47.940214,68.610874,86.978424,48.584879,86.97856,48.584938
1350,-48.811807,69.096817,87.339721,48.603626,87.339857,48.603685
1360,-49.687,69.582945,87.698489,48.621973,87.698626,48.622032
1370,-50.565768,70.069255,88.054762,48.639931,88.054899,48.63999
1380,-51.448087,70.555743,88.408572,48.657511,88.40871,48.65757
1390,-52.333932,71.042404,88.759954,48.674723,88.760092,48.674782
1400,-53.223278,71.529236,89.108939,48.691578,89.109077,48.691638
1410,-54.116103,72.016235,89.455558,48.708086,89.455697,48.708145
1420,-55.012382,72.503397,89.799844,48.724255,89.799983,48.724315
1430,-55.912092,72.990719,90.141825,48.740096,90.141965,48.740155
1440,-56.815211,73.478197,90.481533,48.755615,90.481673,48.755675
1450,-57.721715,73.96583,90.818996,48.770824,90.819137,48.770883
1460,-58.631583,74.453613,91.154244,48.785728,91.154384,48.785788
1470,-59.544793,74.941543,91.487303,48.800337,91.487444,48.800397
1480,-60.461322,75.429619,91.818203,48.814659,91.818345,48.814718
1490,-61.38115,75.917836,92.14697,48.8287,92.147112,48.828759
1500,-62.304254,76.406192,92.473631,48.842467,92.473773,48.842527
1510,-63.230615,76.894684,92.798211,48.855969,92.798354,48.856028
1520,-64.160212,77.38331,93.120738,48.869211,93.120881,48.86927
1530,-65.093023,77.872067,93.441236,48.8822,93.441379,48.88226
1540,-66.02903,78.360953,93.759729,48.894943,93.759873,48.895003
1550,-66.968211,78.849966,94.076243,48.907446,94.076387,48.907505
1560,-67.910548,79.339102,94.390801,48.919714,94.390946,48.919774
1570,-68.856021,79.828359,94.703427,48.931754,94.703572,48.931813
1580,-69.80461,80.317736,95.014143,48.943571,95.014288,48.94363
1590,-70.756297,80.80723,95.322973,48.95517,95.323119,48.955229
1600,-71.711063,81.296839,95.629939,48.966557,95.630085,48.966617
1610,-72.66889,81.78656,95.935062,48.977737,95.935209,48.977797
1620,-73.629759,82.276393,96.238365,48.988715,96.238512,48.988774
1630,-74.593651,82.766334,96.539868,48.999496,96.540015,48.999555
1640,-75.56055,83.256382,96.839593,49.010084,96.83974,49.010143
1650,-76.530437,83.746535,97.137559,49.020483,97.137707,49.020543
1660,-77.503295,84.236791,97.433787,49.0307,97.433935,49.030759
1670,-78.479107,84.727148,97.728297,49.040736,97.728445,49.040795
1680,-79.457856,85.217605,98.021108,49.050598,98.021257,49.050657
1690,-80.439524,85.70816,98.312239,49.060288,98.312388,49.060347
1700,-81.424095,86.19881,98.601709,49.069811,98.601859,49.06987
1710,-82.411553,86.689555,98.889537,49.07917,98.889687,49.079229
1720,-83.40188,87.180393,99.17574,49.08837,99.175891,49.088429
1730,-84.395062,87.671322,99.460338,49.097413,99.460488,49.097472
1740,-85.391082,88.162341,99.743346,49.106304,99.743497,49.106363
1750,-86.389924,88.653448,100.02478,49.115045,100.02494,49.115105
1760,-87.391572,89.144641,100.30467,49.123641,100.30482,49.1237
1770,-88.396012,89.63592,100.58301,49.132094,100.58316,49.132153
1780,-89.403227,90.127283,100.85984,49.140407,100.85999,49.140466
1790,-90.413204,90.618728,101.13516,49.148583,101.13531,49.148643
1800,-91.425926,91.110254,101.40899,49.156626,101.40914,49.156685
1810,-92.441379,91.60186,101.68135,49.164538,101.6815,49.164598
