temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,17.182254,17.182254,0,0,0,0
10,17.182253,17.182259,0.00063213316,0.0032213029,0.00063213606,0.0032213159
20,17.182208,17.18243,0.0110843,0.0392267,0.011084339,0.039226833
30,17.181956,17.183284,0.044266108,0.1484256,0.04426626,0.14842611
40,17.181192,17.185876,0.11710152,0.40199118,0.11710193,0.40199262
50,17.179399,17.192124,0.25449784,0.89395145,0.25449874,0.89395464
60,17.175799,17.204735,0.48226673,1.6775139,0.48226842,1.6775196
70,17.169395,17.226596,0.8171604,2.7362596,0.8171632,2.7362683
80,17.159083,17.260178,1.2636844,4.0099686,1.2636886,4.0099806
90,17.143765,17.307283,1.8168618,5.4302983,1.8168676,5.4303136
100,17.122424,17.369082,2.4665827,6.940697,2.4665903,6.9407156
110,17.094152,17.446261,3.2009988,8.5008694,3.2010083,8.5008911
120,17.058161,17.539174,4.0084475,10.083747,4.008459,10.083772
130,17.013775,17.64795,4.8782709,11.670887,4.8782845,11.670915
140,16.960419,17.772561,5.8010158,13.248836,5.8010315,13.248866
150,16.897606,17.91286,6.7683634,14.806945,6.7683813,14.806978
160,16.824927,18.068604,7.7729785,16.336308,7.7729986,16.336343
170,16.742044,18.239465,8.8083618,17.829348,8.8083841,17.829386
180,16.648677,18.425049,9.8687312,19.279724,9.8687557,19.279764
190,16.544603,18.6249,10.948933,20.682319,10.94896,20.682361
200,16.429648,18.838523,12.044375,22.033229,12.044404,22.033272
210,16.303679,19.065383,13.150976,23.329707,13.151007,23.329753
220,16.166603,19.30493,14.265121,24.570069,14.265154,24.570116
230,16.018362,19.556595,15.383624,25.753567,15.38366,25.753615
240,15.858925,19.819811,16.503692,26.880245,16.50373,26.880295
250,15.688291,20.094013,17.622889,27.950805,17.622928,27.950856
260,15.506477,20.378644,18.739104,28.966464,18.739145,28.966515
270,15.313525,20.673165,19.850518,29.928835,19.850562,29.928888
280,15.109488,20.97705,20.955577,30.839824,20.955622,30.839877
290,14.894439,21.289797,22.052959,31.701532,22.053006,31.701586
298.15,14.711085,21.550905,22.940868,32.368921,22.940917,32.368975
