temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,13.0087,12.997,6.96889,6.987,0.0899076,-0.0181079
200,20.7143,21.338,18.9502,19.144,-2.92291,-0.193775
250,22.0975,23.084,23.7357,24.108,-4.27356,-0.372317
298.15,22.8865,24.209,27.7008,28.275,-5.46296,-0.574234
300,22.9101,24.247,27.8424,28.425,-5.51368,-0.582591
350,23.4228,25.113,31.4153,32.231,-6.73023,-0.815664
400,23.7653,25.784,34.5668,35.63,-7.82934,-1.06319
450,24.0046,26.335,37.3806,38.699,-8.84904,-1.31843
500,24.1781,26.842,39.9192,41.501,-9.92433,-1.58185
600,24.4071,27.886,44.3494,46.485,-12.4755,-2.13557
