temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol,Cp_rel_err_pct_el,S_err_J_K_mol_el
100,12.5996,12.997,6.57446,6.987,-3.05732,-0.412543,-2.01862,-0.277543
200,20.5115,21.338,18.3389,19.144,-3.87352,-0.805081,-2.60817,-0.535081
250,21.9545,23.084,23.0861,24.108,-4.89296,-1.02194,-3.43091,-0.684443
298.15,22.7805,24.209,27.0293,28.275,-5.90063,-1.24565,-4.23801,-0.84315
300,22.8053,24.247,27.1703,28.425,-5.94595,-1.25466,-4.27564,-0.849661
350,23.3432,25.113,30.7291,32.231,-7.04722,-1.50187,-5.16573,-1.02937
400,23.703,25.784,33.8712,35.63,-8.07093,-1.75882,-5.97661,-1.21882
450,23.9546,26.335,36.6783,38.699,-9.03877,-2.02065,-6.73196,-1.41315
500,24.1372,26.842,39.2122,41.501,-10.0768,-2.28884,-7.56204,-1.61384
600,24.3783,27.886,43.6361,46.485,-12.5788,-2.84886,-9.67415,-2.03886
