temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.7641803,3.7641803,0,0,0,0
10,3.7641705,3.7642216,0.0051128496,0.019407911,0.0051128686,0.019407978
20,3.7639241,3.7650534,0.056463564,0.18801297,0.056463756,0.18801362
30,3.7626643,3.7693248,0.22201678,0.75861071,0.22201755,0.75861334
40,3.7588149,3.7822658,0.58627163,1.9284194,0.58627361,1.9284256
50,3.7501402,3.8095453,1.1881013,3.59003,1.1881051,3.5900404
60,3.7343172,3.8549034,2.0097701,5.5043743,2.0097761,5.5043887
70,3.7093628,3.9197793,3.0059503,7.4653022,3.0059588,7.4653201
80,3.6737839,4.0039163,4.1266553,9.3404184,4.1266665,9.3404391
90,3.6265625,4.1060667,5.3278245,11.060654,5.3278382,11.060677
100,3.5670768,4.2245225,6.5744568,12.59964,6.574473,12.599665
110,3.49501,4.3574497,7.8403613,13.956095,7.8403799,13.95612
120,3.4102687,4.5030744,9.1067141,15.141735,9.106735,15.141762
130,3.3129183,4.6597726,10.360418,16.17388,10.360441,16.173908
140,3.2031323,4.826103,11.592648,17.071296,11.592673,17.071324
150,3.0811562,5.0008099,12.797691,17.852052,12.797718,17.852081
160,2.9472809,5.1828101,13.972058,18.532554,13.972087,18.532583
170,2.8018238,5.371175,15.113831,19.127216,15.113861,19.127245
180,2.6451158,5.5651099,16.22219,19.648463,16.222222,19.648492
190,2.4774917,5.7639351,17.29707,20.106889,17.297104,20.106918
200,2.2992845,5.9670684,18.338919,20.511468,18.338955,20.511498
210,2.1108208,6.1740104,19.348522,20.869786,19.348559,20.869815
220,1.9124182,6.3843313,20.326878,21.188243,20.326916,21.188272
230,1.7043836,6.5976605,21.275117,21.472248,21.275156,21.472277
240,1.4870123,6.8136768,22.194435,21.726377,22.194476,21.726406
250,1.2605873,7.0321014,23.086057,21.95451,23.086099,21.954539
260,1.0253794,7.2526914,23.9512,22.159946,23.951243,22.159976
270,0.78164754,7.4752341,24.791061,22.3455,24.791106,22.34553
280,0.52963859,7.6995431,25.606802,22.513579,25.606847,22.513608
290,0.26958817,7.9254543,26.399538,22.666247,26.399585,22.666277
298.15,0.051855757,8.1106558,27.029348,22.780518,27.029395,22.780547
300,0.0017209363,8.1528227,27.170339,22.805285,27.170387,22.805315
310,-0.27374889,8.3815197,27.920221,22.932228,27.92027,22.932258
320,-0.55661699,8.6114314,28.650151,23.048409,28.650201,23.048438
330,-0.84668846,8.8424559,29.361044,23.154984,29.361094,23.155014
340,-1.1437773,9.0745024,30.053764,23.252964,30.053815,23.252993
350,-1.4477059,9.3074895,30.72913,23.343231,30.729182,23.343261
360,-1.7583046,9.5413439,31.387913,23.42656,31.387965,23.42659
370,-2.0754113,9.7759999,32.030841,23.503633,32.030895,23.503663
380,-2.3988709,10.011398,32.658602,23.575051,32.658656,23.575081
390,-2.7285349,10.247484,33.271843,23.641347,33.271898,23.641376
400,-3.0642614,10.484209,33.871176,23.70299,33.871232,23.70302
410,-3.405914,10.72153,34.457179,23.760402,34.457236,23.760432
420,-3.7533624,10.959404,35.030397,23.813956,35.030454,23.813986
430,-4.1064811,11.197797,35.591344,23.863986,35.591402,23.864016
440,-4.46515,11.436673,36.140508,23.910791,36.140566,23.910821
450,-4.8292535,11.676003,36.678347,23.954639,36.678407,23.954669
460,-5.1986806,11.915757,37.205299,23.995772,37.20536,23.995802
470,-5.5733246,12.15591,37.721776,24.034408,37.721836,24.034437
480,-5.9530825,12.396438,38.228167,24.070741,38.228228,24.070771
490,-6.3378555,12.637318,38.724843,24.104951,38.724905,24.104981
500,-6.7275482,12.87853,39.212156,24.137198,39.212219,24.137227
510,-7.1220686,13.120056,39.69044,24.167628,39.690503,24.167657
520,-7.5213279,13.361877,40.160009,24.196373,40.160073,24.196403
530,-7.9252407,13.603978,40.621167,24.223556,40.621232,24.223586
540,-8.3337242,13.846343,41.074199,24.249287,41.074264,24.249316
550,-8.7466985,14.088959,41.519378,24.273666,41.519443,24.273695
560,-9.1640864,14.331812,41.956962,24.296785,41.957028,24.296815
570,-9.5858133,14.574891,42.3872,24.31873,42.387267,24.31876
580,-10.011807,14.818183,42.810328,24.339579,42.810395,24.339608
590,-10.441997,15.061679,43.226569,24.359402,43.226637,24.359431
600,-10.876316,15.305368,43.63614,24.378265,43.636208,24.378295
610,-11.314698,15.549241,44.039245,24.39623,44.039314,24.396259
620,-11.75708,15.79329,44.43608,24.413351,44.436149,24.41338
630,-12.203399,16.037506,44.826834,24.429681,44.826903,24.42971
640,-12.653597,16.281881,45.211684,24.445267,45.211754,24.445297
650,-13.107614,16.526409,45.590804,24.460154,45.590875,24.460183
660,-13.565394,16.771082,45.964358,24.474382,45.964429,24.474412
670,-14.026883,17.015894,46.332504,24.48799,46.332575,24.48802
680,-14.492027,17.26084,46.695392,24.501014,46.695464,24.501043
690,-14.960774,17.505913,47.053169,24.513485,47.053241,24.513514
700,-15.433074,17.751108,47.405974,24.525435,47.406046,24.525464
710,-15.908877,17.99642,47.75394,24.536892,47.754013,24.536921
720,-16.388137,18.241844,48.097196,24.547882,48.097269,24.547912
730,-16.870806,18.487376,48.435866,24.558432,48.43594,24.558461
740,-17.356839,18.733011,48.770068,24.568563,48.770143,24.568592
750,-17.846193,18.978746,49.099918,24.578297,49.099993,24.578327
760,-18.338824,19.224576,49.425526,24.587656,49.425601,24.587686
770,-18.83469,19.470498,49.746997,24.596658,49.747072,24.596687
780,-19.33375,19.716508,50.064433,24.60532,50.064509,24.60535
790,-19.835965,19.962603,50.377935,24.61366,50.378011,24.61369
800,-20.341296,20.20878,50.687595,24.621694,50.687672,24.621723
810,-20.849705,20.455036,50.993507,24.629435,50.993584,24.629465
820,-21.361154,20.701368,51.295758,24.636899,51.295836,24.636929
