temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.6609078,3.6609078,0,0,0,0
10,3.6608961,3.6609563,0.0060267473,0.022449846,0.0060267694,0.022449923
20,3.6606121,3.6619067,0.06473282,0.21424698,0.06473304,0.21424772
30,3.6591757,3.6667413,0.25218941,0.85332204,0.25219028,0.85332496
40,3.654835,3.6811269,0.65729858,2.1247941,0.65730078,2.1248008
50,3.645185,3.7108704,1.3137067,3.8831743,1.3137108,3.8831853
60,3.6278068,3.7595386,2.1955301,5.8682628,2.1955366,5.8682778
70,3.6006947,3.8282835,3.251269,7.8705985,3.2512782,7.870617
80,3.562381,3.9165756,4.4274319,9.7626093,4.4274437,9.7626306
90,3.5118978,4.0229559,5.6784229,11.482042,5.6784373,11.482065
100,3.448682,4.1455712,6.9688921,13.008685,6.9689091,13.00871
110,3.3724756,4.2824972,8.2729236,14.345983,8.2729429,14.346009
120,3.2832399,4.4319094,9.5722459,15.508967,9.5722676,15.508994
130,3.1810884,4.5921604,10.854401,16.51714,10.854424,16.517168
140,3.0662368,4.7618034,12.11119,17.390637,12.111216,17.390665
150,2.9389665,4.9395874,13.337473,18.148337,13.337501,18.148366
160,2.7995991,5.1244406,14.530259,18.807087,14.530289,18.807116
170,2.648478,5.3154483,15.68806,19.381507,15.688092,19.381536
180,2.4859561,5.5118314,16.810418,19.884083,16.810452,19.884112
190,2.3123871,5.7129259,17.897573,20.325384,17.897608,20.325413
200,2.1281197,5.9181647,18.950225,20.71431,18.950261,20.71434
210,1.9334943,6.1270626,19.969373,21.058347,19.969411,21.058377
220,1.72884,6.3392031,20.956196,21.363786,20.956235,21.363816
230,1.5144738,6.5542274,21.911972,21.635925,21.912013,21.635955
240,1.2906996,6.7718256,22.838025,21.879234,22.838066,21.879263
250,1.057808,6.9917287,23.735683,22.097491,23.735726,22.09752
260,0.81607627,7.2137026,24.606255,22.293903,24.606299,22.293933
270,0.56576893,7.437543,25.451015,22.471201,25.45106,22.47123
280,0.30713792,7.6630707,26.271189,22.631714,26.271235,22.631744
290,0.040423198,7.8901281,27.067948,22.777441,27.067995,22.777471
298.15,-0.18276917,8.0762141,27.700766,22.886471,27.700814,22.886501
300,-0.23414672,8.118576,27.842409,22.910098,27.842457,22.910128
310,-0.51635419,8.3482914,28.595631,23.031167,28.59568,23.031197
320,-0.80599189,8.579165,29.328615,23.141932,29.328666,23.141961
330,-1.1028622,8.8110994,30.042308,23.243505,30.042359,23.243535
340,-1.4067767,9.0440077,30.737601,23.336857,30.737653,23.336887
350,-1.7175557,9.277812,31.415336,23.422838,31.415389,23.422867
360,-2.0350276,9.5124424,32.076305,23.502189,32.076359,23.502219
370,-2.3590284,9.7478359,32.721255,23.575565,32.721309,23.575595
380,-2.6894016,9.9839357,33.350888,23.643543,33.350943,23.643573
390,-3.0259973,10.22069,33.965866,23.706632,33.965922,23.706661
400,-3.3686722,10.458054,34.566814,23.765283,34.566871,23.765312
410,-3.7172888,10.695983,35.154321,23.819898,35.154378,23.819928
420,-4.0717156,10.934439,35.72894,23.870835,35.728999,23.870865
430,-4.4318264,11.173388,36.291197,23.918413,36.291256,23.918443
440,-4.7975,11.412797,36.841585,23.962917,36.841644,23.962947
450,-5.1686201,11.652637,37.380572,24.004605,37.380632,24.004635
460,-5.5450749,11.892881,37.908599,24.043707,37.90866,24.043736
470,-5.926757,12.133503,38.426086,24.080429,38.426147,24.080459
480,-6.3135628,12.374482,38.933427,24.114961,38.933489,24.11499
490,-6.7053929,12.615796,39.430997,24.14747,39.43106,24.1475
500,-7.1021514,12.857425,39.919153,24.178111,39.919217,24.178141
510,-7.5037457,13.099352,40.398231,24.207023,40.398295,24.207053
520,-7.9100868,13.34156,40.868552,24.234332,40.868617,24.234362
