temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,14.0589,12.855,4.6817,4.295,9.36493,0.386702
200,53.3414,51.12,26.5744,24.88,4.34539,1.69443
298.15,80.4044,79.015,53.3988,50.95,1.75837,2.44885
300,80.7836,79.416,53.8974,51.44,1.72206,2.45738
400,96.2365,96.086,79.4665,76.779,0.156626,2.68751
500,105.117,106.131,101.981,99.388,-0.955554,2.5933
600,110.527,112.545,121.663,119.345,-1.79263,2.31767
700,114.018,116.926,138.981,137.041,-2.48668,1.94011
800,116.384,120.135,154.37,152.873,-3.12231,1.49721
900,118.054,122.662,168.18,167.174,-3.75689,1.00607
1000,119.273,124.771,180.685,180.21,-4.40659,0.474562
1100,120.189,126.608,192.097,192.189,-5.07036,-0.091593
1200,120.893,128.252,202.587,203.277,-5.73802,-0.690343
1300,121.446,129.737,212.286,213.602,-6.39074,-1.31606
1400,121.888,131.081,221.303,223.267,-7.0135,-1.96419
1500,122.246,132.29,229.725,232.353,-7.59239,-2.62818
1600,122.541,133.361,237.624,240.925,-8.11357,-3.30089
