temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,43.5208,43.5208,0,0,0,0
10,43.520798,43.520812,0.0013964769,0.0058000436,0.0013964824,0.0058000647
20,43.520722,43.521078,0.017811,0.060540917,0.017811061,0.060541123
30,43.520321,43.522449,0.070939128,0.24635049,0.070939377,0.24635138
40,43.519061,43.526948,0.19717577,0.71518458,0.19717648,0.71518721
50,43.515971,43.538235,0.44527011,1.6259825,0.44527172,1.6259883
60,43.509595,43.561265,0.86116277,3.0734864,0.86116584,3.073497
70,43.498074,43.601584,1.4787065,5.0830357,1.4787116,5.0830525
80,43.479281,43.664714,2.3179194,7.6280302,2.3179272,7.6280541
90,43.45095,43.755727,3.3864025,10.647096,3.3864136,10.647128
100,43.410796,43.878966,4.6817024,14.058861,4.6817174,14.058902
110,43.356593,44.037915,6.1938375,17.774057,6.1938567,17.774106
120,43.286246,44.235164,7.9076437,21.704451,7.9076676,21.704509
130,43.197829,44.472449,9.8047703,25.768651,9.8047991,25.768717
140,43.089606,44.750743,11.865265,29.895294,11.865299,29.895368
150,42.960047,45.070361,14.068764,34.024324,14.068804,34.024406
160,42.807821,45.431074,16.395333,38.10698,16.395378,38.107069
170,42.631793,45.832218,18.826028,42.105027,18.826079,42.105122
180,42.431012,46.272795,21.343241,45.989575,21.343297,45.989675
190,42.204694,46.751561,23.930879,49.739751,23.930941,49.739856
200,41.952208,47.267095,26.574432,53.341364,26.574499,53.341474
210,41.673062,47.817863,29.260958,56.785667,29.261031,56.785781
220,41.366884,48.402269,31.97902,60.068248,31.979098,60.068367
230,41.03341,49.018686,34.718588,63.188083,34.718672,63.188204
240,40.67247,49.665493,37.470928,66.146725,37.471017,66.14685
250,40.283974,50.341094,40.228479,68.947653,40.228573,68.94778
260,39.867905,51.043936,42.984736,71.595726,42.984835,71.595855
270,39.424303,51.772518,45.734133,74.096762,45.734236,74.096893
280,38.953261,52.525403,48.471935,76.457197,48.472043,76.45733
290,38.454916,53.301216,51.194139,78.683824,51.194252,78.683959
298.15,38.02869,53.949557,53.398847,80.404379,53.398964,80.404516
300,37.929441,54.098656,53.897383,80.783591,53.897501,80.783727
310,37.377041,54.916488,56.578863,82.763452,56.578985,82.76359
320,36.797944,55.753548,59.236263,84.630255,59.236389,84.630394
330,36.192402,56.608739,61.867687,86.390661,61.867818,86.390801
340,35.560682,57.481028,64.471606,88.051088,64.471741,88.051229
350,34.903066,58.369448,67.046806,89.617676,67.046945,89.617818
360,34.219845,59.273089,69.592343,91.096266,69.592486,91.096409
370,33.51132,60.191098,72.107508,92.492384,72.107656,92.492528
380,32.777798,61.122679,74.591792,93.811245,74.591943,93.811389
390,32.019589,62.067082,77.044855,95.057749,77.04501,95.057893
