temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,6.36151,5.678,2.39139,2.164,12.0379,0.227387
200,20.4984,19.332,11.1551,10.267,6.03362,0.888064
298.15,31.0584,30.097,21.4677,20.142,3.19436,1.32575
300,31.2122,30.254,21.6603,20.329,3.16735,1.33134
400,37.6014,36.692,31.5971,29.987,2.47861,1.61015
500,41.3689,40.799,40.4278,38.647,1.39681,1.7808
600,43.6942,43.538,48.1918,46.341,0.358796,1.85081
700,45.2055,45.434,55.0487,53.201,-0.502851,1.84765
800,46.2343,46.791,61.1563,59.361,-1.18976,1.79532
900,46.9626,47.792,66.6463,64.932,-1.73542,1.71432
1000,47.4955,48.55,71.6233,70.008,-2.17204,1.61529
1100,47.8963,49.136,76.1698,74.664,-2.52299,1.50576
1200,48.205,49.598,80.3511,78.96,-2.80862,1.39108
1300,48.4475,49.97,84.2195,82.945,-3.04679,1.27448
1400,48.6414,50.272,87.8172,86.66,-3.24351,1.15719
1500,48.7988,50.521,91.1786,90.137,-3.40887,1.04165
