temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,18.081708,18.081708,0,0,0,0
10,18.081706,18.081717,0.0011268146,0.0041817698,0.0011268187,0.0041817844
20,18.081652,18.081901,0.0124472,0.041065364,0.012447242,0.041065501
30,18.081379,18.082798,0.04727317,0.15725702,0.047273331,0.15725757
40,18.080563,18.08558,0.12543483,0.43362788,0.12543526,0.43362943
50,18.07864,18.092265,0.27249372,0.94600363,0.27249467,0.94600689
60,18.074814,18.105338,0.50873637,1.707986,0.50873811,1.7079915
70,18.068139,18.127129,0.84271039,2.6806271,0.84271318,2.6806353
80,18.057639,18.15947,1.2728908,3.8093128,1.2728948,3.8093237
90,18.042384,18.203677,1.7921484,5.0472283,1.7921539,5.047242
100,18.021529,18.260668,2.3913868,6.3615133,2.3913939,6.3615298
110,17.99432,18.331089,3.0615398,7.73053,3.0615486,7.7305494
120,17.960089,18.41541,3.7943373,9.1391431,3.7943479,9.1391654
130,17.918249,18.513963,4.5824169,10.575089,4.5824294,10.575114
140,17.868279,18.626965,5.4191867,12.027035,5.4192012,12.027063
150,17.809723,18.75452,6.298649,13.483931,6.2986655,13.483961
160,17.742182,18.896624,7.2152643,14.935072,7.2152828,14.935105
170,17.665311,19.053169,8.1638704,16.370434,8.163891,16.370469
180,17.578814,19.22395,9.1396454,17.781024,9.1396681,17.781062
190,17.482443,19.408681,10.138097,19.159125,10.138122,19.159165
200,17.375991,19.607003,11.155064,20.498419,11.155091,20.498461
210,17.259292,19.818503,12.18672,21.793985,12.186749,21.794028
220,17.132219,20.042725,13.229574,23.042224,13.229605,23.04227
230,16.994674,20.279182,14.280469,24.240729,14.280502,24.240776
240,16.846592,20.527369,15.336571,25.388121,15.336606,25.388169
250,16.687934,20.786772,16.395354,26.483888,16.395391,26.483938
260,16.518684,21.056876,17.454584,27.528226,17.454623,27.528277
270,16.338847,21.337168,18.512299,28.521891,18.51234,28.521942
280,16.148448,21.627148,19.566786,29.466071,19.566828,29.466123
290,15.947527,21.926329,20.616559,30.362277,20.616604,30.36233
298.15,15.776031,22.176639,21.467746,31.058406,21.467792,31.058459
300,15.736137,22.23424,21.660342,31.21225,21.660388,31.212303
310,15.514344,22.550427,22.697041,32.017882,22.697089,32.017937
320,15.282223,22.874456,23.725728,32.781161,23.725778,32.781216
330,15.039859,23.205915,24.745626,33.504115,24.745678,33.50417
340,14.787342,23.544411,25.756085,34.188779,25.756138,34.188835
350,14.52477,23.88957,26.756571,34.837166,26.756626,34.837222
360,14.252245,24.24104,27.746651,35.451242,27.746708,35.451298
370,13.969873,24.598487,28.725983,36.032913,28.726041,36.03297
380,13.677762,24.961596,29.694299,36.584015,29.694359,36.584072
390,13.376025,25.330071,30.651402,37.106303,30.651463,37.10636
400,13.064772,25.703632,31.597149,37.60145,31.597212,37.601507
410,12.74412,26.082015,32.531452,38.071044,32.531516,38.071101
420,12.414182,26.464973,33.454264,38.516587,33.45433,38.516645
430,12.075073,26.852271,34.365578,38.939499,34.365645,38.939557
440,11.726908,27.243692,35.265417,39.341116,35.265485,39.341174
450,11.369802,27.639027,36.153832,39.722695,36.153901,39.722753
460,11.003869,28.038083,37.030898,40.085417,37.030969,40.085475
470,10.629222,28.440676,37.896711,40.43039,37.896782,40.430448
480,10.245972,28.846635,38.75138,40.758653,38.751453,40.758712
490,9.8542312,29.255797,39.595032,41.071182,39.595106,41.07124
500,9.454108,29.668009,40.427802,41.368887,40.427877,41.368945
510,9.0457109,30.083128,41.249837,41.652623,41.249914,41.652681
520,8.6291465,30.501017,42.06129,41.92319,42.061368,41.923249
530,8.2045198,30.92155,42.862321,42.181337,42.8624,42.181395
540,7.7719343,31.344605,43.653094,42.427764,43.653174,42.427823
550,7.3314916,31.770069,44.433776,42.663129,44.433858,42.663188
560,6.8832918,32.197833,45.204538,42.888046,45.20462,42.888105
570,6.4274333,32.627797,45.96555,43.10309,45.965633,43.103149
580,5.9640128,33.059864,46.716984,43.308801,46.717069,43.30886
590,5.493125,33.493943,47.459014,43.505684,47.459099,43.505743
600,5.0148633,33.929949,48.19181,43.694213,48.191897,43.694272
610,4.529319,34.367801,48.915544,43.874832,48.915632,43.874891
620,4.036582,34.807421,49.630386,44.047959,49.630474,44.048018
630,3.5367404,35.248737,50.336502,44.213983,50.336591,44.214043
640,3.0298805,35.691678,51.034059,44.373274,51.034149,44.373333
650,2.5160872,36.136181,51.723221,44.526175,51.723312,44.526234
660,1.9954435,36.582182,52.404149,44.67301,52.404241,44.67307
670,1.4680311,37.029622,53.077001,44.814086,53.077094,44.814145
680,0.93392992,37.478445,53.741934,44.949688,53.742028,44.949747
690,0.39321833,37.928598,54.399101,45.080086,54.399196,45.080145
700,-0.15402672,38.38003,55.048653,45.205535,55.048748,45.205594
710,-0.70772983,38.832693,55.690737,45.326273,55.690833,45.326333
720,-1.267817,39.286541,56.325497,45.442527,56.325594,45.442587
730,-1.8342158,39.741529,56.953076,45.554509,56.953174,45.554569
740,-2.4068551,40.197617,57.573612,45.66242,57.57371,45.66248
750,-2.985665,40.654765,58.18724,45.76645,58.18734,45.766509
760,-3.5705773,41.112934,58.794094,45.866776,58.794194,45.866835
770,-4.1615248,41.572089,59.394303,45.963569,59.394404,45.963628
780,-4.7584416,42.032194,59.987995,46.056987,59.988097,46.057047
790,-5.3612634,42.493218,60.575292,46.147183,60.575395,46.147242
800,-5.9699266,42.955128,61.156318,46.234298,61.156421,46.234358
810,-6.5843692,43.417894,61.731189,46.318469,61.731293,46.318529
820,-7.2045302,43.881488,62.300022,46.399824,62.300127,46.399883
830,-7.8303499,44.345881,62.862929,46.478483,62.863035,46.478543
840,-8.4617694,44.811049,63.420022,46.554563,63.420128,46.554623
850,-9.0987313,45.276964,63.971407,46.628172,63.971514,46.628232
860,-9.7411789,45.743604,64.51719,46.699414,64.517297,46.699474
870,-10.389057,46.210945,65.057473,46.768388,65.057582,46.768447
880,-11.04231,46.678965,65.592358,46.835186,65.592467,46.835245
890,-11.700886,47.147642,66.121942,46.899898,66.122051,46.899957
900,-12.364732,47.616956,66.64632,46.962608,66.64643,46.962667
910,-13.033796,48.086888,67.165586,47.023395,67.165697,47.023455
920,-13.708027,48.557418,67.679831,47.082338,67.679943,47.082397
930,-14.387376,49.028528,68.189144,47.139507,68.189257,47.139567
940,-15.071794,49.500202,68.693613,47.194973,68.693726,47.195033
950,-15.761232,49.972422,69.193321,47.248801,69.193434,47.248861
960,-16.455644,50.445173,69.688351,47.301054,69.688466,47.301114
970,-17.154984,50.918438,70.178786,47.351793,70.178901,47.351852
980,-17.859205,51.392204,70.664703,47.401073,70.664819,47.401132
990,-18.568263,51.866455,71.14618,47.448949,71.146296,47.449009
1000,-19.282114,52.341178,71.623293,47.495474,71.623409,47.495534
1010,-20.000715,52.81636,72.096114,47.540698,72.096231,47.540757
1020,-20.724022,53.291988,72.564716,47.584667,72.564834,47.584726
1030,-21.451995,53.76805,73.02917,47.627427,73.029288,47.627486
1040,-22.184592,54.244533,73.489543,47.669021,73.489662,47.66908
1050,-22.921773,54.721426,73.945904,47.70949,73.946023,47.70955
1060,-23.663497,55.198719,74.398317,47.748875,74.398437,47.748935
1070,-24.409726,55.6764,74.846847,47.787214,74.846968,47.787273
1080,-25.160421,56.15446,75.291557,47.824542,75.291678,47.824601
1090,-25.915545,56.632888,75.732507,47.860894,75.732629,47.860953
1100,-26.675059,57.111675,76.169758,47.896303,76.16988,47.896363
1110,-27.438928,57.590811,76.603368,47.930802,76.603491,47.930862
1120,-28.207114,58.070288,77.033395,47.964422,77.033518,47.964481
1130,-28.979584,58.550097,77.459894,47.99719,77.460018,47.99725
1140,-29.756301,59.030229,77.882921,48.029137,77.883045,48.029196
1150,-30.537231,59.510677,78.302528,48.060287,78.302653,48.060347
1160,-31.32234,59.991432,78.718769,48.090669,78.718895,48.090728
1170,-32.111595,60.472488,79.131695,48.120305,79.131821,48.120364
1180,-32.904963,60.953836,79.541355,48.149221,79.541481,48.14928
1190,-33.702412,61.43547,79.947799,48.177439,79.947926,48.177498
1200,-34.503909,61.917382,80.351076,48.204981,80.351203,48.20504
1210,-35.309423,62.399567,80.751231,48.231868,80.751359,48.231928
1220,-36.118923,62.882018,81.148312,48.258122,81.14844,48.258181
1230,-36.932379,63.364728,81.542363,48.28376,81.542492,48.283819
1240,-37.74976,63.847691,81.933428,48.308803,81.933558,48.308862
1250,-38.571038,64.330902,82.321551,48.333268,82.321681,48.333328
1260,-39.396182,64.814354,82.706775,48.357173,82.706905,48.357233
1270,-40.225164,65.298043,83.089139,48.380535,83.08927,48.380594
