temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,15.4556,15.762,9.29484,9.505,-1.94423,-0.210162
200,21.8926,22.724,22.5561,23.143,-3.65886,-0.586863
250,22.923,24.018,27.5635,28.364,-4.55921,-0.800494
298.15,23.4962,24.869,31.6542,32.671,-5.52013,-1.01681
300,23.5132,24.897,31.7996,32.825,-5.55807,-1.02541
350,23.8801,25.568,35.4538,36.715,-6.6016,-1.26121
400,24.1228,26.144,38.6594,40.167,-7.73097,-1.50759
450,24.2913,26.668,41.511,43.277,-8.912,-1.76603
500,24.413,27.171,44.0769,46.113,-10.1506,-2.03606
600,24.5728,28.184,48.5434,51.156,-12.813,-2.61262
