temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,3.0594414,3.0594414,0,0,0,0
10,3.0594195,3.0595174,0.009788136,0.032849154,0.0097881696,0.032849264
20,3.0589883,3.0609673,0.098953576,0.33916654,0.09895392,0.33916775
30,3.0567198,3.0688396,0.40399518,1.3887459,0.40399658,1.3887506
40,3.0497702,3.0915964,1.0456558,3.2773664,1.0456592,3.2773761
50,3.0346722,3.1359287,2.0251285,5.6296625,2.0251346,5.6296773
60,3.0083921,3.2044084,3.2669391,8.053424,3.2669484,8.0534431
70,2.9687612,3.2964293,4.6809727,10.31149,4.6809852,10.311512
80,2.9144546,3.4097437,6.1911131,12.303833,6.1911287,12.303858
90,2.8448064,3.5415542,7.7416426,14.011847,7.7416611,14.011873
100,2.7596144,3.6890982,9.294838,15.45555,9.2948593,15.455577
110,2.6589824,3.8498976,10.826502,16.669027,10.826526,16.669055
120,2.543206,4.021832,12.321884,17.688389,12.32191,17.688418
130,2.4126941,4.2031291,13.772577,18.54669,13.772605,18.546719
140,2.2679178,4.392324,15.17433,19.272279,15.174361,19.272308
150,2.1093761,4.5882112,16.525568,19.888698,16.5256,19.888728
160,1.9375746,4.7897986,17.8264,20.415184,17.826435,20.415214
170,1.7530124,4.9962675,19.077971,20.867338,19.078008,20.867368
180,1.5561736,5.2069399,20.282035,21.257788,20.282074,21.257817
190,1.3475231,5.4212519,21.440678,21.59676,21.440718,21.596789
200,1.127504,5.6387314,22.556137,21.892562,22.556178,21.892591
210,0.8965367,5.8589819,23.630691,22.151966,23.630734,22.151996
220,0.65501902,6.081668,24.666586,22.380522,24.666631,22.380552
230,0.40332659,6.3065048,25.665992,22.582796,25.666038,22.582825
240,0.14181389,6.533249,26.63098,22.762564,26.631026,22.762594
250,-0.12918481,6.7616916,27.563506,22.922968,27.563554,22.922998
260,-0.40935417,6.9916526,28.465411,23.066635,28.46546,23.066664
270,-0.6983967,7.2229759,29.338417,23.195767,29.338467,23.195797
280,-0.99603156,7.4555257,30.184133,23.312227,30.184185,23.312257
290,-1.3019934,7.6891835,31.004058,23.417592,31.004111,23.417622
298.15,-1.5573365,7.8803614,31.654194,23.496198,31.654247,23.496228
300,-1.6160314,7.9238451,31.799588,23.513206,31.799642,23.513236
310,-1.9379082,8.159419,32.572023,23.60022,32.572077,23.600249
320,-2.2673989,8.3958241,33.322572,23.67962,33.322627,23.679649
330,-2.6042905,8.6329888,34.052361,23.752258,34.052418,23.752287
340,-2.9483805,8.8708492,34.76244,23.818872,34.762497,23.818901
350,-3.2994768,9.1093483,35.453786,23.880102,35.453844,23.880132
360,-3.6573968,9.3484352,36.127311,23.936508,36.12737,23.936538
370,-4.0219665,9.588064,36.783866,23.988578,36.783926,23.988608
380,-4.3930202,9.8281937,37.424247,24.036741,37.424308,24.036771
390,-4.7704,10.068787,38.049198,24.081376,38.049259,24.081405
400,-5.1539551,10.309811,38.659414,24.122814,38.659476,24.122844
410,-5.5435413,10.551234,39.255549,24.161354,39.255612,24.161383
420,-5.9390211,10.793029,39.838214,24.197255,39.838278,24.197285
430,-6.3402627,11.035171,40.407985,24.230753,40.408049,24.230782
440,-6.7471397,11.277637,40.965401,24.262055,40.965465,24.262084
450,-7.1595312,11.520405,41.51097,24.291348,41.511035,24.291377
460,-7.5773212,11.763457,42.045171,24.318799,42.045237,24.318828
470,-8.0003982,12.006776,42.568455,24.344558,42.568522,24.344588
480,-8.4286553,12.250343,43.081247,24.368762,43.081315,24.368791
490,-8.8619895,12.494146,43.58395,24.391531,43.584018,24.391561
500,-9.3003019,12.73817,44.076943,24.412977,44.077012,24.413007
510,-9.7434972,12.982401,44.560586,24.4332,44.560655,24.43323
520,-10.191484,13.22683,45.035218,24.45229,45.035288,24.45232
530,-10.644173,13.471444,45.501163,24.47033,45.501233,24.47036
540,-11.101479,13.716233,45.958726,24.487396,45.958797,24.487425
550,-11.56332,13.961189,46.408198,24.503555,46.408269,24.503585
560,-12.029617,14.206301,46.849854,24.518871,46.849926,24.518901
570,-12.500292,14.451563,47.283957,24.533401,47.28403,24.533431
580,-12.975272,14.696967,47.710756,24.547198,47.710829,24.547228
590,-13.454484,14.942505,48.13049,24.560311,48.130563,24.56034
600,-13.937859,15.188171,48.543383,24.572783,48.543457,24.572812
610,-14.425329,15.433959,48.949653,24.584655,48.949727,24.584684
620,-14.91683,15.679862,49.349504,24.595965,49.349579,24.595995
630,-15.412299,15.925876,49.743135,24.606748,49.74321,24.606778
640,-15.911673,16.171996,50.130732,24.617037,50.130808,24.617066
650,-16.414894,16.418216,50.512476,24.62686,50.512552,24.626889
660,-16.921903,16.664531,50.888538,24.636245,50.888614,24.636275
670,-17.432646,16.910939,51.259082,24.645219,51.25916,24.645248
680,-17.947067,17.157435,51.624267,24.653804,51.624345,24.653833
690,-18.465114,17.404014,51.984244,24.662022,51.984322,24.662052
700,-18.986735,17.650674,52.339156,24.669895,52.339234,24.669925
710,-19.511881,17.897411,52.689143,24.677441,52.689222,24.677471
720,-20.040502,18.144222,53.034338,24.684678,53.034418,24.684707
730,-20.572552,18.391103,53.37487,24.691622,53.37495,24.691652
740,-21.107984,18.638053,53.710862,24.69829,53.710942,24.69832
750,-21.646754,18.885068,54.04243,24.704695,54.042511,24.704725
760,-22.188819,19.132146,54.369691,24.710852,54.369772,24.710881
770,-22.734134,19.379285,54.692752,24.716772,54.692833,24.716802
780,-23.28266,19.626481,55.011719,24.722468,55.011801,24.722498
790,-23.834355,19.873733,55.326694,24.727951,55.326776,24.727981
