temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,8.86369,7.802,2.97044,2.548,13.6079,0.422444
200,27.9734,26.681,15.4623,14.096,4.84385,1.36633
298.15,37.6328,37.106,28.6733,26.924,1.41973,1.74926
300,37.7542,37.244,28.9064,27.154,1.36989,1.75242
400,42.4309,42.561,40.4847,38.678,-0.305626,1.80668
500,44.9024,45.544,50.2451,48.523,-1.40877,1.72207
600,46.3393,47.43,58.5696,57.006,-2.29955,1.56362
700,47.2405,48.748,65.7855,64.42,-3.09242,1.36553
800,47.8401,49.74,72.1353,70.996,-3.81971,1.1393
900,48.258,50.539,77.7956,76.902,-4.51333,0.893574
1000,48.5605,51.208,82.8965,82.262,-5.17017,0.63453
1100,48.7861,51.794,87.5359,87.171,-5.80734,0.364919
1200,48.9589,52.325,91.7886,91.701,-6.43307,0.0875957
1300,49.094,52.81,95.7129,95.908,-7.03655,-0.195054
1400,49.2016,53.262,99.3553,99.839,-7.62342,-0.483714
1500,49.2887,53.693,102.753,103.528,-8.20274,-0.775081
1600,49.3602,54.107,105.936,107.007,-8.77307,-1.07071
1700,49.4195,54.509,108.931,110.299,-9.337,-1.36843
1800,49.4693,54.898,111.757,113.426,-9.88868,-1.66924
1900,49.5115,55.278,114.433,116.404,-10.4318,-1.97141
2000,49.5476,55.651,116.973,119.249,-10.9672,-2.27586
2100,49.5787,56.019,119.391,121.973,-11.4966,-2.58165
