temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.47305,7.802,2.43036,2.548,-4.21626,-0.117639
200,26.0264,26.681,13.6261,14.096,-2.4534,-0.469944
298.15,36.2602,37.106,26.165,26.924,-2.27945,-0.758951
300,36.3918,37.244,26.3898,27.154,-2.28814,-0.764247
400,41.5152,42.561,37.6421,38.678,-2.4571,-1.03587
500,44.2633,45.544,47.2304,48.523,-2.81201,-1.29261
600,45.8735,47.43,55.4549,57.006,-3.2816,-1.55109
700,46.888,48.748,62.6081,64.42,-3.8155,-1.81189
800,47.5649,49.74,68.9162,70.996,-4.37291,-2.07983
900,48.0377,50.539,74.5474,76.902,-4.9493,-2.35462
1000,48.3803,51.208,79.6273,82.262,-5.52207,-2.6347
1100,48.6362,51.794,84.251,87.171,-6.09694,-2.92001
1200,48.8322,52.325,88.4917,91.701,-6.67526,-3.20934
1300,48.9856,52.81,92.4066,95.908,-7.24188,-3.50138
1400,49.1078,53.262,96.0415,99.839,-7.79956,-3.79752
1500,49.2068,53.693,99.4331,103.528,-8.35537,-4.09495
1600,49.288,54.107,102.611,107.007,-8.90648,-4.39554
1700,49.3554,54.509,105.602,110.299,-9.45452,-4.69739
1800,49.4121,54.898,108.424,113.426,-9.99293,-5.00166
1900,49.4601,55.278,111.097,116.404,-10.5248,-5.30677
2000,49.5012,55.651,113.635,119.249,-11.0507,-5.61372
2100,49.5365,56.019,116.051,121.973,-11.5719,-5.92168
