temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,14.608214,14.608214,0,0,0,0
10,14.608214,14.608218,0.00044571143,0.002467428,0.0004457136,0.0024674387
20,14.608177,14.608366,0.0094512917,0.034743827,0.0094513261,0.034743946
30,14.607956,14.609129,0.039083665,0.13269742,0.0390838,0.13269787
40,14.607279,14.611438,0.10397374,0.35728827,0.1039741,0.35728955
50,14.605686,14.617003,0.22633496,0.79975961,0.22633577,0.7997625
60,14.602472,14.628428,0.43259631,1.5389714,0.43259785,1.5389768
70,14.596676,14.648884,0.7458172,2.606999,0.74581983,2.6070078
80,14.587148,14.681614,1.1808138,3.9877183,1.1808179,3.9877312
90,14.572635,14.729517,1.7431361,5.6316389,1.7431419,5.6316561
100,14.551869,14.794905,2.4303611,7.4730478,2.430369,7.4730694
110,14.523638,14.879408,3.2342682,9.4435952,3.2342783,9.4436212
120,14.486834,14.983998,4.1430367,11.480884,4.1430493,11.480914
130,14.440473,15.109073,5.1430715,13.532695,5.1430866,13.532729
140,14.383715,15.254563,6.2203439,15.558171,6.2203617,15.558209
150,14.315854,15.420047,7.3612835,17.527201,7.3613039,17.527242
160,14.236319,15.604849,8.5533098,19.418951,8.5533329,19.418994
170,14.144656,15.808123,9.7851034,21.220123,9.7851292,21.220168
180,14.040518,16.028924,11.0467,22.923271,11.046729,22.923318
190,13.923651,16.266251,12.329474,24.525332,12.329505,24.525381
200,13.793882,16.519094,13.626056,26.026408,13.62609,26.026458
210,13.651105,16.78645,14.930217,27.428804,14.930253,27.428856
220,13.49527,17.067353,16.236741,28.736294,16.236779,28.736346
230,13.326377,17.360876,17.541299,29.953563,17.54134,29.953616
240,13.144463,17.666141,18.840326,31.085809,18.840369,31.085863
250,12.949598,17.982326,20.130912,32.138447,20.130957,32.138502
260,12.741881,18.308663,21.410701,33.11691,21.410748,33.116966
270,12.521427,18.644435,22.677808,34.026511,22.677858,34.026567
280,12.288372,18.98898,23.930746,34.872351,23.930797,34.872407
