temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,13.666718,13.666718,0,0,0,0
10,13.666717,13.666723,0.00064091115,0.003317487,0.00064091413,0.0033175007
20,13.666669,13.666907,0.011864755,0.042627842,0.011864798,0.042627987
30,13.666397,13.667841,0.048154158,0.16296156,0.048154324,0.16296213
40,13.665561,13.670703,0.12855035,0.44577775,0.1285508,0.44577935
50,13.663582,13.677685,0.28204546,1.0057902,0.28204647,1.0057938
60,13.659567,13.692036,0.54114934,1.928574,0.54115127,1.9285808
70,13.65232,13.717534,0.93162079,3.23251,0.93162406,3.2325208
80,13.64045,13.757821,1.4671429,4.8757942,1.4671479,4.8758095
90,13.622487,13.815927,2.1493241,6.7818823,2.1493311,6.7819024
100,13.596999,13.894044,2.9704435,8.8636897,2.970453,8.8637145
110,13.562661,13.993512,3.9168345,11.039586,3.9168465,11.039615
120,13.5183,14.11492,4.971826,13.241294,4.9718407,13.241328
130,13.462921,14.258247,6.1178971,15.416164,6.1179146,15.416201
140,13.395696,14.423026,7.3380717,17.526303,7.3380921,17.526343
150,13.315964,14.608472,8.6167155,19.546323,8.6167387,19.546366
160,13.223213,14.813599,9.9399142,21.460736,9.9399403,21.460781
170,13.117058,15.037307,11.295582,23.261516,11.295611,23.261563
180,12.997228,15.278442,12.673411,24.94604,12.673443,24.946089
190,12.863545,15.535844,14.064731,26.515448,14.064765,26.515498
200,12.715912,15.808379,15.462333,27.973388,15.46237,27.97344
210,12.554297,16.094957,16.860286,29.325088,16.860326,29.325141
220,12.378722,16.394547,18.253751,30.576682,18.253793,30.576736
230,12.18925,16.706179,19.638821,31.734733,19.638865,31.734788
240,11.985984,17.028952,21.012368,32.80591,21.012415,32.805966
250,11.76905,17.36203,22.37192,33.796768,22.371969,33.796824
260,11.538598,17.704641,23.715547,34.713608,23.715599,34.713664
270,11.294797,18.056075,25.041771,35.562392,25.041825,35.562448
280,11.037825,18.41568,26.349484,36.348699,26.34954,36.348757
290,10.767872,18.782858,27.637885,37.07771,27.637942,37.077767
298.15,10.538395,19.087326,28.673257,37.632804,28.673316,37.632862
300,10.485133,19.15706,28.906421,37.754201,28.90648,37.754258
310,10.189811,19.537782,30.154746,38.382559,30.154807,38.382617
320,9.8821064,19.924564,31.382679,38.966802,31.382742,38.96686
330,9.5622251,20.316983,32.590175,39.510596,32.59024,39.510654
340,9.2303708,20.714652,33.777298,40.017286,33.777364,40.017344
350,8.8867466,21.117215,34.944196,40.489917,34.944264,40.489976
360,8.5315536,21.524346,36.09109,40.931261,36.09116,40.93132
370,8.1649905,21.935745,37.218254,41.343841,37.218326,41.343899
380,7.7872532,22.351135,38.326004,41.72995,38.326077,41.730009
390,7.398534,22.770262,39.414688,42.091677,39.414763,42.091736
400,6.9990218,23.192893,40.484679,42.430922,40.484755,42.430981
410,6.5889015,23.618812,41.536366,42.749419,41.536444,42.749478
420,6.1683541,24.047818,42.570152,43.048744,42.570231,43.048803
430,5.7375567,24.479727,43.586443,43.330338,43.586524,43.330397
440,5.2966822,24.91437,44.585654,43.595515,44.585736,43.595574
450,4.8458992,25.351587,45.568195,43.845475,45.568278,43.845535
460,4.3853725,25.791232,46.534478,44.081317,46.534562,44.081377
470,3.9152625,26.23317,47.484909,44.304046,47.484995,44.304105
480,3.4357258,26.677273,48.419889,44.514583,48.419976,44.514642
490,2.9469149,27.123423,49.339813,44.713771,49.339902,44.713831
500,2.4489784,27.571513,50.245069,44.902388,50.245158,44.902448
510,1.9420612,28.021438,51.136034,45.081146,51.136124,45.081206
520,1.4263042,28.473105,52.013079,45.2507,52.01317,45.25076
530,0.90184481,28.926424,52.876564,45.411655,52.876657,45.411714
540,0.36881692,29.381311,53.726841,45.564566,53.726936,45.564625
550,-0.17264913,29.83769,54.564253,45.709947,54.564348,45.710007
560,-0.72242636,30.295487,55.389131,45.848273,55.389227,45.848333
570,-1.280391,30.754633,56.201797,45.979983,56.201895,45.980042
580,-1.8464226,31.215066,57.002566,46.105481,57.002664,46.105541
590,-2.4204037,31.676724,57.791741,46.225145,57.79184,46.225204
600,-3.0022198,32.13955,58.569617,46.339323,58.569717,46.339382
610,-3.5917593,32.603493,59.336479,46.448338,59.33658,46.448397
620,-4.1889136,33.068501,60.092604,46.55249,60.092706,46.55255
630,-4.7935765,33.534527,60.83826,46.652061,60.838363,46.65212
640,-5.4056448,34.001528,61.573707,46.747308,61.573811,46.747368
650,-6.0250175,34.46946,62.299196,46.838476,62.299301,46.838535
660,-6.6515963,34.938284,63.014971,46.925789,63.015077,46.925848
670,-7.2852853,35.407964,63.721267,47.009458,63.721374,47.009517
680,-7.9259908,35.878462,64.418313,47.08968,64.418421,47.089739
690,-8.5736215,36.349746,65.10633,47.166639,65.106439,47.166698
700,-9.228088,36.821784,65.785532,47.240506,65.785642,47.240565
710,-9.8893034,37.294547,66.456127,47.311443,66.456237,47.311503
720,-10.557183,37.768004,67.118315,47.379601,67.118426,47.37966
730,-11.231642,38.24213,67.772291,47.445121,67.772403,47.44518
740,-11.912602,38.716898,68.418243,47.508134,68.418356,47.508194
750,-12.599981,39.192285,69.056354,47.568767,69.056468,47.568827
760,-13.293703,39.668266,69.686801,47.627136,69.686916,47.627195
770,-13.993692,40.14482,70.309756,47.683351,70.309871,47.68341
780,-14.699874,40.621926,70.925385,47.737515,70.925501,47.737574
790,-15.412176,41.099564,71.533848,47.789725,71.533965,47.789784
800,-16.130527,41.577714,72.135302,47.840074,72.13542,47.840133
810,-16.854859,42.056359,72.729899,47.888648,72.730018,47.888707
820,-17.585103,42.535482,73.317786,47.935528,73.317905,47.935587
830,-18.321193,43.015065,73.899105,47.980792,73.899225,47.980851
840,-19.063064,43.495092,74.473995,48.024512,74.474116,48.024571
850,-19.810652,43.97555,75.04259,48.066757,75.042711,48.066816
860,-20.563895,44.456423,75.605021,48.107591,75.605142,48.107651
870,-21.322732,44.937697,76.161413,48.147077,76.161536,48.147137
880,-22.087104,45.41936,76.71189,48.185273,76.712014,48.185332
890,-22.856951,45.901399,77.256572,48.222233,77.256696,48.222293
900,-23.632216,46.383801,77.795574,48.25801,77.795699,48.25807
910,-24.412844,46.866555,78.329009,48.292654,78.329135,48.292713
920,-25.198778,47.34965,78.856987,48.326211,78.857113,48.32627
930,-25.989965,47.833076,79.379614,48.358726,79.379741,48.358785
940,-26.786353,48.316821,79.896994,48.390241,79.897121,48.3903
950,-27.587888,48.800877,80.409227,48.420797,80.409355,48.420856
960,-28.394521,49.285234,80.916411,48.450431,80.91654,48.450491
970,-29.2062,49.769883,81.418642,48.479181,81.418771,48.47924
980,-30.022877,50.254815,81.916013,48.507081,81.916142,48.50714
990,-30.844504,50.740022,82.408612,48.534163,82.408742,48.534223
1000,-31.671034,51.225496,82.89653,48.56046,82.89666,48.560519
1010,-32.50242,51.711229,83.37985,48.586,83.379981,48.58606
1020,-33.338616,52.197213,83.858656,48.610813,83.858788,48.610873
1030,-34.179578,52.683443,84.33303,48.634926,84.333162,48.634986
1040,-35.025262,53.16991,84.80305,48.658365,84.803183,48.658424
1050,-35.875625,53.656608,85.268793,48.681154,85.268926,48.681213
1060,-36.730624,54.143531,85.730334,48.703317,85.730468,48.703376
1070,-37.590218,54.630672,86.187747,48.724876,86.187882,48.724936
