temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.464537,5.464537,0,0,0,0
10,5.4644561,5.4648263,0.037022048,0.12611555,0.037022176,0.12611597
20,5.4627655,5.4705825,0.39084964,1.3248332,0.39085099,1.3248377
30,5.4541797,5.498254,1.4691431,4.5382768,1.4691479,4.5382905
40,5.4305124,5.566483,3.3992655,9.2789943,3.3992758,9.2790191
50,5.3838335,5.6855911,6.0351509,14.557289,6.0351678,14.557323
60,5.3082365,5.8568712,9.1439111,19.62214,9.143935,19.622183
70,5.2000905,6.0760765,12.514085,24.108689,12.514116,24.108737
80,5.0576094,6.3367842,15.989685,27.921191,15.989722,27.921243
90,4.8802937,6.632373,19.467549,31.096973,19.467593,31.097027
100,4.6684654,6.9568872,22.884218,33.721977,22.884268,33.722033
110,4.4229368,7.3052899,26.20321,35.88984,26.203265,35.889897
120,4.1447915,7.6734448,29.405444,37.685483,29.405504,37.685541
130,3.8352452,8.0579984,32.482717,39.180325,32.482782,39.180384
140,3.4955594,8.4562432,35.433456,40.432353,35.433525,40.432412
150,3.1269902,8.8659915,38.260009,41.48788,38.260082,41.487939
160,2.7307581,9.2854692,40.966945,42.383664,40.967021,42.383723
170,2.308031,9.7132301,43.559995,43.148849,43.560075,43.148908
180,1.859917,10.148089,46.045398,43.806602,46.045481,43.806661
190,1.3874607,10.589066,48.429502,44.375412,48.429589,44.375471
200,0.89164385,11.03535,50.718531,44.870116,50.718621,44.870175
210,0.37338709,11.486262,52.91845,45.302688,52.918543,45.302747
220,-0.16644693,11.941229,55.034892,45.682851,55.034988,45.68291
230,-0.72705013,12.399771,57.073133,46.018549,57.073232,46.018609
240,-1.3076653,12.861474,59.038081,46.316313,59.038182,46.316373
250,-1.9075826,13.325988,60.934284,46.581542,60.934388,46.581602
260,-2.5261359,13.793011,62.765952,46.818727,62.766057,46.818787
270,-3.1626995,14.262282,64.536969,47.031624,64.537077,47.031683
280,-3.8166851,14.733574,66.250924,47.22339,66.251034,47.22345
290,-4.4875389,15.206688,67.911128,47.396694,67.911241,47.396753
298.15,-5.0463973,15.593505,69.226571,47.525866,69.226685,47.525925
300,-5.1747387,15.681454,69.520641,47.553802,69.520755,47.553861
310,-5.8777922,16.157717,71.082287,47.696646,71.082403,47.696705
320,-6.5962337,16.635344,72.598682,47.826884,72.5988,47.826943
330,-7.329623,17.114217,74.072244,47.945941,74.072363,47.946
340,-8.0775433,17.59423,75.505216,48.055048,75.505337,48.055107
350,-8.839599,18.075289,76.899679,48.155274,76.899803,48.155334
360,-9.6154149,18.557309,78.257567,48.24755,78.257692,48.247609
370,-10.404634,19.040216,79.580677,48.332686,79.580803,48.332745
380,-11.206918,19.523941,80.870683,48.411396,80.870811,48.411455
390,-12.021943,20.008425,82.129147,48.484306,82.129277,48.484365
400,-12.849401,20.49361,83.357527,48.551967,83.357658,48.552026
410,-13.688998,20.979448,84.557185,48.614869,84.557318,48.614928
420,-14.540453,21.465893,85.729395,48.673444,85.729529,48.673504
430,-15.403498,21.952904,86.875353,48.728079,86.875489,48.728138
440,-16.277876,22.440443,87.996179,48.779117,87.996316,48.779176
450,-17.163342,22.928475,89.092926,48.826864,89.093064,48.826924
460,-18.059658,23.41697,90.166582,48.871597,90.166722,48.871657
470,-18.966599,23.905898,91.218079,48.913563,91.21822,48.913622
