temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,4.8869319,4.8869319,0,0,0,0
10,4.8868259,4.8873033,0.047735461,0.16056077,0.047735625,0.16056131
20,4.8846649,4.8946587,0.49968903,1.698117,0.49969076,1.6981228
30,4.8736673,4.9301305,1.882106,5.7978589,1.8821121,5.7978762
40,4.8434687,5.0161613,4.3173143,11.550476,4.3173271,11.550505
50,4.7846881,5.1617379,7.5409958,17.508474,7.5410165,17.508513
60,4.6911486,5.3642142,11.217761,22.850984,11.21779,22.851031
70,4.559699,5.6158516,15.087894,27.330401,15.087931,27.330452
80,4.3893114,5.9080407,18.984116,30.978055,18.984159,30.978109
90,4.1802599,6.2330551,22.808835,33.918618,22.808885,33.918674
100,3.9335508,6.5845127,26.509619,36.288443,26.509675,36.2885
110,3.6505658,6.9573231,30.06143,38.207232,30.061491,38.20729
120,3.3328498,7.3474792,33.455245,39.771877,33.455311,39.771936
130,2.9819879,7.7518347,36.691129,41.058172,36.6912,41.05823
140,2.5995372,8.1679113,39.774101,42.124607,39.774176,42.124666
150,2.1869906,8.5937451,42.711697,43.016181,42.711776,43.01624
160,1.7457591,9.0277686,45.512559,43.767591,45.512642,43.76765
170,1.2771654,9.46872,48.185615,44.405729,48.185702,44.405788
180,0.78244355,9.915576,50.739625,44.951581,50.739715,44.95164
190,0.26274185,10.367499,53.182935,45.421648,53.183028,45.421707
200,-0.28087226,10.8238,55.523362,45.829004,55.523459,45.829063
210,-0.84740667,11.283905,57.768153,46.184091,57.768252,46.18415
220,-1.4359388,11.747336,59.923976,46.495313,59.924079,46.495372
230,-2.0456101,12.213688,61.99695,46.769483,61.997055,46.769542
240,-2.6756204,12.682621,63.992672,47.012164,63.992779,47.012223
250,-3.3252231,13.153842,65.916261,47.22793,65.91637,47.227989
260,-3.9937208,13.627102,67.772397,47.420566,67.772509,47.420625
270,-4.6804605,14.102187,69.56536,47.593222,69.565475,47.593281
280,-5.3848305,14.578909,71.29907,47.748538,71.299186,47.748597
290,-6.1062564,15.057107,72.977116,47.888735,72.977234,47.888795
298.15,-6.7064575,15.447831,74.305849,47.993129,74.305969,47.993189
300,-6.8441983,15.53664,74.602793,48.015695,74.602914,48.015755
310,-7.5981478,16.017382,76.17913,48.131018,76.179252,48.131077
320,-8.3676257,16.499226,77.708911,48.23607,77.709035,48.23613
330,-9.1521795,16.982073,79.194706,48.332027,79.194832,48.332087
340,-9.9513811,17.465839,80.638884,48.419902,80.639012,48.419961
350,-10.764826,17.950447,82.043638,48.500569,82.043767,48.500628
360,-11.592129,18.435829,83.410996,48.574792,83.411127,48.574851
370,-12.432927,18.921924,84.742841,48.643233,84.742974,48.643293
380,-13.286874,19.408677,86.040922,48.706476,86.041056,48.706535
390,-14.153639,19.896038,87.306863,48.76503,87.306999,48.765089
400,-15.032909,20.383963,88.54218,48.819344,88.542317,48.819404
410,-15.924385,20.872412,89.748285,48.869817,89.748424,48.869877
420,-16.827781,21.361348,90.926498,48.916801,90.926639,48.91686
430,-17.742826,21.850737,92.078054,48.960608,92.078196,48.960667
440,-18.669258,22.34055,93.204109,49.001517,93.204252,49.001576
450,-19.606827,22.830759,94.305746,49.039777,94.305891,49.039837
460,-20.555295,23.321338,95.383983,49.075611,95.384129,49.075671
470,-21.514432,23.812264,96.439777,49.10922,96.439925,49.109279
480,-22.484018,24.303515,97.474028,49.140782,97.474177,49.140841
490,-23.463843,24.795073,98.487584,49.17046,98.487734,49.170519
500,-24.453704,25.286919,99.481245,49.198401,99.481396,49.19846
510,-25.453404,25.779036,100.45576,49.224737,100.45592,49.224796
520,-26.462758,26.271409,101.41186,49.249588,101.41201,49.249647
530,-27.481582,26.764023,102.3502,49.273063,102.35035,49.273123
540,-28.509704,27.256866,103.27143,49.295263,103.27158,49.295322
550,-29.546956,27.749924,104.17615,49.316277,104.1763,49.316336
560,-30.593174,28.243187,105.06493,49.336188,105.06509,49.336248
570,-31.648203,28.736645,105.93833,49.355072,105.93849,49.355132
580,-32.711891,29.230286,106.79686,49.372998,106.79702,49.373058
590,-33.784092,29.724102,107.64101,49.39003,107.64117,49.390089
600,-34.864665,30.218084,108.47125,49.406226,108.47141,49.406285
610,-35.953472,30.712224,109.28803,49.421639,109.28819,49.421698
620,-37.050382,31.206514,110.09177,49.43632,110.09193,49.436379
630,-38.155266,31.700948,110.88288,49.450313,110.88304,49.450372
640,-39.267999,32.195518,111.66175,49.463661,111.66191,49.46372
650,-40.388461,32.690219,112.42874,49.476403,112.4289,49.476463
660,-41.516535,33.185044,113.18421,49.488576,113.18438,49.488635
670,-42.652108,33.679989,113.9285,49.500211,113.92867,49.50027
680,-43.795069,34.175047,114.66193,49.511341,114.6621,49.5114
690,-44.945312,34.670214,115.38482,49.521994,115.38499,49.522053
700,-46.102731,35.165485,116.09745,49.532197,116.09762,49.532257
