temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,8.5725157,8.5725157,0,0,0,0
10,8.5725005,8.5725788,0.007831187,0.029385158,0.007831216,0.029385258
20,8.5721282,8.5738274,0.084961505,0.28060077,0.084961793,0.28060172
30,8.5702575,8.580041,0.32611832,1.084655,0.32611943,1.0846587
40,8.5646905,8.5982955,0.84012425,2.7102834,0.84012706,2.7102921
50,8.552319,8.6369624,1.6928671,5.1439204,1.6928726,5.1439358
60,8.5296756,8.7031622,2.8914435,8.1719886,2.8914524,8.1720113
70,8.4934549,8.8014462,4.3998758,11.514551,4.3998887,11.51458
80,8.4408376,8.9336617,6.1603003,14.922202,6.1603176,14.922238
90,8.3696191,9.0995065,8.1098606,18.217196,8.1098823,18.217236
100,8.278204,9.2972714,10.190674,21.293795,10.190701,21.29384
110,8.1655314,9.5244826,12.354102,24.101657,12.354133,24.101705
120,8.0309763,9.778361,14.561539,26.627144,14.561574,26.627195
130,7.874253,10.05611,16.783516,28.878354,16.783555,28.878406
140,7.6953309,10.355078,18.998195,30.874786,18.998238,30.87484
150,7.4943665,10.672838,21.189809,32.640845,21.189856,32.6409
160,7.271649,11.007212,23.347271,34.202027,23.347322,34.202084
170,7.0275603,11.356277,25.463041,35.58285,25.463095,35.582907
180,6.7625437,11.718344,27.532221,36.805842,27.532279,36.805899
190,6.4770811,12.091935,29.551865,37.891156,29.551925,37.891214
200,6.1716767,12.475767,31.520452,38.856525,31.520515,38.856583
210,5.846844,12.868718,33.437495,39.717392,33.437561,39.71745
220,5.5030978,13.269811,35.303243,40.487127,35.303312,40.487185
230,5.1409476,13.678195,37.118468,41.177262,37.11854,41.177321
240,4.7608931,14.093125,38.884297,41.797732,38.884371,41.797791
250,4.3634217,14.513946,40.602098,42.357091,40.602175,42.35715
260,3.9490062,14.940087,42.273389,42.862709,42.273468,42.862768
270,3.5181037,15.371043,43.899774,43.320948,43.899855,43.321007
280,3.0711549,15.806367,45.482899,43.737303,45.482982,43.737362
290,2.6085844,16.245665,47.024416,44.116535,47.024501,44.116594
298.15,2.2203188,16.606388,48.251114,44.401039,48.2512,44.401098
300,2.1307999,16.688588,48.525959,44.462777,48.526046,44.462836
310,1.6381931,17.134823,49.989128,44.779624,49.989217,44.779683
320,1.13114,17.584093,51.415477,45.070213,51.415568,45.070272
330,0.61000129,18.036149,52.806507,45.337286,52.8066,45.337345
340,0.075122798,18.490768,54.163662,45.583249,54.163757,45.583308
350,-0.47316366,18.94775,55.488325,45.810215,55.488422,45.810274
360,-1.0345398,19.406915,56.781819,46.020047,56.781917,46.020106
370,-1.6087004,19.8681,58.045405,46.21439,58.045505,46.21445
380,-2.1953522,20.331156,59.280285,46.394702,59.280387,46.394761
390,-2.7942142,20.795951,60.487603,46.562275,60.487706,46.562334
400,-3.4050161,21.262363,61.668448,46.71826,61.668552,46.718319
410,-4.0274984,21.730281,62.823853,46.863684,62.823958,46.863743
420,-4.6614116,22.199605,63.9548,46.999463,63.954908,46.999522
430,-5.306516,22.670241,65.062226,47.126418,65.062334,47.126478
440,-5.9625807,23.142106,66.147015,47.245288,66.147125,47.245347
450,-6.6293836,23.615122,67.210013,47.356734,67.210124,47.356793
460,-7.306711,24.089218,68.252019,47.461353,68.252132,47.461413
470,-7.9943566,24.564328,69.273797,47.559686,69.273911,47.559746
480,-8.6921219,25.040392,70.276071,47.65222,70.276186,47.652279
490,-9.3998153,25.517355,71.259531,47.739396,71.259647,47.739455
500,-10.117252,25.995164,72.224831,47.821616,72.224949,47.821675
510,-10.844253,26.473772,73.172598,47.899244,73.172717,47.899304
520,-11.580647,26.953134,74.103427,47.972613,74.103547,47.972673
530,-12.326267,27.433211,75.017884,48.042026,75.018005,48.042085
540,-13.080952,27.913963,75.916509,48.107759,75.916632,48.107818
550,-13.844547,28.395355,76.79982,48.170065,76.799944,48.170124
560,-14.616899,28.877353,77.668308,48.229177,77.668433,48.229236
570,-15.397865,29.359928,78.522444,48.285307,78.522569,48.285366
580,-16.187302,29.84305,79.362676,48.338651,79.362802,48.33871
590,-16.985074,30.326693,80.189434,48.389389,80.189561,48.389448
600,-17.791047,30.81083,81.003128,48.437686,81.003257,48.437745
610,-18.605094,31.295439,81.804152,48.483696,81.804281,48.483755
620,-19.427089,31.780497,82.59288,48.527559,82.593011,48.527619
630,-20.256912,32.265983,83.369674,48.569407,83.369805,48.569466
640,-21.094444,32.751878,84.134879,48.609359,84.135011,48.609419
650,-21.939572,33.238164,84.888825,48.647529,84.888958,48.647588
660,-22.792184,33.724823,85.631829,48.684019,85.631963,48.684079
670,-23.652173,34.211839,86.364197,48.718927,86.364332,48.718986
680,-24.519433,34.699197,87.086221,48.752342,87.086357,48.752401
690,-25.393864,35.186882,87.798182,48.784347,87.798318,48.784406
700,-26.275364,35.674879,88.500348,48.815021,88.500486,48.81508
710,-27.163839,36.163178,89.192981,48.844435,89.19312,48.844494
720,-28.059193,36.651764,89.87633,48.872657,89.876469,48.872716
730,-28.961335,37.140627,90.550634,48.899751,90.550774,48.89981
740,-29.870176,37.629756,91.216124,48.925775,91.216265,48.925835
750,-30.785629,38.119139,91.873025,48.950786,91.873166,48.950845
760,-31.707609,38.608768,92.521549,48.974834,92.521691,48.974893
770,-32.636033,39.098633,93.161904,48.997968,93.162047,48.998027
780,-33.570821,39.588725,93.794289,49.020234,93.794433,49.020293
790,-34.511893,40.079035,94.418896,49.041674,94.41904,49.041733
800,-35.459173,40.569555,95.035911,49.062328,95.036056,49.062388
810,-36.412586,41.060279,95.645513,49.082235,95.645659,49.082295
820,-37.372059,41.551198,96.247874,49.10143,96.248021,49.101489
830,-38.33752,42.042305,96.843163,49.119946,96.843311,49.120005
840,-39.308899,42.533595,97.431541,49.137815,97.431689,49.137874
850,-40.286129,43.025059,98.013162,49.155066,98.013311,49.155125
860,-41.269141,43.516694,98.58818,49.171728,98.58833,49.171787
870,-42.257871,44.008492,99.156739,49.187827,99.156889,49.187886
880,-43.252254,44.500449,99.718981,49.203387,99.719132,49.203446
890,-44.25223,44.992558,100.27504,49.218433,100.27519,49.218493
900,-45.257735,45.484816,100.82506,49.232987,100.82521,49.233047
910,-46.268711,45.977216,101.36915,49.247071,101.3693,49.24713
920,-47.285099,46.469756,101.90745,49.260703,101.9076,49.260762
930,-48.306841,46.962429,102.44008,49.273903,102.44023,49.273962
940,-49.333882,47.455232,102.96714,49.28669,102.9673,49.286749
950,-50.366166,47.948161,103.48877,49.299079,103.48892,49.299139
960,-51.403639,48.441213,104.00505,49.311088,104.00521,49.311148
970,-52.44625,48.934382,104.51611,49.322732,104.51627,49.322791
980,-53.493945,49.427666,105.02205,49.334025,105.02221,49.334085
990,-54.546674,49.921061,105.52296,49.344982,105.52312,49.345041
1000,-55.604387,50.414565,106.01895,49.355615,106.01911,49.355674
1010,-56.667037,50.908173,106.51011,49.365937,106.51027,49.365996
1020,-57.734574,51.401882,106.99653,49.37596,106.99669,49.376019
1030,-58.806952,51.895691,107.47829,49.385696,107.47845,49.385755
1040,-59.884124,52.389595,107.9555,49.395154,107.95566,49.395214
1050,-60.966047,52.883593,108.42823,49.404347,108.42839,49.404406
1060,-62.052674,53.377681,108.89656,49.413283,108.89672,49.413342
1070,-63.143964,53.871858,109.36058,49.421972,109.36074,49.422031
1080,-64.239872,54.36612,109.82036,49.430423,109.82053,49.430482
1090,-65.340357,54.860466,110.27598,49.438645,110.27615,49.438704
1100,-66.445378,55.354892,110.72752,49.446645,110.72768,49.446705
1110,-67.554894,55.849398,111.17504,49.454432,111.1752,49.454492
