temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,7.6186533,7.6186533,0,0,0,0
10,7.6186345,7.6187295,0.0095048704,0.034982016,0.0095049051,0.034982135
20,7.618189,7.6202261,0.10185508,0.34008468,0.10185543,0.34008585
30,7.6159087,7.627987,0.40261073,1.3800128,0.40261213,1.3800176
40,7.6089116,7.6516328,1.0680299,3.5417674,1.0680335,3.5417789
50,7.5930349,7.7022231,2.1837632,6.7133312,2.1837703,6.713351
60,7.5637792,7.7878557,3.7346092,10.472507,3.7346206,10.472535
70,7.5171474,7.9121936,5.643517,14.392672,5.6435333,14.392707
80,7.4500342,8.0752431,7.8151113,18.177656,7.8151327,18.177697
90,7.3602664,8.2747485,10.160912,21.666372,10.160939,21.666417
100,7.2464775,8.5073604,12.608829,24.79392,12.608861,24.793969
110,7.1079334,8.7693941,15.104189,27.552568,15.104225,27.552619
120,6.944369,9.0572536,17.607372,29.964156,17.607413,29.964209
130,6.7558533,9.3676355,20.090632,32.063302,20.090677,32.063357
140,6.5426862,9.6976053,22.535136,33.888093,22.535185,33.88815
150,6.3053214,10.044606,24.928564,35.47537,24.928617,35.475427
160,6.0443111,10.406433,27.263262,36.858609,27.263319,36.858666
170,5.7602667,10.781197,29.534882,38.067216,29.534942,38.067274
180,5.4538307,11.16728,31.741386,39.126522,31.741449,39.126581
190,5.1256576,11.563302,33.882337,40.058109,33.882404,40.058168
200,4.7764004,11.968078,35.958387,40.880251,35.958457,40.88031
210,4.4067016,12.380594,37.970914,41.608378,37.970986,41.608437
220,4.0171877,12.799976,39.921763,42.255511,39.921839,42.255571
230,3.6084649,13.225471,41.813068,42.832646,41.813147,42.832705
240,3.1811172,13.656426,43.647121,43.349083,43.647202,43.349142
250,2.7357054,14.092276,45.426284,43.812707,45.426367,43.812766
260,2.2727666,14.532527,47.152924,44.230222,47.15301,44.230281
270,1.7928142,14.976746,48.829378,44.607343,48.829466,44.607402
280,1.2963387,15.424555,50.457917,44.948961,50.458007,44.94902
290,0.78380827,15.875621,52.040734,45.259272,52.040826,45.259331
298.15,0.3545321,16.245443,53.298375,45.491544,53.298469,45.491603
300,0.25566944,16.329649,53.579931,45.541888,53.580025,45.541948
310,-0.28765164,16.786377,55.077512,45.799931,55.077608,45.799991
320,-0.84574844,17.245574,56.535384,46.036106,56.535482,46.036165
330,-1.418233,17.707034,57.955355,46.252763,57.955455,46.252822
340,-2.0047349,18.170571,59.339137,46.451953,59.339238,46.452013
350,-2.6049005,18.636021,60.688347,46.635471,60.68845,46.63553
360,-3.2183917,19.103234,62.004516,46.804889,62.004621,46.804949
370,-3.8448855,19.572076,63.289086,46.961593,63.289193,46.961653
380,-4.4840727,20.042428,64.543422,47.106804,64.54353,47.106863
390,-5.1356574,20.514178,65.768808,47.241602,65.768918,47.241662
400,-5.7993564,20.987228,66.966461,47.366947,66.966572,47.367006
410,-6.474898,21.461488,68.137527,47.48369,68.13764,47.483749
420,-7.1620219,21.936876,69.28309,47.59259,69.283204,47.59265
430,-7.8604782,22.413316,70.404173,47.694328,70.404288,47.694387
440,-8.570027,22.89074,71.501744,47.789509,71.501861,47.789568
450,-9.2904378,23.369086,72.57672,47.87868,72.576838,47.878739
460,-10.021489,23.848296,73.629967,47.962331,73.630086,47.96239
470,-10.762967,24.328316,74.662305,48.040903,74.662426,48.040963
480,-11.514668,24.809098,75.674513,48.114797,75.674635,48.114856
490,-12.276393,25.290597,76.667328,48.184372,76.667451,48.184431
500,-13.047952,25.772772,77.641449,48.249956,77.641573,48.250015
510,-13.829162,26.255584,78.597542,48.311846,78.597667,48.311905
520,-14.619845,26.738998,79.536236,48.370312,79.536363,48.370371
530,-15.419831,27.22298,80.458133,48.425599,80.458261,48.425659
540,-16.228954,27.7075,81.363803,48.477934,81.363932,48.477993
550,-17.047054,28.192529,82.253789,48.52752,82.253919,48.527579
560,-17.873979,28.678042,83.128608,48.574545,83.128739,48.574604
570,-18.709578,29.164012,83.988754,48.619182,83.988886,48.619241
580,-19.553707,29.650418,84.834698,48.661589,84.834831,48.661648
590,-20.406226,30.137237,85.666886,48.70191,85.66702,48.701969
600,-21.267,30.62445,86.485749,48.74028,86.485884,48.740339
610,-22.135898,31.112037,87.291696,48.776822,87.291832,48.776881
620,-23.012792,31.59998,88.085117,48.811649,88.085254,48.811708
630,-23.89756,32.088264,88.866387,48.844867,88.866525,48.844926
640,-24.790081,32.576873,89.635864,48.876572,89.636003,48.876631
650,-25.690239,33.065791,90.393892,48.906855,90.394032,48.906914
660,-26.597921,33.555005,91.140798,48.935799,91.140939,48.935858
670,-27.513019,34.044503,91.876898,48.963481,91.877039,48.96354
680,-28.435424,34.534271,92.602493,48.989973,92.602635,48.990032
690,-29.365034,35.024298,93.317874,49.015343,93.318017,49.015402
700,-30.301749,35.514574,94.023318,49.039652,94.023463,49.039711
710,-31.245469,36.005088,94.719094,49.062959,94.719239,49.063018
720,-32.196099,36.49583,95.405458,49.085317,95.405603,49.085377
730,-33.153547,36.986792,96.082656,49.106778,96.082802,49.106837
740,-34.117722,37.477963,96.750926,49.127388,96.751074,49.127448
750,-35.088537,37.969337,97.410498,49.147192,97.410646,49.147251
760,-36.065904,38.460904,98.06159,49.166231,98.061739,49.16629
770,-37.049741,38.952659,98.704415,49.184544,98.704565,49.184603
780,-38.039966,39.444593,99.339178,49.202167,99.339328,49.202226
790,-39.036498,39.9367,99.966074,49.219134,99.966225,49.219193
800,-40.039261,40.428973,100.58529,49.235477,100.58545,49.235536
810,-41.048179,40.921407,101.19702,49.251227,101.19717,49.251286
820,-42.063178,41.413996,101.80143,49.266411,101.80158,49.26647
830,-43.084184,41.906734,102.3987,49.281056,102.39885,49.281116
840,-44.111128,42.399616,102.98898,49.295189,102.98914,49.295248
850,-45.143941,42.892636,103.57244,49.308831,103.5726,49.30889
860,-46.182555,43.385791,104.14924,49.322005,104.1494,49.322064
870,-47.226904,43.879075,104.71952,49.334733,104.71967,49.334793
880,-48.276924,44.372484,105.28342,49.347035,105.28358,49.347094
890,-49.332552,44.866014,105.84108,49.358928,105.84124,49.358988
900,-50.393725,45.359661,106.39265,49.370432,106.39281,49.370491
910,-51.460385,45.853421,106.93825,49.381562,106.93841,49.381622
920,-52.532471,46.347291,107.478,49.392335,107.47816,49.392395
930,-53.609926,46.841267,108.01204,49.402766,108.0122,49.402826
940,-54.692693,47.335345,108.54047,49.412869,108.54063,49.412929
950,-55.780717,47.829523,109.06341,49.422658,109.06357,49.422717
960,-56.873943,48.323798,109.58098,49.432145,109.58114,49.432204
970,-57.972319,48.818165,110.09328,49.441343,110.09345,49.441402
980,-59.075792,49.312624,110.60042,49.450264,110.60059,49.450323
990,-60.18431,49.80717,111.10251,49.458918,111.10267,49.458977
1000,-61.297825,50.301801,111.59963,49.467315,111.59979,49.467375
1010,-62.416287,50.796515,112.09188,49.475467,112.09205,49.475526
1020,-63.539647,51.29131,112.57937,49.483382,112.57954,49.483441
1030,-64.667858,51.786182,113.06218,49.49107,113.06234,49.491129
1040,-65.800875,52.28113,113.54039,49.498538,113.54056,49.498597
1050,-66.938651,52.776152,114.0141,49.505796,114.01427,49.505855
1060,-68.081142,53.271245,114.48338,49.512851,114.48355,49.51291
1070,-69.228304,53.766408,114.94833,49.519711,114.9485,49.51977
1080,-70.380095,54.261639,115.40901,49.526382,115.40918,49.526441
1090,-71.536471,54.756935,115.86551,49.532872,115.86568,49.532931
1100,-72.697391,55.252296,116.3179,49.539187,116.31807,49.539246
1110,-73.862815,55.747719,116.76625,49.545333,116.76642,49.545393
1120,-75.032703,56.243202,117.21063,49.551317,117.2108,49.551376
1130,-76.207015,56.738744,117.65111,49.557143,117.65129,49.557203
1140,-77.385712,57.234344,118.08777,49.562818,118.08794,49.562877
1150,-78.568758,57.73,118.52066,49.568347,118.52083,49.568406
1160,-79.756113,58.225711,118.94985,49.573734,118.95002,49.573793
1170,-80.947742,58.721475,119.3754,49.578984,119.37557,49.579043
1180,-82.143609,59.21729,119.79737,49.584102,119.79755,49.584161
1190,-83.343678,59.713156,120.21583,49.589093,120.216,49.589152
1200,-84.547914,60.209072,120.63082,49.59396,120.631,49.594019
1210,-85.756283,60.705035,121.04241,49.598707,121.04259,49.598766
1220,-86.968751,61.201045,121.45065,49.603339,121.45083,49.603398
1230,-88.185285,61.697101,121.8556,49.607859,121.85578,49.607918
1240,-89.405853,62.193202,122.2573,49.612271,122.25748,49.61233
1250,-90.630421,62.689346,122.65581,49.616578,122.65599,49.616637
1260,-91.858958,63.185533,123.05118,49.620783,123.05136,49.620842
1270,-93.091434,63.681762,123.44346,49.62489,123.44364,49.624949
1280,-94.327817,64.178031,123.83269,49.628902,123.83287,49.628961
1290,-95.568078,64.67434,124.21893,49.632821,124.21911,49.63288
1300,-96.812186,65.170687,124.60221,49.63665,124.60239,49.636709
