temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.60913,7.268,4.26282,3.833,4.69356,0.429821
200,15.6852,15.636,12.239,11.665,0.314841,0.573966
298.15,19.7686,20,19.3641,18.82,-1.15707,0.544069
300,19.82,20.05,19.4865,18.943,-1.14708,0.543512
400,21.8001,22.142,25.492,25.032,-1.544,0.46004
500,22.8446,23.33,30.4801,30.11,-2.08046,0.370126
600,23.4509,24.154,34.7034,34.44,-2.91102,0.263378
700,23.8306,24.803,38.349,38.212,-3.92048,0.136975
800,24.083,25.359,41.5487,41.562,-5.03168,-0.0133429
900,24.2588,25.874,44.396,44.579,-6.24237,-0.183033
1000,24.386,26.338,46.9588,47.329,-7.41121,-0.370183
1100,24.4809,26.778,49.2877,49.86,-8.57829,-0.572287
