temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,7.60519,7.268,4.26444,3.833,4.63944,0.431435
200,15.6741,15.636,12.2345,11.665,0.243887,0.569509
298.15,19.7602,20,19.3556,18.82,-1.19924,0.535616
300,19.8116,20.05,19.478,18.943,-1.18886,0.535007
400,21.7944,22.142,25.4815,25.032,-1.56996,0.44951
500,22.8406,23.33,30.4685,30.11,-2.09779,0.358512
600,23.4479,24.154,34.6911,34.44,-2.92327,0.251129
700,23.8284,24.803,38.3363,38.212,-3.92953,0.124327
800,24.0813,25.359,41.5357,41.562,-5.0386,-0.0262563
900,24.2574,25.874,44.3829,44.579,-6.2478,-0.196132
1000,24.3849,26.338,46.9456,47.329,-7.41558,-0.383416
1100,24.4799,26.778,49.2744,49.86,-8.58186,-0.58562
