temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.9610327,5.9610327,0,0,0,0
10,5.9610271,5.9610564,0.002935503,0.011197698,0.002935514,0.011197737
20,5.9608758,5.9616067,0.036540915,0.1357771,0.036541049,0.13577761
30,5.9599687,5.9650219,0.16843975,0.62357806,0.16844036,0.62358023
40,5.956961,5.9754103,0.46123321,1.5022154,0.46123476,1.5022198
50,5.9502271,5.9956316,0.90808929,2.5539763,0.90809208,2.5539829
60,5.9384214,6.0265311,1.4684943,3.6219023,1.4684985,3.6219108
70,5.9206054,6.0679487,2.1049039,4.6551851,2.1049095,4.6551954
80,5.8961552,6.1195241,2.7921121,5.6555474,2.7921192,5.6555594
90,5.8646449,6.1809948,3.5149987,6.6362243,3.5150073,6.6362381
100,5.825767,6.2522105,4.2644354,7.6051946,4.2644455,7.6052101
110,5.7792883,6.3330602,5.0342905,8.5624435,5.0343022,8.5624606
120,5.7250291,6.4234022,5.8197752,9.5024493,5.8197884,9.5024681
130,5.6628547,6.5230257,6.6167001,10.417404,6.6167149,10.417424
140,5.5926699,6.6316408,7.4212212,11.29958,7.4212375,11.299601
150,5.5144167,6.7488866,8.2297993,12.142633,8.2298172,12.142656
160,5.4280711,6.8743479,9.0392305,12.942091,9.0392499,12.942114
170,5.3336388,7.0075743,9.8466794,13.695348,9.8467002,13.695373
180,5.2311523,7.1480975,10.649695,14.401419,10.649718,14.401445
190,5.1206666,7.2954463,11.446209,15.060601,11.446232,15.060627
200,5.0022555,7.4491573,12.234509,15.674134,12.234534,15.674161
210,4.8760084,7.608783,13.013212,16.243914,13.013239,16.243941
220,4.7420269,7.7738974,13.781229,16.772247,13.781257,16.772275
230,4.6004223,7.9440983,14.537722,17.261669,14.53775,17.261696
240,4.451313,8.1190098,15.28207,17.714806,15.2821,17.714834
250,4.2948228,8.2982822,16.013837,18.134281,16.013869,18.134309
260,4.1310792,8.4815917,16.732741,18.522646,16.732773,18.522675
270,3.9602114,8.6686396,17.438623,18.882341,17.438656,18.882369
280,3.7823503,8.8591506,18.13143,19.215664,18.131464,19.215693
290,3.5976263,9.0528721,18.811192,19.524764,18.811228,19.524793
298.15,3.4420908,9.2129678,19.355616,19.760153,19.355653,19.760182
300,3.4061696,9.2495718,19.478007,19.811634,19.478044,19.811663
310,3.2081089,9.4490368,20.132026,20.078109,20.132063,20.078138
320,3.0035711,9.6510717,20.773439,20.325878,20.773478,20.325907
330,2.7926813,9.8554972,21.402472,20.556484,21.402511,20.556513
340,2.5755621,10.062149,22.019373,20.77134,22.019413,20.771369
350,2.3523334,10.270876,22.624407,20.971734,22.624448,20.971763
360,2.1231126,10.481539,23.217852,21.158839,23.217894,21.158868
370,1.8880141,10.694012,23.799994,21.333725,23.800036,21.333754
380,1.6471494,10.908176,24.371123,21.497366,24.371167,21.497395
390,1.4006273,11.123925,24.931532,21.650648,24.931576,21.650678
400,1.1485536,11.341157,25.48151,21.79438,25.481554,21.79441
410,0.89103096,11.559783,26.021346,21.929298,26.021392,21.929327
420,0.6281595,11.779716,26.551326,22.056072,26.551372,22.056102
430,0.36003637,12.000879,27.071728,22.175316,27.071774,22.175346
440,0.086755963,12.223199,27.582826,22.287588,27.582873,22.287618
450,-0.19159003,12.446609,28.084888,22.393399,28.084936,22.393429
460,-0.47491254,12.671047,28.578174,22.493217,28.578223,22.493246
470,-0.76312509,12.896455,29.062937,22.587468,29.062986,22.587498
480,-1.0561437,13.122779,29.539423,22.676546,29.539473,22.676576
490,-1.3538868,13.34997,30.007871,22.760809,30.007922,22.760838
500,-1.6562751,13.577981,30.468512,22.840587,30.468563,22.840616
510,-1.9632317,13.806768,30.921568,22.916183,30.92162,22.916212
520,-2.2746819,14.036291,31.367256,22.987876,31.367309,22.987905
530,-2.590553,14.266513,31.805785,23.055923,31.805838,23.055952
540,-2.9107744,14.497398,32.237357,23.12056,32.237411,23.12059
550,-3.2352776,14.728914,32.662166,23.182006,32.66222,23.182035
560,-3.5639958,14.961029,33.080401,23.240462,33.080455,23.240492
570,-3.8968643,15.193714,33.492242,23.296115,33.492297,23.296144
580,-4.2338199,15.426942,33.897866,23.349137,33.897921,23.349166
590,-4.5748014,15.660688,34.29744,23.399687,34.297496,23.399717
600,-4.9197491,15.894928,34.691129,23.447914,34.691185,23.447944
610,-5.2686049,16.129639,35.079089,23.493956,35.079146,23.493985
620,-5.6213123,16.3648,35.461472,23.537939,35.46153,23.537968
630,-5.9778162,16.600392,35.838425,23.579982,35.838483,23.580012
640,-6.3380632,16.836394,36.210089,23.620196,36.210148,23.620226
650,-6.7020009,17.07279,36.576601,23.658684,36.57666,23.658713
660,-7.0695784,17.309562,36.938092,23.69554,36.938151,23.69557
670,-7.4407464,17.546695,37.294689,23.730855,37.294749,23.730885
680,-7.8154563,17.784174,37.646516,23.764713,37.646576,23.764742
