temperature_K,F_kJ_mol,U_kJ_mol,S_J_K_mol,Cv_J_K_mol,S_phonopy,Cv_phonopy
0,5.9557243,5.9557243,0,0,0,0
10,5.9557187,5.955748,0.0029344369,0.0111945,0.0029344478,0.011194539
20,5.9555675,5.9562976,0.036503991,0.13555623,0.036504125,0.13555674
30,5.9546618,5.9597062,0.16814638,0.62236418,0.16814699,0.62236634
40,5.9516594,5.970077,0.46043911,1.4999795,0.46044065,1.4999839
50,5.9449363,5.9902736,0.90674594,2.551411,0.90674872,2.5514176
60,5.9331463,6.021149,1.4667114,3.6197779,1.4667155,3.6197864
70,5.9153496,6.0625503,2.1028667,4.6541267,2.1028723,4.654137
80,5.8909201,6.1141223,2.7900276,5.6559859,2.7900347,5.6559979
90,5.8594301,6.1756059,3.5130642,6.638388,3.5130728,6.6384017
100,5.8205701,6.2468521,4.2628208,7.6091278,4.2628309,7.6091433
110,5.7741053,6.3277496,5.0331304,8.5680483,5.033142,8.5680654
120,5.7198551,6.4181552,5.8191678,9.5095344,5.819181,9.5095531
130,5.6576836,6.517856,6.6167105,10.42573,6.6167253,10.42575
140,5.5874955,6.6265596,7.4218863,11.308894,7.4219026,11.308916
150,5.5092324,6.7439025,8.2311339,12.152693,8.2311517,12.152716
160,5.42287,6.8694672,9.0412322,12.952677,9.0412516,12.952701
170,5.3284144,7.0028012,9.8493339,13.706272,9.8493547,13.706296
180,5.2258982,7.1434346,10.65298,14.412521,10.653002,14.412546
190,5.1153766,7.2908948,11.450095,15.07175,11.450119,15.071776
200,4.9969238,7.4447171,12.238966,15.685229,12.238991,15.685255
210,4.8706294,7.6044532,13.018208,16.254873,13.018235,16.2549
220,4.7365954,7.7696761,13.78673,16.78301,13.786758,16.783037
230,4.5949334,7.9399835,14.543696,17.272189,14.543725,17.272217
240,4.4457621,8.1149989,15.288487,17.725053,15.288516,17.725081
250,4.2892057,8.2943723,16.020666,18.144232,16.020697,18.14426
260,4.1253918,8.4777798,16.739954,18.532288,16.739986,18.532317
270,3.9544501,8.6649225,17.446194,18.891666,17.446227,18.891694
280,3.7765116,8.8555252,18.139334,19.22467,18.139369,19.224699
290,3.591707,9.0493352,18.819407,19.533453,18.819443,19.533482
298.15,3.4361035,9.2095006,19.364069,19.768587,19.364105,19.768616
300,3.4001667,9.2461202,19.486512,19.82001,19.486548,19.820039
310,3.2020195,9.4456674,20.1408,20.086179,20.140837,20.086208
320,2.9973927,9.6477815,20.782465,20.33365,20.782503,20.333679
330,2.7864115,9.8522832,21.411732,20.563967,21.411772,20.563996
340,2.5691986,10.059008,22.028852,20.778544,22.028892,20.778573
350,2.3458741,10.267806,22.634091,20.978669,22.634132,20.978698
360,2.1165554,10.478537,23.227728,21.165516,23.22777,21.165545
370,1.8813572,10.691076,23.81005,21.340154,23.810092,21.340184
380,1.6403912,10.905303,24.381347,21.503557,24.38139,21.503587
390,1.3937661,11.121112,24.941913,21.656613,24.941957,21.656642
400,1.1415877,11.338404,25.49204,21.800127,25.492084,21.800157
410,0.88395911,11.557085,26.032015,21.934837,26.032061,21.934867
420,0.6209803,11.777073,26.562126,22.061413,26.562172,22.061443
