temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,4.66835,4.263,1.56778,1.46,9.50851,0.107778
200,17.0056,16.301,8.54093,8.033,4.3225,0.507929
298.15,27.4269,26.84,17.3848,16.61,2.18676,0.774753
300,27.5895,27.008,17.5549,16.777,2.15308,0.777912
400,34.6372,34.1,26.5343,25.598,1.57528,0.936277
500,39.0713,38.639,34.7775,33.727,1.11877,1.05046
600,41.9139,41.79,42.1706,41.066,0.296447,1.10462
700,43.8053,44.108,48.7831,47.69,-0.686356,1.09309
800,45.1126,45.878,54.7229,53.7,-1.66825,1.02291
900,46.048,47.283,60.0933,59.188,-2.61195,0.905336
1000,46.7375,48.421,64.9824,64.231,-3.47679,0.751422
1100,47.259,49.363,69.4625,68.891,-4.26222,0.571547
1200,47.6624,50.158,73.5926,73.221,-4.97554,0.371635
1300,47.9803,50.84,77.4207,77.263,-5.62489,0.1577
1400,48.2351,51.43,80.9861,81.053,-6.21204,-0.0669154
1500,48.4424,51.944,84.3213,84.619,-6.74108,-0.297728
