temperature_K,Cv_model,Cp_exp,S_model,S_exp,Cp_rel_err_pct,S_err_J_K_mol
100,4.62017,4.263,1.55408,1.46,8.37831,0.0940796
200,16.714,16.301,8.42229,8.033,2.53356,0.389295
298.15,27.0367,26.84,17.1244,16.61,0.732797,0.514398
300,27.1992,27.008,17.2921,16.777,0.707785,0.515143
400,34.2855,34.1,26.1629,25.598,0.543884,0.564938
500,38.7856,38.639,34.3347,33.727,0.37933,0.60771
600,41.6866,41.79,41.6811,41.066,-0.247412,0.615134
700,43.6236,44.108,48.2622,47.69,-1.0982,0.572158
800,44.9656,45.878,54.1801,53.7,-1.98876,0.480085
900,45.9272,47.283,59.5348,59.188,-2.86735,0.346781
1000,46.6369,48.421,64.4122,64.231,-3.68451,0.181233
1100,47.1742,49.363,68.8835,68.891,-4.43414,-0.00746084
1200,47.5899,50.158,73.0068,73.221,-5.11999,-0.214205
1300,47.9178,50.84,76.8295,77.263,-5.74783,-0.433532
1400,48.1807,51.43,80.3905,81.053,-6.31787,-0.662473
1500,48.3946,51.944,83.7222,84.619,-6.83308,-0.896808
